bowler,batter_order,runs_conceded,balls,wkts,eco,SR,Curr_Tm
M Shahrukh Khan,middle,10,7,0,8.57,inf,
MG Bracewell,tail,5,3,0,10.0,inf,
AU Rashid,middle,1,1,0,6.0,inf,
MADI Hemantha,top,39,20,0,11.7,inf,
TH David,middle,23,6,0,23.0,inf,PBKS
MADI Hemantha,middle,33,19,0,10.42,inf,
AM Rahane,top,14,6,0,14.0,inf,MI
AU Rashid,top,58,23,0,15.13,inf,
Suyash Sharma,tail,7,7,0,6.0,inf,KKR
R Parag,tail,22,22,0,6.0,inf,GT
J Suchith,tail,1,1,0,6.0,inf,
A Kamboj,tail,10,6,0,10.0,inf,GT
Jay Gohil,top,22,12,0,11.0,inf,LSG
YK Pathan,middle,31,22,0,8.45,inf,KKR
YK Pathan,top,2,2,0,6.0,inf,KKR
K Gowtham,middle,65,48,0,8.12,inf,
A Mishra,top,103,65,0,9.51,inf,
KV Sharma,middle,13,9,0,8.67,inf,
KR Sen,middle,25,17,0,8.82,inf,LSG
KK Ahmed,tail,45,19,0,14.21,inf,RR
Tilak Varma,tail,2,6,0,2.0,inf,CSK
K Kartikeya,tail,7,5,0,8.4,inf,GT
Yuvraj Chaudhary,top,9,5,0,10.8,inf,GT
Yuvraj Singh,middle,88,49,0,10.78,inf,CSK
KC Cariappa,tail,8,6,0,8.0,inf,MI
KA Pollard,tail,10,5,0,12.0,inf,CSK
Z Khan,tail,9,9,0,6.0,inf,
Zeeshan Ansari,tail,6,4,0,9.0,inf,SRH
Kartik Tyagi,middle,38,22,0,10.36,inf,
WL Madsen,top,32,18,0,10.67,inf,MI
A Sheth,tail,0,1,0,0.0,inf,DC
Jay Gohil,middle,17,6,0,17.0,inf,LSG
Tilak Varma,top,104,48,0,13.0,inf,CSK
A Badoni,tail,2,2,0,6.0,inf,
J Suchith,top,99,64,0,9.28,inf,
JA Richardson,tail,7,3,0,14.0,inf,
Utkarsh Singh,tail,1,2,0,3.0,inf,PBKS
Simarjeet Singh,middle,34,21,0,9.71,inf,
Lalit Yadav,top,23,18,0,7.67,inf,
AJ Hosein,top,115,71,0,9.72,inf,
JJ Smit,tail,10,8,0,7.5,inf,PBKS
LA Dawson,tail,7,3,0,14.0,inf,
AJ Hosein,middle,47,34,0,8.29,inf,
LA Dawson,middle,50,20,0,15.0,inf,
VR Iyer,middle,72,44,0,9.82,inf,SRH
Khushdil Shah,top,16,20,0,4.8,inf,DC
Khushdil Shah,middle,14,4,0,21.0,inf,DC
Simarjeet Singh,top,3,3,0,6.0,inf,
Arshad Khan,tail,2,2,0,6.0,inf,RR
MJ Henry,top,39,14,0,16.71,inf,
Hemang Patel,middle,7,6,0,7.0,inf,GT
Rahul Singh,top,14,6,0,14.0,inf,RCB
OEG Baartman,middle,80,45,0,10.67,inf,
Ramandeep Singh,tail,10,6,0,10.0,inf,LSG
Cheepurapalli Stephen,tail,16,6,0,16.0,inf,CSK
Cheepurapalli Stephen,middle,87,58,0,9.0,inf,CSK
CJ Jordan,tail,19,15,0,7.6,inf,
CJ Green,top,21,24,0,5.25,inf,
CH Morris,tail,4,4,0,6.0,inf,DC
DJ Hooda,middle,26,17,0,9.18,inf,DC
DL Chahar,tail,2,4,0,3.0,inf,
DR Sams,middle,54,27,0,12.0,inf,GT
Ravi Teja,tail,10,4,0,15.0,inf,RCB
DR Sams,tail,6,4,0,9.0,inf,GT
C Green,tail,12,16,0,4.5,inf,KKR
NA Rathva,tail,3,4,0,4.5,inf,RCB
NA Rathva,middle,2,2,0,6.0,inf,RCB
S Gopal,middle,58,26,0,13.38,inf,GT
DG Nalkande,top,36,24,0,9.0,inf,SRH
RG Sharma,top,42,15,0,16.8,inf,KKR
RG Sharma,middle,8,3,0,16.0,inf,KKR
R Tewatia,tail,2,3,0,4.0,inf,KKR
R Ravindra,top,40,18,0,13.33,inf,
D Ferreira,middle,18,8,0,13.5,inf,
D Brevis,top,19,12,0,9.5,inf,RR
D Brevis,tail,8,6,0,8.0,inf,RR
Pulkit Narang,middle,18,9,0,12.0,inf,RR
Pankaj Jaswal,top,14,6,0,14.0,inf,
Chirag Jani,top,68,43,0,9.49,inf,PBKS
Pankaj Jaswal,middle,22,12,0,11.0,inf,
PJ Cummins,tail,51,31,0,9.87,inf,RR
D Potgieter,middle,32,12,0,16.0,inf,
RA Bawa,tail,1,1,0,6.0,inf,SRH
D Potgieter,top,99,60,0,9.9,inf,
D Visser,middle,30,16,0,11.25,inf,
PP Chawla,tail,11,7,0,9.43,inf,
PN Mankad,top,2,3,0,4.0,inf,
PN Mankad,middle,2,3,0,4.0,inf,
N Wadhera,top,2,2,0,6.0,inf,KKR
N Wadhera,middle,8,4,0,12.0,inf,KKR
N Sindhu,middle,23,10,0,13.8,inf,DC
MM Sharma,tail,11,4,0,16.5,inf,
Shadab Khan,middle,64,42,0,9.14,inf,SRH
Shadab Khan,tail,18,8,0,13.5,inf,SRH
MR Marsh,tail,4,1,0,24.0,inf,SRH
Ashutosh Aman,top,72,44,0,9.82,inf,
HR Shokeen,tail,5,3,0,10.0,inf,RR
Harpreet Brar,tail,48,37,0,7.78,inf,RR
Shaheen Shah Afridi,middle,15,14,0,6.43,inf,MI
D Ferreira,top,6,6,0,6.0,inf,
Sami Sohail,middle,172,78,0,13.23,inf,
MM Sharma,middle,49,19,0,15.47,inf,
MM Ali,tail,0,4,0,0.0,inf,
Akash Madhwal,middle,20,6,0,20.0,inf,CSK
MK Lomror,top,8,3,0,16.0,inf,SRH
MK Lomror,middle,5,3,0,10.0,inf,SRH
MJ Suthar,middle,61,31,0,11.81,inf,
Abrar Ahmed,top,59,34,0,10.41,inf,GT
Atharva Taide,middle,5,5,0,6.0,inf,MI
Atharva Taide,top,1,1,0,6.0,inf,MI
SA Abbott,middle,51,31,0,9.87,inf,
G Coetzee,middle,40,21,0,11.43,inf,
SA Abbott,tail,5,5,0,6.0,inf,
Baltej Singh,tail,13,5,0,15.6,inf,
N Rana,top,76,45,0,10.13,inf,PBKS
N Rana,tail,3,4,0,4.5,inf,PBKS
Bal Krishna,middle,56,32,0,10.5,inf,
N Burger,middle,10,11,0,5.45,inf,
BJ McMullen,tail,11,5,0,13.2,inf,RR
Mohit Avasthi,top,31,18,0,10.33,inf,
Gurjapneet Singh,tail,8,6,0,8.0,inf,
Mohit Avasthi,middle,5,6,0,5.0,inf,
BJ Dwarshuis,top,16,7,0,13.71,inf,
SP Narine,tail,12,11,0,6.55,inf,KKR
BJ Dwarshuis,middle,19,11,0,10.36,inf,
SS Agarwal,top,47,42,0,6.71,inf,DC
Azmatullah Omarzai,tail,29,17,0,10.24,inf,LSG
GF Linde,tail,2,3,0,4.0,inf,GT
D Ferreira,tail,4,4,0,6.0,inf,
