bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
WG Jacks,KKR,220,5,36,10.48,25.2,21.0,LSG
Shakib Al Hasan,GT,81,5,21,8.38,11.6,9.4,
C Green,RCB,111,5,18,9.25,14.4,12.0,KKR
BA Stokes,KKR,159,5,44,7.57,25.2,21.0,RR
PHKD Mendis,RCB,129,5,23,9.21,16.8,14.0,DC
C Sakariya,KKR,182,5,30,9.1,24.0,20.0,SRH
Ashutosh Sharma,MI,171,5,30,9.5,21.6,18.0,RCB
Noor Ahmad,RR,95,5,20,7.92,14.4,12.0,MI
Ashutosh Sharma,LSG,142,5,27,9.47,18.0,15.0,RCB
NT Ellis,CSK,152,5,29,9.5,19.2,16.0,SRH
CH Gayle,GT,59,5,13,11.8,6.0,5.0,CSK
Noor Ahmad,PBKS,129,5,25,8.06,19.2,16.0,MI
Ashutosh Sharma,GT,141,5,22,10.07,16.8,14.0,RCB
RA Jadeja,LSG,218,5,27,9.08,28.8,24.0,SRH
NT Ellis,MI,135,5,20,9.64,16.8,14.0,SRH
Akash Vasisht,PBKS,145,5,22,10.36,16.8,14.0,SRH
Washington Sundar,DC,168,5,44,7.3,27.6,23.0,PBKS
Nithish Kumar Reddy,RCB,156,5,13,10.4,18.0,15.0,SRH
Washington Sundar,KKR,149,5,27,8.76,20.4,17.0,PBKS
Washington Sundar,LSG,215,5,44,8.27,31.2,26.0,PBKS
Naveen-ul-Haq,CSK,103,5,31,8.58,14.4,12.0,SRH
RA Jadeja,SRH,279,5,39,11.23,29.8,24.5,SRH
Arshad Khan,PBKS,215,5,37,9.77,26.4,22.0,DC
Shashank Singh,DC,204,5,49,10.2,24.0,20.0,PBKS
YS Chahal,DC,214,5,30,11.36,22.6,18.5,RCB
Mustafizur Rahman,MI,145,5,35,9.06,19.2,16.0,
R Sai Kishore,SRH,154,5,19,10.15,18.2,15.1,MI
BA Stokes,RR,65,5,20,9.29,8.4,7.0,RR
DAJ Bracewell,CSK,103,5,28,8.58,14.4,12.0,
Rasikh Salam,CSK,146,5,22,9.73,18.0,15.0,MI
R Ashwin,CSK,140,5,36,7.78,21.6,18.0,KKR
Yash Thakur,CSK,116,5,26,8.29,16.8,14.0,MI
R Shepherd,RCB,135,5,9,12.27,13.2,11.0,GT
R Sai Kishore,RR,232,5,45,9.67,28.8,24.0,MI
Rashid Khan,RCB,151,5,44,7.55,24.0,20.0,MI
Sandeep Sharma,GT,143,4,15,11.92,18.0,12.0,
V Nigam,LSG,94,4,20,8.55,16.5,11.0,GT
JR Hazlewood,GT,135,4,15,9.0,22.5,15.0,RR
Harshit Rana,KKR,61,4,15,8.71,10.5,7.0,KKR
CH Gayle,RCB,37,4,7,9.25,6.0,4.0,CSK
KA Maharaj,RR,85,4,23,8.1,15.75,10.3,SRH
Harshit Rana,MI,163,4,44,9.06,27.0,18.0,KKR
Nithish Kumar Reddy,CSK,80,4,15,8.89,13.5,9.0,SRH
SZ Mulani,SRH,67,4,20,6.7,15.0,10.0,LSG
AD Russell,MI,241,4,20,12.05,30.0,20.0,DC
JN Loftie-Eaton,PBKS,63,4,17,7.88,12.0,8.0,RR
V Nigam,CSK,162,4,26,10.12,24.0,16.0,GT
SZ Mulani,PBKS,62,4,7,10.33,9.0,6.0,LSG
PWH de Silva,PBKS,197,4,46,8.21,36.0,24.0,RCB
SL Malinga,KKR,69,4,17,8.62,12.0,8.0,PBKS
Harsh Dubey,KKR,141,4,30,9.4,22.5,15.0,RCB
Yash Thakur,SRH,28,4,21,5.09,8.25,5.3,MI
RA Jadeja,RCB,191,4,24,10.61,27.0,18.0,SRH
CV Varun,DC,246,4,32,10.7,34.5,23.0,PBKS
M Siddharth,GT,97,4,19,8.08,18.0,12.0,CSK
Jagjit Singh,PBKS,136,4,31,9.07,22.5,15.0,SRH
S Lamichhane,SRH,67,4,17,7.31,13.75,9.1,DC
HV Patel,MI,193,4,38,9.65,30.0,20.0,GT
Jagjit Singh,RCB,77,4,27,7.45,15.5,10.2,SRH
HV Patel,RCB,234,4,31,11.14,31.5,21.0,GT
HV Patel,SRH,45,4,13,7.5,9.0,6.0,GT
Avesh Khan,PBKS,171,4,24,11.27,22.75,15.1,GT
Suryansh Shedge,DC,202,4,26,11.12,27.25,18.1,CSK
SH Johnson,GT,75,4,23,8.04,14.0,9.2,GT
Sikandar Raza,KKR,93,4,19,7.75,18.0,12.0,
Harpreet Brar,MI,104,4,16,9.31,16.75,11.1,GT
Harpreet Brar,PBKS,172,4,46,7.48,34.5,23.0,GT
SH Johnson,RCB,86,4,22,9.05,14.25,9.3,GT
Yudhvir Singh,MI,214,4,37,10.7,30.0,20.0,RCB
LS Livingstone,LSG,181,4,26,11.8,23.0,15.2,KKR
C Sakariya,RCB,106,4,23,8.83,18.0,12.0,SRH
PWH de Silva,LSG,228,4,28,10.36,33.0,22.0,RCB
JJ Smit,RCB,38,4,10,7.6,7.5,5.0,PBKS
Ashwani Kumar,RCB,93,4,8,11.62,12.0,8.0,RR
Khrievitso Kense,LSG,103,4,18,8.58,18.0,12.0,RCB
PHKD Mendis,SRH,63,4,11,9.22,10.25,6.5,DC
A Zampa,GT,152,4,22,9.5,24.0,16.0,SRH
PWH de Silva,DC,78,4,12,9.75,12.0,8.0,RCB
SP Narine,CSK,151,4,21,9.44,24.0,16.0,KKR
SP Narine,DC,230,4,23,9.58,36.0,24.0,KKR
R Parag,DC,76,4,15,8.44,13.5,9.0,GT
R Ashwin,RR,206,4,25,10.84,28.5,19.0,KKR
PJ Cummins,CSK,89,4,29,8.09,16.5,11.0,
SP Narine,MI,297,4,62,8.25,54.0,36.0,KKR
PJ Cummins,GT,178,4,37,8.9,30.0,20.0,
Usman Khan (2),GT,23,4,10,7.67,4.5,3.0,
KK Ahmed,CSK,94,4,34,7.83,18.0,12.0,RR
A Nagwaswalla,PBKS,22,4,14,5.5,6.0,4.0,RR
KH Pandya,DC,186,4,39,8.86,31.5,21.0,RR
PJ Cummins,MI,157,4,28,9.81,24.0,16.0,
Utkarsh Singh,CSK,37,4,8,9.65,5.75,3.5,PBKS
A Zampa,MI,160,4,21,8.89,27.0,18.0,SRH
Utkarsh Singh,DC,31,4,13,6.2,7.5,5.0,PBKS
LI Meriwala,LSG,87,4,18,7.91,16.5,11.0,DC
A Nortje,CSK,64,4,18,8.0,12.0,8.0,
AD Russell,GT,145,4,17,12.25,17.75,11.5,DC
LI Meriwala,SRH,117,4,20,9.75,18.0,12.0,DC
Azmatullah Omarzai,KKR,57,4,26,5.7,15.0,10.0,
PHKD Mendis,RR,80,4,13,8.89,13.5,9.0,DC
Imran Tahir,PBKS,107,4,26,10.03,16.0,10.4,CSK
R Shepherd,PBKS,147,4,25,9.19,24.0,16.0,GT
AD Russell,CSK,167,4,21,10.44,24.0,16.0,DC
C Green,LSG,174,4,34,8.7,30.0,20.0,KKR
SL Malinga,RR,101,4,15,10.1,15.0,10.0,PBKS
J Anderson,GT,31,4,9,7.75,6.0,4.0,
Kuldeep Yadav,RCB,234,4,49,8.67,40.5,27.0,SRH
S Lamichhane,RCB,71,4,10,11.83,9.0,6.0,DC
YS Chahal,MI,203,4,29,10.15,30.0,20.0,RCB
Ashwani Kumar,CSK,34,4,8,8.5,6.0,4.0,RR
A Zampa,SRH,144,4,22,9.0,24.0,16.0,SRH
M Siddharth,MI,48,4,18,6.0,12.0,8.0,CSK
Mohammad Ghazanfar,RR,101,4,20,8.42,18.0,12.0,SRH
Mustafizur Rahman,GT,102,4,12,10.2,15.0,10.0,
Chirag Jani,GT,106,4,23,8.83,18.0,12.0,CSK
GD Phillips,RCB,48,4,11,9.6,7.5,5.0,GT
GF Linde,DC,71,4,19,9.47,11.25,7.3,GT
Abhishek Sharma,DC,179,4,26,9.59,28.0,18.4,MI
Avesh Khan,CSK,230,4,44,9.58,36.0,24.0,GT
TA Boult,DC,250,4,63,9.32,40.25,26.5,MI
R Ashwin,DC,169,4,40,8.82,28.75,19.1,KKR
Shakib Al Hasan,MI,89,4,27,7.42,18.0,12.0,
GF Linde,SRH,137,4,17,9.13,22.5,15.0,GT
Akash Vasisht,DC,62,4,15,8.86,10.5,7.0,SRH
Mohammed Shami,SRH,58,4,15,7.25,12.0,8.0,LSG
Mohammed Shami,RCB,206,4,37,10.3,30.0,20.0,LSG
Rasikh Salam,RCB,89,4,16,8.61,15.5,10.2,MI
GJ Maxwell,GT,270,4,35,9.82,41.25,27.3,DC
Rasikh Salam,PBKS,101,4,21,9.18,16.5,11.0,MI
GJ Maxwell,KKR,209,4,30,9.09,34.5,23.0,DC
Akash Vasisht,KKR,131,4,16,9.36,21.0,14.0,SRH
Akash Vasisht,RCB,95,4,21,7.31,19.5,13.0,SRH
AR Ramjani,RR,99,4,17,9.0,16.5,11.0,PBKS
GD Phillips,LSG,101,4,14,10.1,15.0,10.0,GT
V Puthur,PBKS,107,4,23,9.73,16.5,11.0,DC
R Sai Kishore,RCB,249,4,29,10.09,37.0,24.4,MI
DS Rathi,SRH,110,4,17,11.0,15.0,10.0,KKR
Rashid Khan,KKR,102,4,21,8.5,18.0,12.0,MI
MJ Santner,RCB,113,4,22,9.42,18.0,12.0,KKR
MJ Owen,RR,158,4,18,13.17,18.0,12.0,DC
DS Rathi,PBKS,145,4,30,9.06,24.0,16.0,KKR
MJ Owen,RCB,130,4,13,10.83,18.0,12.0,DC
Mohsin Khan,KKR,61,4,17,9.15,10.0,6.4,
Mohammed Siraj,SRH,54,4,22,7.71,10.5,7.0,
MG Erasmus,SRH,108,4,22,9.82,16.5,11.0,
Rashid Khan,DC,118,4,17,10.57,16.75,11.1,MI
Abrar Ahmed,SRH,86,4,9,10.75,12.0,8.0,
WG Jacks,PBKS,94,4,27,7.62,18.5,12.2,LSG
Atharva Ankolekar,RR,35,4,6,8.75,6.0,4.0,MI
Yudhvir Singh,GT,113,4,21,11.3,15.0,10.0,RCB
MJ Owen,GT,92,4,8,12.27,11.25,7.3,DC
R Sai Kishore,GT,100,4,19,10.0,15.0,10.0,MI
AR Ramjani,DC,71,4,17,8.88,12.0,8.0,PBKS
DAJ Bracewell,DC,196,4,21,12.25,24.0,16.0,
Washington Sundar,GT,128,4,28,8.53,22.5,15.0,PBKS
H Ssenyondo,SRH,68,4,14,8.5,12.0,8.0,LSG
AJ Tye,SRH,32,4,10,8.0,6.0,4.0,
Arshad Khan,LSG,120,4,17,10.0,18.0,12.0,DC
HJ Manenti,RCB,53,4,11,9.94,8.0,5.2,CSK
M Theekshana,GT,140,4,26,8.75,24.0,16.0,
TA Boult,GT,165,4,36,8.68,28.5,19.0,MI
HJ Manenti,KKR,27,4,6,9.0,4.5,3.0,CSK
M Theekshana,RCB,59,4,15,8.23,10.75,7.1,
AK Markram,CSK,154,4,22,11.0,21.0,14.0,DC
Arshad Khan,CSK,84,4,22,7.64,16.5,11.0,DC
S Lamichhane,KKR,132,4,18,11.0,18.0,12.0,DC
BA Stokes,DC,125,4,19,10.42,18.0,12.0,RR
Mayank Dagar,RCB,81,4,17,10.12,12.0,8.0,LSG
Shakib Al Hasan,SRH,153,4,46,7.65,30.0,20.0,
Yuvraj Singh,DC,91,4,14,11.38,12.0,8.0,CSK
Washington Sundar,MI,196,4,34,8.91,33.0,22.0,PBKS
H Ssenyondo,GT,58,4,17,7.25,12.0,8.0,LSG
Mayank Dagar,CSK,45,4,10,10.38,6.5,4.2,LSG
VG Arora,MI,156,4,28,9.75,24.0,16.0,KKR
Mohammed Shami,DC,211,4,27,11.72,27.0,18.0,LSG
Avesh Khan,GT,107,4,22,8.92,18.0,12.0,GT
Mayank Dagar,KKR,85,3,11,10.62,16.0,8.0,LSG
Mohammad Ghazanfar,CSK,80,3,16,7.27,22.0,11.0,SRH
Ravi Bishnoi,RCB,177,3,43,8.5,41.67,20.5,GT
KC Cariappa,LSG,30,3,9,7.5,8.0,4.0,
R Shepherd,CSK,120,3,18,10.0,24.0,12.0,GT
Jagjit Singh,RR,144,3,35,9.6,30.0,15.0,SRH
KH Pandya,KKR,106,3,22,8.15,26.0,13.0,RR
KH Pandya,LSG,200,3,31,10.53,38.0,19.0,RR
KH Pandya,MI,128,3,18,9.85,26.0,13.0,RR
Mohammad Ghazanfar,GT,147,3,15,12.25,24.0,12.0,SRH
R Ashwin,SRH,189,3,30,9.95,38.0,19.0,KKR
KH Pandya,RCB,129,3,32,8.06,32.0,16.0,RR
SS Ghosh,RR,24,3,8,8.0,6.0,3.0,MI
KH Pandya,RR,137,3,25,9.13,30.0,15.0,RR
Mujeeb Ur Rahman,GT,117,3,19,10.64,22.0,11.0,
MR Marsh,PBKS,26,3,10,6.5,8.0,4.0,SRH
KK Ahmed,LSG,150,3,22,10.0,30.0,15.0,RR
KK Ahmed,RCB,54,3,18,7.71,14.0,7.0,RR
KK Ahmed,SRH,40,3,16,5.85,13.67,6.5,RR
Shivank Vashisth,KKR,67,3,14,9.57,14.0,7.0,
K Rabada,DC,24,3,9,6.0,8.0,4.0,
PJ Cummins,RCB,65,3,12,9.29,14.0,7.0,
K Kartikeya,MI,100,3,24,7.79,25.67,12.5,LSG
K Kartikeya,RR,68,3,18,8.5,16.0,8.0,LSG
R Shepherd,LSG,144,3,21,12.0,24.0,12.0,GT
Sikandar Raza,MI,129,3,26,8.06,32.0,16.0,
Shadab Khan,GT,25,3,9,8.33,6.0,3.0,SRH
Rashid Khan,MI,231,3,33,10.04,46.0,23.0,MI
Sandeep Sharma,CSK,174,3,33,9.49,36.67,18.2,
Mohammed Siraj,KKR,102,3,37,6.8,30.0,15.0,
Mayank Dagar,PBKS,217,3,31,11.52,37.67,18.5,LSG
Ravi Bishnoi,KKR,58,3,23,7.25,16.0,8.0,GT
Swapnil Singh,KKR,67,3,14,7.73,17.33,8.4,CSK
Swapnil Singh,LSG,134,3,21,9.57,28.0,14.0,CSK
Ravi Bishnoi,MI,111,3,26,9.25,24.0,12.0,GT
PWH de Silva,CSK,184,3,18,9.2,40.0,20.0,RCB
Suyash Sharma,RCB,136,3,34,8.5,32.0,16.0,KKR
Pulkit Narang,LSG,6,3,7,3.0,4.0,2.0,RR
Swapnil Singh,PBKS,81,3,21,8.1,20.0,10.0,CSK
MR Marsh,RCB,67,3,15,7.44,18.0,9.0,SRH
Shadab Khan,RCB,62,3,17,8.86,14.0,7.0,SRH
Sikandar Raza,RR,80,3,28,7.27,22.0,11.0,
Mohammad Nabi,MI,69,3,10,8.62,16.0,8.0,LSG
Mohammed Siraj,MI,153,3,21,10.93,28.0,14.0,
PJ Cummins,RR,49,3,28,6.12,16.0,8.0,
KA Maharaj,DC,49,3,7,11.31,8.67,4.2,SRH
TU Deshpande,MI,116,3,30,8.29,28.0,14.0,MI
S Lamichhane,PBKS,95,3,19,8.64,22.0,11.0,DC
TU Deshpande,KKR,79,3,17,9.88,16.0,8.0,MI
Naveen-ul-Haq,RCB,75,3,20,9.38,16.0,8.0,SRH
Shakib Al Hasan,RCB,134,3,23,9.57,28.0,14.0,
LS Livingstone,SRH,147,3,18,12.25,24.0,12.0,KKR
TA Boult,SRH,184,3,41,9.2,40.0,20.0,MI
M Jansen,CSK,144,3,30,9.29,31.0,15.3,
M Jansen,KKR,65,3,18,8.12,16.0,8.0,
M Markande,CSK,72,3,28,6.55,22.0,11.0,
RR Patel,DC,44,3,6,11.0,8.0,4.0,RCB
SL Malinga,MI,75,3,8,10.71,14.0,7.0,PBKS
M Markande,RCB,71,3,19,7.1,20.0,10.0,
TA Boult,PBKS,164,3,33,10.25,32.0,16.0,MI
Nithish Kumar Reddy,MI,116,3,16,9.04,25.67,12.5,SRH
Nithish Kumar Reddy,KKR,100,3,18,8.33,24.0,12.0,SRH
Jagjit Singh,LSG,76,3,9,12.67,12.0,6.0,SRH
Naveen-ul-Haq,MI,102,3,13,12.75,16.0,8.0,SRH
Noor Ahmad,MI,87,3,8,10.88,16.0,8.0,MI
Shaheen Shah Afridi,PBKS,86,3,13,10.75,16.0,8.0,MI
Suryansh Shedge,LSG,169,3,33,8.89,38.0,19.0,CSK
RA Jadeja,MI,233,3,37,9.99,46.67,23.2,SRH
SH Johnson,LSG,65,3,19,8.3,15.67,7.5,GT
SH Johnson,KKR,68,3,20,8.5,16.0,8.0,GT
RA Jadeja,PBKS,163,3,26,9.59,34.0,17.0,SRH
Naman Dhir,PBKS,63,3,6,12.6,10.0,5.0,GT
Naseem Shah,MI,54,3,23,6.75,16.0,8.0,
Naseem Shah,DC,84,3,14,10.5,16.0,8.0,
M Prasidh Krishna,RR,184,3,32,9.2,40.0,20.0,RR
M Prasidh Krishna,SRH,279,3,33,9.96,56.0,28.0,RR
S Lamichhane,RR,128,3,10,11.82,21.67,10.5,DC
M Siddharth,LSG,119,3,26,10.2,23.33,11.4,CSK
LS Livingstone,RR,181,3,16,10.65,34.0,17.0,KKR
R Ashwin,LSG,151,3,21,10.07,30.0,15.0,KKR
KV Sharma,DC,41,3,5,10.25,8.0,4.0,
Khrievitso Kense,GT,70,3,18,8.75,16.0,8.0,RCB
SP Narine,LSG,198,3,40,9.0,44.0,22.0,KKR
Mujeeb Ur Rahman,PBKS,56,3,21,7.0,16.0,8.0,
Ravi Teja,GT,69,3,20,7.81,17.67,8.5,RCB
Suyash Sharma,PBKS,103,3,26,9.36,22.0,11.0,KKR
Ravi Teja,KKR,86,3,27,8.6,20.0,10.0,RCB
SN Thakur,RCB,99,3,13,12.38,16.0,8.0,
SM Curran,RCB,105,3,12,11.67,18.0,9.0,
Shaheen Shah Afridi,CSK,78,3,11,9.75,16.0,8.0,MI
SM Curran,LSG,66,3,20,8.25,16.0,8.0,
Suyash Sharma,LSG,136,3,21,8.5,32.0,16.0,KKR
R Ashwin,RCB,114,3,38,8.14,28.0,14.0,KKR
Shaheen Shah Afridi,SRH,59,3,14,9.57,12.33,6.1,MI
Khrievitso Kense,CSK,112,3,18,9.33,24.0,12.0,RCB
Khrievitso Kense,PBKS,103,3,18,8.58,24.0,12.0,RCB
RS Hangargekar,CSK,53,3,14,6.62,16.0,8.0,
S Lamichhane,LSG,19,3,6,6.71,5.67,2.5,DC
Khrievitso Kense,RR,111,3,34,7.4,30.0,15.0,RCB
Shivam Shukla,PBKS,39,3,8,9.75,8.0,4.0,MI
RA Bawa,KKR,59,3,17,6.56,18.0,9.0,SRH
SM Curran,CSK,102,3,17,9.27,22.0,11.0,
LI Meriwala,KKR,72,3,12,9.0,16.0,8.0,DC
Mustafizur Rahman,RCB,125,3,33,8.33,30.0,15.0,
Mustafizur Rahman,SRH,169,3,15,11.27,30.0,15.0,
Pulkit Narang,SRH,49,3,17,7.54,13.0,6.3,RR
MG Bracewell,PBKS,54,3,12,9.0,12.0,6.0,
PHKD Mendis,GT,123,3,17,11.18,22.0,11.0,DC
RS Hangargekar,RR,95,3,23,7.92,24.0,12.0,
Shakib Al Hasan,KKR,85,3,29,7.08,24.0,12.0,
MG Bracewell,SRH,79,3,17,8.78,18.0,9.0,
K Kartikeya,PBKS,38,3,15,6.33,12.0,6.0,LSG
Ashwani Kumar,DC,95,3,9,13.57,14.0,7.0,RR
AK Markram,DC,102,3,12,12.75,16.0,8.0,DC
DR Sams,KKR,50,3,11,12.5,8.0,4.0,
Arshad Khan,GT,213,3,18,11.21,38.0,19.0,DC
VG Arora,PBKS,116,3,22,8.59,27.0,13.3,KKR
Arshad Khan,KKR,102,3,14,11.33,18.0,9.0,DC
Arshad Khan,SRH,102,3,26,10.2,20.0,10.0,DC
DJ Bravo,PBKS,42,3,5,10.5,8.0,4.0,
J Anderson,KKR,51,3,4,16.11,6.33,3.1,
Ashutosh Sharma,RR,81,3,9,10.12,16.0,8.0,RCB
Ashutosh Sharma,SRH,90,3,17,9.0,20.0,10.0,RCB
DAJ Bracewell,RR,72,3,12,12.0,12.0,6.0,
V Puthur,KKR,79,3,16,7.9,20.0,10.0,DC
DAJ Bracewell,MI,106,3,17,9.35,22.67,11.2,
AD Russell,RR,255,3,25,13.3,38.33,19.1,DC
AD Russell,RCB,201,3,27,11.17,36.0,18.0,DC
Ashwani Kumar,GT,138,3,5,17.25,16.0,8.0,RR
Ashwani Kumar,KKR,72,3,14,9.0,16.0,8.0,RR
WG Jacks,CSK,173,3,15,10.81,32.0,16.0,LSG
JA Duffy,DC,28,3,9,7.0,8.0,4.0,GT
JA Duffy,KKR,38,3,11,9.5,8.0,4.0,GT
JA Duffy,RCB,32,3,12,8.0,8.0,4.0,GT
JA Richardson,SRH,37,3,11,9.25,8.0,4.0,
D Wiese,RR,153,3,11,11.77,26.0,13.0,GT
Ashwin Das,PBKS,35,3,10,8.75,8.0,4.0,LSG
AJ Tye,PBKS,37,3,10,9.25,8.0,4.0,
Akash Vasisht,MI,82,3,7,10.25,16.0,8.0,SRH
D Wiese,KKR,88,3,21,8.0,22.0,11.0,GT
Akash Vasisht,LSG,102,3,29,7.29,28.0,14.0,SRH
GF Linde,MI,150,3,29,10.0,30.0,15.0,GT
H Ssenyondo,RR,17,3,13,4.25,8.0,4.0,LSG
Abdul Samad,PBKS,28,3,13,5.6,10.0,5.0,LSG
HJ Manenti,GT,125,3,23,10.42,24.0,12.0,CSK
Abdul Samad,RR,67,3,7,11.17,12.0,6.0,LSG
Abhishek Sharma,LSG,96,3,20,9.6,20.0,10.0,MI
GD Phillips,CSK,91,3,8,11.38,16.0,8.0,GT
Fazalhaq Farooqi,DC,165,3,30,8.84,37.33,18.4,CSK
HV Patel,GT,64,3,8,10.67,12.0,6.0,GT
Abrar Ahmed,CSK,67,3,10,8.93,15.0,7.3,
Abrar Ahmed,DC,84,3,7,12.0,14.0,7.0,
Harpreet Brar,GT,138,3,22,9.86,28.0,14.0,GT
Abrar Ahmed,LSG,31,3,8,8.45,7.33,3.4,
Harpreet Brar,LSG,169,3,16,10.56,32.0,16.0,GT
DS Rathi,GT,67,3,9,9.57,14.0,7.0,KKR
Harsh Dubey,RR,69,3,14,8.62,16.0,8.0,RCB
DS Airee,RR,79,3,19,9.88,16.0,8.0,CSK
V Nigam,MI,52,3,5,13.0,8.0,4.0,GT
Yudhvir Singh,DC,120,3,24,10.0,24.0,12.0,RCB
DS Airee,GT,30,3,5,9.47,6.33,3.1,CSK
Harshit Rana,LSG,137,3,29,8.56,32.0,16.0,KKR
V Nigam,KKR,75,3,9,9.38,16.0,8.0,GT
Yuvraj Singh,KKR,39,3,10,9.75,8.0,4.0,CSK
A Sheth,CSK,21,3,15,5.25,8.0,4.0,DC
Abdul Samad,KKR,60,3,16,7.5,16.0,8.0,LSG
A Mishra,GT,34,3,7,8.5,8.0,4.0,
YK Pathan,LSG,45,3,12,6.43,14.0,7.0,KKR
BA Stokes,CSK,97,3,17,8.08,24.0,12.0,RR
BA Stokes,RCB,72,3,14,10.29,14.0,7.0,RR
Yash Thakur,DC,110,3,12,11.0,20.0,10.0,MI
CJ Jordan,DC,34,3,7,8.5,8.0,4.0,
C Sakariya,PBKS,74,3,14,9.25,16.0,8.0,SRH
C Sakariya,RR,123,3,26,8.2,30.0,15.0,SRH
Cheepurapalli Stephen,SRH,103,3,10,10.3,20.0,10.0,CSK
YK Pathan,RR,93,3,13,10.33,18.0,9.0,KKR
Chirag Jani,RCB,25,3,8,6.0,8.33,4.1,CSK
JN Loftie-Eaton,LSG,97,3,27,8.08,24.0,12.0,RR
C Green,SRH,155,3,33,8.61,36.0,18.0,KKR
C Sakariya,CSK,124,3,21,8.65,28.67,14.2,SRH
YK Pathan,PBKS,55,3,21,6.11,18.0,9.0,KKR
YS Chahal,LSG,109,3,13,9.91,22.0,11.0,RCB
BJ McMullen,KKR,52,3,7,10.4,10.0,5.0,RR
JM Coles,KKR,39,3,6,9.75,8.0,4.0,MI
BA Stokes,MI,182,3,33,10.11,36.0,18.0,RR
Baltej Singh,GT,18,2,8,6.0,9.0,3.0,
MM Ali,PBKS,66,2,10,8.25,24.0,8.0,
Akash Vasisht,RR,57,2,15,6.33,27.0,9.0,SRH
MP Yadav,PBKS,26,2,12,6.5,12.0,4.0,PBKS
PP Chawla,LSG,90,2,15,11.25,24.0,8.0,
Yash Dayal,DC,32,2,5,8.0,12.0,4.0,
Rashid Khan,CSK,205,2,37,9.32,66.0,22.0,MI
MM Ali,DC,27,2,12,6.75,12.0,4.0,
RR Patel,GT,73,2,11,9.12,24.0,8.0,RCB
CH Morris,CSK,39,2,10,9.75,12.0,4.0,
Ramandeep Singh,RCB,21,2,3,7.0,9.0,3.0,LSG
Ramandeep Singh,MI,75,2,8,10.71,21.0,7.0,LSG
DS Airee,CSK,43,2,6,10.75,12.0,4.0,CSK
CH Gayle,SRH,27,2,2,13.5,6.0,2.0,CSK
Ramandeep Singh,KKR,156,2,20,10.4,45.0,15.0,LSG
Sufiyan Muqeem,MI,18,2,14,4.5,12.0,4.0,GT
Ramandeep Singh,GT,76,2,6,9.5,24.0,8.0,LSG
DR Sams,PBKS,73,2,10,10.43,21.0,7.0,
Sikandar Raza,PBKS,119,2,19,9.92,36.0,12.0,
DS Airee,PBKS,36,2,4,9.0,12.0,4.0,CSK
Akash Deep,RR,125,2,21,10.42,36.0,12.0,
MJ Suthar,PBKS,47,2,6,11.75,12.0,4.0,
DR Sams,RCB,45,2,12,9.0,15.0,5.0,
D Brevis,RCB,25,2,6,8.33,9.0,3.0,LSG
Sufiyan Muqeem,LSG,38,2,8,9.5,12.0,4.0,GT
Abdul Samad,RCB,36,2,14,7.2,15.0,5.0,LSG
Yudhvir Singh,PBKS,47,2,13,7.83,18.0,6.0,RCB
C Sakariya,GT,60,2,16,7.5,24.0,8.0,SRH
GD Phillips,SRH,80,2,14,10.0,24.0,8.0,GT
GF Linde,CSK,106,2,21,8.83,36.0,12.0,GT
Abhishek Sharma,CSK,67,2,13,8.74,23.0,7.4,MI
Baltej Singh,RCB,28,2,4,14.0,6.0,2.0,
Ravi Bishnoi,LSG,62,2,17,7.75,24.0,8.0,GT
MR Marsh,LSG,48,2,10,9.93,14.5,4.5,SRH
YK Pathan,SRH,70,2,19,7.0,30.0,10.0,KKR
Ravi Bishnoi,PBKS,72,2,18,9.0,24.0,8.0,GT
Bilal Zalmai,PBKS,36,2,4,9.0,12.0,4.0,
MA Wood,KKR,20,2,8,5.0,12.0,4.0,
MA Wood,GT,70,2,9,10.0,21.0,7.0,
GF Linde,RCB,73,2,15,9.12,24.0,8.0,GT
Rasikh Salam,LSG,141,2,14,11.75,36.0,12.0,MI
Abhishek Sharma,RR,62,2,9,7.75,24.0,8.0,MI
V Puthur,MI,94,2,14,10.44,27.0,9.0,DC
V Puthur,RCB,14,2,10,4.67,9.0,3.0,DC
Sikandar Raza,SRH,193,2,15,11.35,51.0,17.0,
MJ Owen,CSK,57,2,12,8.14,21.0,7.0,DC
PJ Cummins,LSG,140,2,21,10.0,42.0,14.0,
Yudhvir Singh,LSG,43,2,5,10.75,12.0,4.0,RCB
G Coetzee,RCB,21,2,12,7.0,9.0,3.0,
PHKD Mendis,KKR,36,2,9,6.97,15.5,5.1,DC
PHKD Mendis,DC,93,2,9,11.62,24.0,8.0,DC
Abid Mushtaq,RCB,48,2,8,12.0,12.0,4.0,
Yudhvir Singh,KKR,47,2,22,7.83,18.0,6.0,RCB
MJ Santner,DC,77,2,7,10.5,22.0,7.2,KKR
Sikandar Raza,RCB,17,2,8,6.0,8.5,2.5,
Sonu Yadav,DC,33,2,4,11.0,9.0,3.0,PBKS
PP Chawla,GT,35,2,4,8.75,12.0,4.0,
MR Marsh,KKR,30,2,11,7.5,12.0,4.0,SRH
MW Short,RCB,9,2,2,9.0,3.0,1.0,MI
RE van der Merwe,CSK,51,2,6,12.75,12.0,4.0,
Mukesh Kumar,MI,35,2,11,8.75,12.0,4.0,
R Tewatia,PBKS,55,2,10,9.17,18.0,6.0,
