striker,bowler,runs_scored,balls_bowled,outs,4s,6s,bat_sr,bowl_eco,dot%
N Pooran,YS Chahal,48,28,1,3,3,171.43,10.71,32.14
AM Rahane,SP Narine,48,27,1,2,3,177.78,10.67,25.93
Abhishek Sharma,CV Varun,48,27,1,5,1,177.78,10.89,22.22
Abishek Porel,Rasikh Salam,48,27,1,5,1,177.78,10.67,14.81
RD Rickelton,JR Hazlewood,48,26,1,5,2,184.62,11.31,34.62
Shubman Gill,GD Phillips,48,21,1,8,1,228.57,13.71,14.29
Shubman Gill,JJ Bumrah,48,21,1,4,4,228.57,13.71,38.1
CH Gayle,JJ Smit,47,30,1,3,4,156.67,9.6,46.67
KL Rahul,WG Jacks,47,30,1,3,2,156.67,9.4,16.67
Tarang Gohel,GJ Maxwell,47,29,1,6,2,162.07,9.72,48.28
F du Plessis,MA Starc,47,28,1,3,3,167.86,10.07,32.14
TM Head,HH Pandya,47,27,1,5,1,174.07,10.67,18.52
JC Buttler,Arshdeep Singh,47,24,1,3,4,195.83,11.75,29.17
Tarang Gohel,R Shepherd,47,23,1,8,0,204.35,12.26,17.39
KL Rahul,Abrar Ahmed,47,22,1,5,2,213.64,12.82,9.09
PD Salt,Noor Ahmad,47,22,1,4,4,213.64,13.09,36.36
BM Duckett,M Pathirana,47,20,1,6,2,235.0,14.4,25.0
RD Rickelton,Ashutosh Sharma,47,20,1,4,3,235.0,14.1,10.0
PD Salt,JR Hazlewood,46,42,1,6,0,109.52,6.57,42.86
TM Head,DAJ Bracewell,46,31,1,6,0,148.39,9.1,22.58
Shubman Gill,R Sai Kishore,46,26,1,5,1,176.92,11.31,23.08
SA Yadav,Avesh Khan,46,22,1,5,3,209.09,12.82,40.91
GJ Maxwell,Ravi Bishnoi,45,37,1,5,0,121.62,7.3,35.14
WG Jacks,JJ Bumrah,45,32,1,3,2,140.62,8.62,25.0
B Sai Sudharsan,M Jansen,45,31,1,6,1,145.16,8.9,35.48
KL Rahul,PWH de Silva,45,31,1,2,2,140.62,9.1,18.75
Ishan Kishan,Rashid Khan,45,29,1,5,1,155.17,9.31,20.69
GJ Maxwell,A Zampa,45,24,1,1,3,187.5,11.75,16.67
Rahul Singh,Imran Tahir,45,24,1,5,2,187.5,11.25,33.33
Jay Gohil,JC Archer,45,22,1,5,2,204.55,12.27,31.82
Ishan Kishan,JC Archer,45,20,1,2,4,225.0,13.5,20.0
RG Sharma,Kuldeep Yadav,44,44,1,4,1,100.0,6.14,52.27
S Dube,HH Pandya,44,41,1,2,2,107.32,6.59,48.78
LS Livingstone,T Natarajan,44,29,1,2,4,146.67,9.52,46.67
RD Rickelton,JJ Bumrah,44,26,1,5,2,169.23,10.62,46.15
C Green,M Prasidh Krishna,44,25,1,4,3,176.0,10.56,36.0
WG Jacks,Nithish Kumar Reddy,44,25,1,3,3,176.0,10.56,24.0
Naman Dhir,AR Patel,44,24,1,5,1,183.33,11.0,20.83
DP Conway,Mujeeb Ur Rahman,44,23,1,5,2,183.33,12.26,37.5
N Pooran,Mayank Dagar,44,23,1,2,4,191.3,11.74,26.09
Abhishek Sharma,Tanush Kotian,44,20,1,5,2,220.0,13.5,25.0
N Rana,T Natarajan,44,20,1,6,2,220.0,13.2,30.0
SS Iyer,AR Patel,43,36,1,2,2,119.44,7.83,38.89
TM Head,M Pathirana,43,32,1,4,1,134.38,8.25,31.25
JC Buttler,GJ Maxwell,43,30,1,6,0,143.33,8.8,26.67
RD Gaikwad,PJ Cummins,43,25,1,4,2,172.0,10.56,24.0
Urvil Patel,Tanush Kotian,43,25,1,4,2,172.0,11.28,48.0
FH Allen,VG Arora,43,24,1,5,1,179.17,10.75,20.83
PD Salt,AR Ramjani,43,23,1,0,3,186.96,11.22,8.7
Naman Dhir,BA Stokes,43,22,1,4,1,195.45,11.73,13.64
C Green,Ashwani Kumar,43,21,1,3,3,204.76,12.29,14.29
Shashank Singh,A Zampa,42,32,1,1,2,131.25,7.88,18.75
JP Inglis,AR Patel,42,28,1,4,1,150.0,9.21,21.43
WG Jacks,Tanush Kotian,42,25,1,6,1,168.0,10.08,28.0
PD Salt,SP Narine,42,24,1,3,3,175.0,10.5,33.33
V Kohli,CV Varun,42,24,1,3,2,175.0,10.5,25.0
GJ Maxwell,CV Varun,42,21,1,4,3,200.0,12.0,28.57
B Sai Sudharsan,Arshdeep Singh,41,27,1,5,1,151.85,9.78,33.33
RD Gaikwad,B Kumar,41,27,1,7,0,151.85,9.56,44.44
SV Samson,KA Maharaj,41,27,1,4,2,151.85,9.11,44.44
H Klaasen,Harpreet Brar,41,25,1,4,2,164.0,9.84,28.0
SA Yadav,A Zampa,41,25,1,4,1,164.0,10.08,28.0
V Kohli,JC Archer,41,25,1,3,2,164.0,9.84,36.0
Smaran Ravichandran,JJ Bumrah,41,23,1,2,3,178.26,10.96,30.43
V Suryavanshi,T Natarajan,41,23,1,4,1,178.26,10.7,17.39
JP Inglis,HH Pandya,41,22,1,5,1,186.36,11.18,18.18
SS Iyer,RA Jadeja,41,22,1,3,2,186.36,11.18,13.64
N Sindhu,Mohammed Shami,41,21,1,2,4,195.24,12.0,47.62
JP Inglis,Shahbaz Ahmed,41,20,1,4,2,205.0,12.6,30.0
S Dube,Shashank Singh,41,20,1,5,1,205.0,12.3,30.0
Priyansh Arya,Washington Sundar,40,30,1,3,0,133.33,8.2,26.67
JC Buttler,CV Varun,40,27,1,4,1,148.15,9.11,22.22
GJ Maxwell,JJ Smit,40,25,1,2,2,160.0,9.6,16.0
MP Stoinis,MA Starc,40,24,1,4,2,166.67,10.0,33.33
RA Jadeja,JJ Bumrah,40,24,1,5,1,166.67,10.0,25.0
PP Shaw,Mohammed Siraj,40,22,1,5,2,181.82,10.91,31.82
SS Iyer,Rashid Khan,40,22,1,5,1,181.82,10.91,18.18
JM Sharma,C Green,40,21,1,1,3,190.48,11.71,14.29
MJ Owen,NT Ellis,40,20,1,3,2,200.0,12.0,30.0
Tilak Varma,Kuldeep Yadav,39,36,1,3,0,105.41,6.83,27.03
Tilak Varma,Shakib Al Hasan,39,28,1,2,2,139.29,8.57,35.71
RG Sharma,M Pathirana,39,27,1,3,1,144.44,8.67,22.22
Shubman Gill,Tanush Kotian,39,26,1,7,0,150.0,9.0,30.77
VR Iyer,M Siddharth,39,26,1,3,1,150.0,9.23,34.62
JC Buttler,A Kamboj,39,24,1,5,1,162.5,10.0,33.33
N Pooran,Kuldeep Yadav,39,24,1,3,2,162.5,9.75,25.0
GJ Maxwell,C Sakariya,39,23,1,5,1,169.57,10.17,26.09
C Green,Akash Vasisht,39,21,1,5,1,185.71,12.0,38.1
FH Allen,S Gopal,39,21,1,1,4,185.71,11.14,38.1
SP Narine,M Pathirana,39,20,1,2,2,195.0,12.3,30.0
Tilak Varma,Azmatullah Omarzai,39,20,1,3,3,195.0,12.0,35.0
V Kohli,Mohammed Shami,39,20,1,7,0,195.0,11.7,30.0
H Klaasen,Rashid Khan,38,29,1,2,2,126.67,8.07,30.0
KL Rahul,Fazalhaq Farooqi,38,28,1,4,0,135.71,8.14,21.43
Abhishek Sharma,AS Roy,38,23,1,3,2,165.22,9.91,26.09
RD Rickelton,V Puthur,38,23,1,3,2,165.22,10.43,47.83
WG Jacks,SP Narine,38,23,1,6,0,165.22,9.91,30.43
FH Allen,B Kumar,38,22,1,5,2,172.73,10.36,40.91
V Suryavanshi,KA Maharaj,38,22,1,4,2,172.73,10.64,45.45
RK Singh,MA Starc,38,21,1,1,3,180.95,11.14,19.05
GJ Maxwell,DS Rathi,37,30,1,3,0,123.33,7.4,10.0
RD Rickelton,TA Boult,37,25,1,1,2,148.0,8.88,24.0
Naman Dhir,Arshdeep Singh,37,23,1,4,1,160.87,9.65,21.74
Ashutosh Sharma,Fazalhaq Farooqi,37,22,1,1,3,168.18,10.36,36.36
H Klaasen,YS Chahal,37,22,1,5,1,168.18,10.36,31.82
GJ Maxwell,V Puthur,37,21,1,3,2,176.19,10.57,23.81
KL Rahul,RA Jadeja,37,21,1,2,3,176.19,11.43,38.1
Tarang Gohel,JR Hazlewood,37,21,1,3,1,176.19,10.86,19.05
Washington Sundar,M Pathirana,37,21,1,4,1,176.19,10.57,19.05
HH Pandya,YS Chahal,37,20,1,3,2,185.0,11.4,25.0
SV Samson,Yudhvir Singh,37,20,1,3,3,185.0,11.1,50.0
TM Head,JJ Bumrah,36,30,1,1,2,120.0,7.4,33.33
VR Iyer,Fazalhaq Farooqi,36,29,1,4,0,120.0,7.66,33.33
JC Buttler,HH Pandya,36,26,1,2,2,138.46,8.31,26.92
N Rana,Yash Thakur,36,26,1,2,2,138.46,8.31,34.62
DP Conway,Harpreet Brar,36,23,1,4,0,156.52,9.39,26.09
Urvil Patel,Akash Vasisht,36,23,1,1,3,156.52,9.65,30.43
RR Rossouw,Fazalhaq Farooqi,36,21,1,5,0,171.43,10.57,23.81
Urvil Patel,Naveen-ul-Haq,36,21,1,6,0,171.43,10.29,14.29
Washington Sundar,YS Chahal,36,21,1,2,2,171.43,10.29,28.57
BA Stokes,KK Ahmed,36,20,1,4,2,180.0,10.8,30.0
RM Patidar,KH Pandya,36,20,1,3,2,180.0,10.8,15.0
B Sai Sudharsan,B Kumar,35,31,1,3,2,112.9,6.77,48.39
B Sai Sudharsan,DS Rathi,35,27,1,3,1,129.63,8.0,29.63
YBK Jaiswal,SP Narine,35,27,1,2,1,129.63,7.78,22.22
R Parag,Suryansh Shedge,35,26,1,5,0,134.62,8.08,38.46
Abhishek Sharma,Shahbaz Ahmed,35,25,1,4,1,140.0,8.4,32.0
N Sindhu,Tanush Kotian,35,24,1,2,1,145.83,8.75,20.83
TM Head,JR Hazlewood,35,24,1,5,0,145.83,9.0,25.0
V Kohli,MP Yadav,35,24,1,2,1,145.83,8.75,37.5
JP Inglis,CV Varun,35,23,1,3,1,152.17,9.13,34.78
B Sai Sudharsan,R Shepherd,35,22,1,1,3,152.17,9.82,34.78
RR Rossouw,AD Russell,35,22,1,2,2,159.09,9.55,13.64
N Sindhu,JR Hazlewood,35,21,1,5,0,166.67,10.29,23.81
JC Buttler,HV Patel,35,20,1,1,3,175.0,10.5,35.0
P Simran Singh,Yuvraj Singh,35,20,1,1,2,175.0,10.5,30.0
Smaran Ravichandran,R Shepherd,35,20,1,1,3,175.0,10.8,40.0
Urvil Patel,Arshdeep Singh,35,20,1,6,0,175.0,10.5,35.0
JM Sharma,JC Archer,34,32,1,3,0,106.25,6.56,31.25
N Sindhu,M Siddharth,34,30,1,2,1,113.33,6.8,30.0
Shubman Gill,M Pathirana,34,29,1,2,1,117.24,7.03,27.59
FH Allen,Mohammed Shami,34,27,1,3,1,125.93,7.56,40.74
AM Rahane,MP Yadav,34,23,1,3,2,147.83,9.13,47.83
KA Pollard,JJ Bumrah,34,23,1,2,1,147.83,9.13,21.74
WG Jacks,Suyash Sharma,34,23,1,4,0,147.83,9.13,21.74
KL Rahul,Mustafizur Rahman,34,21,1,5,0,161.9,9.71,23.81
Naman Dhir,HR Shokeen,34,21,1,2,1,161.9,10.0,19.05
Urvil Patel,C Sakariya,34,20,1,1,3,170.0,10.2,30.0
Urvil Patel,A Zampa,33,33,1,1,1,100.0,6.18,42.42
S Dube,Khrievitso Kense,33,29,1,3,1,113.79,7.03,44.83
WG Jacks,JR Hazlewood,33,28,1,3,0,117.86,7.07,25.0
RM Patidar,Akash Deep,33,26,1,2,0,126.92,7.85,30.77
WG Jacks,C Green,33,25,1,3,1,132.0,7.92,32.0
JM Sharma,MA Starc,33,24,1,2,2,137.5,9.0,45.83
V Kohli,Kuldeep Yadav,33,23,1,3,2,137.5,8.87,50.0
T Stubbs,Azmatullah Omarzai,33,22,1,2,2,150.0,9.27,31.82
BA Stokes,HV Patel,33,21,1,5,1,157.14,9.43,38.1
J Fraser-McGurk,DS Rathi,33,21,1,2,1,157.14,9.43,19.05
SA Yadav,Suryansh Shedge,33,21,1,4,0,150.0,9.71,31.82
SV Samson,Jagjit Singh,33,21,1,4,1,157.14,9.43,28.57
AM Rahane,AD Russell,33,20,1,4,1,165.0,9.9,25.0
Smaran Ravichandran,GJ Maxwell,33,20,1,2,1,165.0,10.2,20.0
YBK Jaiswal,LS Livingstone,33,20,1,4,0,165.0,10.2,10.0
RM Patidar,C Sakariya,32,32,1,0,1,100.0,6.0,28.12
RM Patidar,R Sai Kishore,32,28,1,2,1,114.29,7.07,46.43
H Klaasen,Kuldeep Yadav,32,26,1,3,1,123.08,8.08,46.15
R Parag,M Siddharth,32,25,1,1,2,123.08,7.92,38.46
SA Yadav,C Green,32,24,1,4,0,133.33,8.0,25.0
Shubman Gill,Akash Vasisht,32,22,1,3,0,145.45,8.73,13.64
TM Head,Tanush Kotian,32,22,1,2,2,139.13,9.55,43.48
V Kohli,Yudhvir Singh,32,20,1,4,1,160.0,9.9,40.0
V Suryavanshi,TA Boult,32,20,1,4,2,160.0,9.9,55.0
JP Inglis,Fazalhaq Farooqi,31,25,1,1,1,124.0,7.44,28.0
P Simran Singh,Shakib Al Hasan,31,25,1,3,1,124.0,7.44,40.0
RD Gaikwad,TA Boult,31,24,1,5,0,129.17,8.25,41.67
SV Samson,Kuldeep Yadav,31,24,1,4,0,129.17,8.0,41.67
Ishan Kishan,SP Narine,31,23,1,0,2,134.78,8.09,30.43
N Rana,GJ Maxwell,31,23,1,3,1,134.78,8.35,34.78
RG Sharma,Fazalhaq Farooqi,31,23,1,3,0,134.78,8.35,34.78
RD Rickelton,B Kumar,31,21,1,4,0,147.62,8.86,23.81
LS Livingstone,M Pathirana,31,20,1,1,1,155.0,9.6,15.0
N Sindhu,DS Rathi,31,20,1,4,0,155.0,9.6,35.0
SP Narine,Akash Vasisht,31,20,1,1,2,155.0,9.3,20.0
Shubman Gill,KH Pandya,31,20,1,2,2,155.0,9.9,40.0
T Stubbs,VG Arora,31,20,1,1,2,155.0,9.3,30.0
Tilak Varma,Harshit Rana,31,20,1,2,2,155.0,9.6,45.0
Ishan Kishan,PJ Cummins,30,27,1,4,1,111.11,6.89,62.96
KL Rahul,R Sai Kishore,30,27,1,2,0,107.14,7.56,39.29
SP Narine,V Puthur,30,21,1,5,0,142.86,8.57,28.57
RD Gaikwad,RA Jadeja,30,20,1,4,0,150.0,9.6,20.0
SV Samson,TA Boult,29,26,1,4,0,111.54,7.15,50.0
JP Inglis,Ravi Bishnoi,29,25,1,2,0,116.0,6.96,24.0
RD Rickelton,Rashid Khan,29,25,1,2,1,116.0,7.2,32.0
MR Marsh,Noor Ahmad,29,24,1,3,0,116.0,7.75,36.0
B Sai Sudharsan,Arshad Khan,29,22,1,5,0,131.82,7.91,40.91
B Sai Sudharsan,M Prasidh Krishna,29,22,1,3,1,131.82,8.73,59.09
RM Patidar,Akash Vasisht,29,22,1,1,1,131.82,7.91,13.64
Tilak Varma,C Sakariya,29,22,1,0,2,131.82,8.18,31.82
KL Rahul,Sandeep Sharma,29,21,1,3,0,138.1,8.29,23.81
LS Livingstone,RA Jadeja,29,20,1,5,0,145.0,8.7,35.0
Naman Dhir,Mayank Dagar,29,20,1,1,1,145.0,9.0,20.0
RD Gaikwad,HV Patel,29,20,1,2,1,145.0,8.7,15.0
N Pooran,Sandeep Sharma,28,34,1,2,1,82.35,4.94,50.0
V Kohli,GJ Maxwell,28,24,1,0,1,116.67,7.25,20.83
C Green,JJ Smit,28,23,1,3,0,121.74,7.3,21.74
R Parag,Arshdeep Singh,28,20,1,1,2,140.0,8.4,30.0
VR Iyer,Mohammad Nabi,27,27,1,2,0,100.0,6.0,25.93
WG Jacks,Akash Vasisht,27,25,1,2,1,108.0,6.96,56.0
KL Rahul,V Puthur,27,22,1,2,1,122.73,7.36,40.91
SA Yadav,Washington Sundar,27,22,1,1,1,122.73,7.64,22.73
Abhishek Sharma,T Natarajan,27,20,1,1,1,135.0,8.1,20.0
DP Conway,Mayank Dagar,27,20,1,3,0,135.0,8.4,35.0
RD Rickelton,C Green,27,20,1,3,0,135.0,8.1,25.0
SV Samson,A Sheth,27,20,1,1,2,135.0,8.1,30.0
Shubman Gill,AK Markram,27,20,1,1,1,135.0,8.1,20.0
P Simran Singh,CV Varun,26,28,1,2,0,92.86,6.0,35.71
VR Iyer,C Green,26,24,1,2,0,108.33,6.5,29.17
S Dube,Abhishek Sharma,26,23,1,2,0,113.04,7.04,26.09
V Kohli,Sandeep Sharma,26,23,1,1,1,113.04,7.04,30.43
N Pooran,Washington Sundar,26,22,1,1,1,118.18,7.36,36.36
P Simran Singh,Ravi Bishnoi,26,22,1,2,1,118.18,7.36,45.45
S Dube,Shahbaz Ahmed,26,22,1,2,1,118.18,7.09,36.36
Tilak Varma,Avesh Khan,25,28,1,4,0,89.29,5.57,64.29
SS Iyer,JJ Bumrah,25,26,1,1,0,96.15,5.77,34.62
Tilak Varma,Sandeep Sharma,25,23,1,1,2,108.7,6.52,47.83
H Klaasen,Akash Vasisht,25,21,1,1,1,119.05,7.43,38.1
H Klaasen,KA Maharaj,25,20,1,2,1,125.0,7.8,35.0
Shubman Gill,Suyash Sharma,25,20,1,3,0,125.0,7.5,25.0
AK Markram,GJ Maxwell,24,22,1,4,0,109.09,6.82,54.55
J Fraser-McGurk,TA Boult,24,22,1,2,1,109.09,6.55,50.0
CH Gayle,Ravi Bishnoi,24,21,1,2,2,114.29,7.14,66.67
H Klaasen,Mustafizur Rahman,24,21,1,1,1,114.29,6.86,28.57
JC Buttler,TA Boult,24,20,1,2,1,120.0,7.8,45.0
PD Salt,MP Yadav,24,20,1,1,1,120.0,7.2,40.0
RD Gaikwad,Suyash Sharma,24,20,1,2,1,120.0,7.8,55.0
RD Gaikwad,Swapnil Singh,24,20,1,1,0,120.0,7.2,20.0
RG Sharma,HH Pandya,24,20,1,1,1,120.0,7.2,35.0
Shashank Singh,AK Markram,24,20,1,1,1,120.0,7.2,25.0
JM Bairstow,Suryansh Shedge,23,22,1,3,0,104.55,6.27,40.91
R Parag,C Green,23,22,1,0,1,104.55,6.27,31.82
RM Patidar,Kuldeep Yadav,23,21,1,2,0,109.52,6.57,23.81
Q de Kock,HH Pandya,23,20,1,3,0,115.0,7.2,45.0
RA Tripathi,AR Patel,23,20,1,1,1,115.0,7.2,45.0
TM Head,Rasikh Salam,23,20,1,1,0,115.0,7.2,25.0
PP Shaw,Avesh Khan,22,20,1,2,0,104.76,6.9,33.33
SP Narine,Arshdeep Singh,21,22,1,2,1,95.45,6.0,63.64
N Pooran,AK Markram,20,22,1,0,1,90.91,5.45,36.36
RR Pant,Arshdeep Singh,20,21,1,2,0,95.24,5.71,57.14
TM Head,R Sai Kishore,18,27,1,1,0,66.67,4.22,48.15
GJ Maxwell,KH Pandya,18,21,1,1,0,85.71,5.14,33.33
F du Plessis,RA Jadeja,17,23,1,0,0,73.91,4.43,34.78
F du Plessis,Ravi Bishnoi,17,22,1,1,0,77.27,4.64,45.45
Sameer Rizvi,JJ Bumrah,17,21,1,1,0,80.95,5.43,47.62
RK Singh,PWH de Silva,16,20,1,2,0,80.0,5.1,55.0
SS Iyer,Fazalhaq Farooqi,16,20,1,2,0,80.0,5.1,60.0
SV Samson,Arshdeep Singh,100,57,0,14,3,175.44,10.63,29.82
N Pooran,SP Narine,97,60,0,8,4,161.67,9.8,33.33
Priyansh Arya,JR Hazlewood,88,46,0,9,4,191.3,11.74,30.43
GJ Maxwell,RA Jadeja,83,49,0,6,3,169.39,10.41,16.33
Naman Dhir,GJ Maxwell,83,47,0,6,4,176.6,10.6,12.77
PD Salt,HH Pandya,82,51,0,6,2,160.78,9.65,15.69
KL Rahul,YS Chahal,82,45,0,5,4,182.22,11.07,17.78
YBK Jaiswal,AD Russell,81,26,0,6,8,311.54,18.69,19.23
Naman Dhir,HH Pandya,79,38,0,5,5,207.89,12.63,23.68
KL Rahul,M Prasidh Krishna,76,46,0,10,2,165.22,9.91,28.26
P Simran Singh,Rashid Khan,76,37,0,10,2,205.41,12.32,21.62
S Dube,YS Chahal,76,37,0,6,5,205.41,12.32,24.32
Shubman Gill,AS Roy,75,44,0,11,0,170.45,10.36,20.45
VR Iyer,Ravi Bishnoi,74,34,0,4,6,217.65,13.41,17.65
SA Yadav,Suyash Sharma,73,31,0,4,6,235.48,14.13,6.45
Sameer Rizvi,S Dube,72,28,0,3,7,257.14,15.43,7.14
PD Salt,HV Patel,71,36,0,8,3,197.22,11.83,25.0
Dhruv Jurel,TA Boult,71,31,0,9,3,229.03,13.94,19.35
N Sindhu,Sandeep Sharma,70,24,0,3,7,291.67,17.75,8.33
BJ McMullen,Arshdeep Singh,69,44,0,11,1,156.82,9.55,38.64
N Sindhu,SP Narine,69,38,0,5,2,181.58,11.21,18.42
V Suryavanshi,A Zampa,69,37,0,6,4,186.49,11.19,21.62
JC Buttler,JJ Bumrah,69,35,0,5,3,197.14,12.17,11.43
KL Rahul,Sikandar Raza,69,34,0,7,3,202.94,12.35,14.71
T Stubbs,WG Jacks,68,35,0,7,2,194.29,11.83,17.14
PP Shaw,RA Jadeja,66,35,0,8,3,188.57,11.31,31.43
Shubman Gill,R Shepherd,66,26,0,6,4,253.85,15.23,15.38
P Simran Singh,M Prasidh Krishna,64,36,0,4,4,172.97,10.83,24.32
GJ Maxwell,MP Yadav,64,27,0,7,4,237.04,14.67,22.22
V Kohli,Noor Ahmad,64,25,0,10,3,246.15,15.6,26.92
Naman Dhir,Mohammad Ghazanfar,63,22,0,5,5,286.36,17.18,4.55
V Kohli,AR Patel,62,40,0,5,3,155.0,9.3,30.0
SV Samson,KH Pandya,62,30,0,6,2,206.67,12.4,6.67
TM Head,Rashid Khan,62,30,0,8,3,206.67,12.8,36.67
N Rana,HH Pandya,62,28,0,5,4,221.43,13.5,28.57
Smaran Ravichandran,Tanush Kotian,62,22,0,5,4,281.82,16.91,0.0
Abhishek Sharma,Jagjit Singh,61,34,0,7,2,179.41,10.76,20.59
YBK Jaiswal,B Kumar,61,32,0,7,2,190.62,11.44,18.75
Naman Dhir,Arshad Khan,61,31,0,8,1,196.77,12.0,12.9
VR Iyer,JC Archer,61,27,0,4,4,225.93,13.56,7.41
Aniket Verma,Ravi Bishnoi,61,23,0,5,4,265.22,16.17,13.04
C Green,Suryansh Shedge,60,32,0,2,5,187.5,11.25,25.0
CH Gayle,SL Malinga,60,32,0,6,2,187.5,11.44,21.88
SA Yadav,Abhishek Sharma,60,32,0,6,2,187.5,11.44,21.88
JM Sharma,JJ Bumrah,60,29,0,4,3,206.9,12.83,17.24
SA Yadav,JC Archer,60,28,0,8,2,214.29,12.86,14.29
Priyansh Arya,R Shepherd,60,23,0,8,2,260.87,15.65,13.04
Naman Dhir,T Natarajan,59,34,0,7,1,173.53,10.41,20.59
SS Iyer,PWH de Silva,59,25,0,6,3,236.0,14.16,12.0
GJ Maxwell,Washington Sundar,58,34,0,3,3,170.59,10.24,14.71
Shubman Gill,PJ Cummins,57,37,0,8,0,154.05,9.41,21.62
SA Yadav,CV Varun,57,35,0,1,5,162.86,9.94,25.71
Abhishek Sharma,RA Jadeja,57,32,0,8,1,178.12,10.69,21.88
Shubman Gill,Nithish Kumar Reddy,57,26,0,1,5,219.23,13.15,3.85
BM Duckett,Shahbaz Ahmed,57,25,0,6,2,228.0,14.16,12.0
N Sindhu,T Natarajan,57,22,0,7,3,259.09,16.09,27.27
P Simran Singh,RA Jadeja,56,37,0,7,1,151.35,9.24,35.14
KL Rahul,GF Linde,56,35,0,6,0,160.0,9.94,20.0
BJ McMullen,TA Boult,56,31,0,5,3,180.65,10.84,41.94
VR Iyer,SP Narine,56,28,0,1,5,200.0,12.0,10.71
Abhishek Sharma,AD Russell,56,20,0,4,4,280.0,16.8,0.0
BJ McMullen,JJ Bumrah,55,40,0,3,2,137.5,8.55,25.0
RD Gaikwad,Kuldeep Yadav,55,39,0,6,1,141.03,8.77,38.46
GJ Maxwell,B Kumar,55,33,0,8,0,166.67,10.18,27.27
RK Singh,M Prasidh Krishna,55,32,0,7,0,171.88,10.69,15.62
JC Buttler,JR Hazlewood,55,31,0,6,1,177.42,10.84,19.35
JM Sharma,Arshdeep Singh,55,27,0,4,4,203.7,12.22,22.22
PD Salt,Shakib Al Hasan,54,33,0,5,3,163.64,9.82,30.3
B Sai Sudharsan,V Nigam,54,30,0,7,1,180.0,10.8,20.0
H Klaasen,M Prasidh Krishna,54,28,0,5,3,192.86,11.57,17.86
YBK Jaiswal,JJ Bumrah,54,25,0,3,4,216.0,12.96,8.0
Abhishek Sharma,D Brevis,54,20,0,8,2,270.0,16.2,15.0
JP Inglis,Tanush Kotian,53,44,0,5,0,120.45,7.36,22.73
RD Gaikwad,MP Yadav,53,33,0,5,3,160.61,9.82,42.42
SS Iyer,Washington Sundar,53,32,0,8,1,165.62,10.31,40.62
SP Narine,TA Boult,53,30,0,8,2,176.67,10.6,36.67
Ishan Kishan,Mohammed Shami,53,29,0,8,1,182.76,10.97,27.59
WG Jacks,AD Russell,53,26,0,9,0,203.85,12.23,15.38
Tilak Varma,MP Stoinis,53,25,0,6,2,212.0,12.72,8.0
TM Head,Yudhvir Singh,52,39,0,6,2,133.33,8.0,43.59
Priyansh Arya,SP Narine,52,37,0,5,1,140.54,8.76,27.03
Ishan Kishan,TA Boult,52,35,0,5,3,148.57,9.09,45.71
RD Gaikwad,Ravi Bishnoi,52,33,0,4,1,157.58,9.82,18.18
N Rana,Suryansh Shedge,52,30,0,4,2,173.33,11.0,26.67
PD Salt,JC Archer,52,26,0,6,2,200.0,12.0,15.38
Smaran Ravichandran,Mayank Dagar,52,22,0,3,4,236.36,14.45,22.73
KL Rahul,B Kumar,51,37,0,9,0,137.84,8.27,45.95
RK Singh,Mustafizur Rahman,51,30,0,4,3,170.0,10.2,26.67
S Dube,C Green,51,30,0,5,2,170.0,10.4,23.33
Naman Dhir,MR Marsh,51,25,0,4,3,204.0,12.48,16.0
Shubman Gill,PP Chawla,51,25,0,5,3,204.0,12.48,36.0
YBK Jaiswal,Rashid Khan,51,23,0,6,2,221.74,13.3,4.35
N Rana,M Pathirana,51,21,0,7,2,242.86,15.14,23.81
Abhishek Sharma,Arshad Khan,51,20,0,5,3,255.0,15.6,10.0
SP Narine,AK Markram,51,20,0,3,5,255.0,15.3,15.0
CH Gayle,Khrievitso Kense,50,28,0,3,2,178.57,10.71,14.29
P Simran Singh,A Zampa,50,26,0,5,2,192.31,11.54,7.69
Priyansh Arya,Ravi Bishnoi,50,23,0,6,2,217.39,13.3,30.43
SA Yadav,YS Chahal,50,21,0,4,3,238.1,14.29,4.76
SV Samson,CH Morris,50,21,0,8,1,238.1,14.57,14.29
KL Rahul,C Green,49,32,0,0,4,153.12,9.19,34.38
V Kohli,SP Narine,49,32,0,4,1,153.12,9.19,15.62
GJ Maxwell,R Ashwin,49,27,0,4,2,181.48,10.89,14.81
LS Livingstone,M Siddharth,49,27,0,2,4,181.48,11.11,33.33
V Kohli,M Siddharth,49,26,0,8,0,188.46,11.54,26.92
SA Yadav,WG Jacks,49,24,0,4,2,204.17,12.5,8.33
Shubman Gill,AR Patel,49,24,0,3,3,196.0,12.5,16.0
Tilak Varma,AK Markram,49,24,0,5,1,204.17,12.25,8.33
SV Samson,MG Bracewell,49,22,0,6,2,222.73,13.36,18.18
N Sindhu,KH Pandya,48,30,0,6,0,160.0,9.8,26.67
SV Samson,Arshad Khan,48,30,0,5,1,160.0,10.2,26.67
SV Samson,Swapnil Singh,48,30,0,7,0,160.0,9.6,26.67
P Simran Singh,PWH de Silva,48,26,0,5,2,184.62,11.08,15.38
JP Inglis,TA Boult,48,25,0,3,3,192.0,11.52,20.0
PWH de Silva,WG Jacks,48,25,0,3,3,192.0,12.0,20.0
SV Samson,HH Pandya,48,23,0,7,0,208.7,12.52,8.7
T Stubbs,Avesh Khan,48,23,0,6,2,208.7,12.52,17.39
