position,runs,balls,fours,sixes,dots,striker,outs,SR,Bat_avg,bpb,dot_%,Curr_Tm
6,48,26,6,2,8,Chirag Jani,1,184.62,48.0,3.25,30.77,PBKS
7,48,47,1,2,21,Shahbaz Ahmed,5,102.13,9.6,15.67,44.68,GT
3,48,35,7,1,18,Akash Vasisht,3,137.14,16.0,4.38,51.43,DC
5,48,28,6,3,14,S Dube,2,171.43,24.0,3.11,50.0,RR
1,47,45,1,1,11,Dhruv Jurel,1,104.44,47.0,22.5,24.44,RCB
7,47,38,3,3,18,Shakib Al Hasan,2,123.68,23.5,6.33,47.37,PBKS
8,46,25,5,2,9,AK Markram,1,184.0,46.0,3.57,36.0,DC
6,46,25,2,4,8,DJ Hooda,1,184.0,46.0,4.17,32.0,DC
1,45,34,9,0,19,Ishaan Gadekar,1,132.35,45.0,3.78,55.88,RCB
1,45,29,7,0,11,FH Allen,3,155.17,15.0,4.14,37.93,PBKS
6,45,29,6,1,11,DS Airee,2,155.17,22.5,4.14,37.93,RCB
5,45,19,1,4,3,JP Inglis,1,236.84,45.0,3.8,15.79,GT
7,44,31,5,2,17,KH Pandya,3,141.94,14.67,4.43,54.84,SRH
4,44,31,7,0,11,RR Pant,3,141.94,14.67,4.43,35.48,GT
1,44,41,4,3,24,Washington Sundar,1,107.32,44.0,5.86,58.54,PBKS
1,44,41,4,0,15,RD Rickelton,2,107.32,22.0,10.25,36.59,LSG
8,43,23,2,3,4,Sikandar Raza,1,186.96,43.0,4.6,17.39,MI
7,43,18,5,3,7,MA Agarwal,4,238.89,10.75,2.25,38.89,RR
7,42,32,0,2,9,Ramandeep Singh,2,131.25,21.0,16.0,28.12,LSG
8,41,20,6,1,3,Abdul Samad,0,205.0,,2.86,15.0,LSG
2,41,21,5,2,9,SA Yadav,3,195.24,13.67,3.0,42.86,DC
9,41,34,3,2,13,PJ Cummins,4,120.59,10.25,6.8,38.24,RR
7,39,21,5,1,4,R Parag,0,185.71,,3.5,19.05,GT
4,39,38,3,3,25,AR Patel,5,102.63,7.8,6.33,65.79,CSK
8,38,31,2,2,13,Shakib Al Hasan,4,122.58,9.5,7.75,41.94,PBKS
5,38,25,2,3,10,BA Stokes,2,152.0,19.0,5.0,40.0,SRH
4,37,29,1,1,6,D Brevis,1,127.59,37.0,14.5,20.69,RR
4,37,22,1,2,4,HH Pandya,0,168.18,,7.33,18.18,MI
9,37,32,2,2,12,R Ashwin,1,115.62,37.0,8.0,37.5,KKR
3,37,28,5,0,8,AK Markram,1,132.14,37.0,5.6,28.57,DC
7,36,25,2,3,14,R Powell,2,144.0,18.0,5.0,56.0,KKR
4,36,33,2,2,15,DA Warner,1,109.09,36.0,8.25,45.45,
7,36,30,3,1,13,PJ Cummins,2,120.0,18.0,7.5,43.33,RR
7,36,14,4,2,4,N Rana,1,257.14,36.0,2.33,28.57,PBKS
5,36,30,2,1,11,MK Pandey,1,120.0,36.0,10.0,36.67,
8,35,18,1,4,6,Anmolpreet Singh,0,194.44,,3.6,33.33,CSK
5,35,26,2,1,6,KD Karthik,2,134.62,17.5,8.67,23.08,RR
5,34,25,2,2,9,WG Jacks,2,136.0,17.0,6.25,36.0,LSG
9,34,28,2,2,11,HV Patel,4,121.43,8.5,7.0,39.29,RR
7,33,28,0,2,16,Bhanu Pania,2,117.86,16.5,14.0,57.14,
4,33,19,1,3,6,KH Pandya,1,173.68,33.0,4.75,31.58,SRH
5,33,23,2,2,10,JG Bethell,3,143.48,11.0,5.75,43.48,LSG
7,32,21,2,2,6,WL Madsen,0,152.38,,5.25,28.57,MI
8,32,25,6,0,14,MA Starc,3,128.0,10.67,4.17,56.0,KKR
7,32,15,2,3,5,Sikandar Raza,2,213.33,16.0,3.0,33.33,MI
5,32,28,2,1,9,Smaran Ravichandran,1,114.29,32.0,9.33,32.14,PBKS
5,31,25,0,1,7,Azmatullah Omarzai,2,124.0,15.5,25.0,28.0,LSG
6,31,21,3,1,6,RA Tripathi,2,147.62,15.5,5.25,28.57,KKR
5,30,19,2,1,4,TM Head,1,157.89,30.0,6.33,21.05,GT
4,30,22,3,0,7,DJ Hooda,2,136.36,15.0,7.33,31.82,DC
8,30,20,2,1,4,Azmatullah Omarzai,0,150.0,,6.67,20.0,LSG
7,29,33,1,0,11,RK Bhui,3,87.88,9.67,33.0,33.33,KKR
9,29,33,3,1,21,Shakib Al Hasan,1,87.88,29.0,8.25,63.64,PBKS
4,29,25,3,0,9,Abhishek Sharma,0,116.0,,8.33,36.0,MI
7,28,17,1,2,6,VR Iyer,1,164.71,28.0,5.67,35.29,SRH
4,27,25,2,1,12,AK Markram,1,108.0,27.0,8.33,48.0,DC
7,27,12,3,1,3,RR Pant,1,225.0,27.0,3.0,25.0,GT
2,27,21,2,2,10,AR Patel,1,128.57,27.0,5.25,47.62,CSK
7,27,17,3,1,4,T Stubbs,0,158.82,,4.25,23.53,CSK
8,26,17,2,1,6,MS Dhoni,1,152.94,26.0,5.67,35.29,CSK
9,26,42,1,2,29,MA Starc,6,61.9,4.33,14.0,69.05,KKR
2,26,15,5,0,6,A Badoni,1,173.33,26.0,3.0,40.0,
4,26,19,1,1,7,Rahul Singh,1,136.84,26.0,9.5,36.84,RCB
4,25,18,3,0,3,P Simran Singh,1,138.89,25.0,6.0,16.67,SRH
1,25,29,2,1,16,H Klaasen,2,86.21,12.5,9.67,55.17,CSK
1,24,27,3,0,14,JM Bairstow,2,88.89,12.0,9.0,51.85,
9,24,10,1,2,1,Ishan Kishan,0,240.0,,3.33,10.0,MI
3,24,17,4,0,5,V Suryavanshi,2,141.18,12.0,4.25,29.41,PBKS
6,23,12,3,1,3,PHKD Mendis,0,191.67,,3.0,25.0,SRH
5,23,16,1,1,5,TH David,3,143.75,7.67,8.0,31.25,PBKS
6,23,12,2,1,3,D Padikkal,1,191.67,23.0,4.0,25.0,KKR
8,22,9,1,2,3,N Sindhu,1,244.44,22.0,3.0,33.33,DC
2,22,14,1,2,6,Akash Vasisht,3,157.14,7.33,4.67,42.86,DC
5,22,18,1,1,6,RK Bhui,2,122.22,11.0,9.0,33.33,KKR
4,22,10,1,2,2,Shubman Gill,1,220.0,22.0,3.33,20.0,LSG
3,21,14,0,2,6,PHKD Mendis,1,150.0,21.0,7.0,42.86,SRH
3,21,11,3,1,6,YBK Jaiswal,1,190.91,21.0,2.75,54.55,RR
6,21,18,2,1,9,D Brevis,2,116.67,10.5,6.0,50.0,RR
7,20,16,2,0,5,SM Curran,2,125.0,10.0,8.0,31.25,
2,20,15,2,1,6,Rahul Singh,1,133.33,20.0,5.0,40.0,RCB
8,20,7,3,1,1,MJ Owen,1,285.71,20.0,1.75,14.29,DC
7,20,19,1,0,5,SS Iyer,1,105.26,20.0,19.0,26.32,LSG
6,19,10,2,1,4,WL Madsen,0,190.0,,3.33,40.0,MI
7,19,14,0,2,6,AB de Villiers,1,135.71,19.0,7.0,42.86,RR
7,18,13,3,0,4,RA Tripathi,1,138.46,18.0,4.33,30.77,KKR
8,18,9,1,1,1,Nithish Kumar Reddy,0,200.0,,4.5,11.11,SRH
7,18,5,3,1,1,BM Duckett,1,360.0,18.0,1.25,20.0,RCB
3,18,20,2,0,8,WL Madsen,1,90.0,18.0,10.0,40.0,MI
3,17,10,2,0,4,Shashank Singh,1,170.0,17.0,5.0,40.0,PBKS
6,17,16,2,0,8,Ashutosh Sharma,2,106.25,8.5,8.0,50.0,RCB
8,17,13,2,0,6,Urvil Patel,1,130.77,17.0,6.5,46.15,MI
3,16,14,0,1,4,FH Allen,2,114.29,8.0,14.0,28.57,PBKS
4,16,15,0,1,5,RA Jadeja,2,106.67,8.0,15.0,33.33,RCB
5,15,18,1,0,8,SM Curran,0,83.33,,18.0,44.44,
8,15,9,2,0,2,H Klaasen,1,166.67,15.0,4.5,22.22,CSK
5,15,9,1,1,4,DJ Hooda,3,166.67,5.0,4.5,44.44,DC
3,15,13,0,2,9,Shakib Al Hasan,1,115.38,15.0,6.5,69.23,PBKS
4,14,12,1,0,3,MJ Owen,2,116.67,7.0,12.0,25.0,DC
5,14,14,0,0,3,PP Shaw,1,100.0,14.0,inf,21.43,RCB
3,14,16,1,0,7,JC Buttler,1,87.5,14.0,16.0,43.75,LSG
1,14,6,1,1,2,DA Warner,1,233.33,14.0,3.0,33.33,
7,14,9,2,0,3,DJ Hooda,1,155.56,14.0,4.5,33.33,DC
2,13,15,0,1,9,TH David,1,86.67,13.0,15.0,60.0,PBKS
8,13,8,2,0,1,Bhanu Pania,0,162.5,,4.0,12.5,
9,13,6,1,1,2,Anmolpreet Singh,0,216.67,,3.0,33.33,CSK
9,13,8,1,0,2,AK Markram,1,162.5,13.0,8.0,25.0,DC
6,13,7,1,1,2,J Fraser-McGurk,1,185.71,13.0,3.5,28.57,KKR
1,12,13,1,0,8,WG Jacks,1,92.31,12.0,13.0,61.54,LSG
7,12,6,0,1,1,JG Bethell,0,200.0,,6.0,16.67,LSG
6,12,5,0,1,2,Arshad Khan,0,240.0,,5.0,40.0,RR
3,12,7,1,1,3,D Padikkal,1,171.43,12.0,3.5,42.86,KKR
5,11,6,1,0,2,Urvil Patel,1,183.33,11.0,6.0,33.33,MI
7,11,11,1,0,5,Abishek Porel,1,100.0,11.0,11.0,45.45,DC
8,11,8,1,0,1,D Padikkal,0,137.5,,8.0,12.5,KKR
3,11,13,2,0,8,RK Singh,1,84.62,11.0,6.5,61.54,MI
7,11,6,1,1,3,Akash Vasisht,1,183.33,11.0,3.0,50.0,DC
8,10,9,1,0,2,N Wadhera,2,111.11,5.0,9.0,22.22,KKR
6,10,2,1,1,0,RR Rossouw,0,500.0,,1.0,0.0,SRH
5,10,10,1,0,4,AD Russell,2,100.0,5.0,10.0,40.0,DC
2,10,13,1,0,6,DJ Hooda,1,76.92,10.0,13.0,46.15,DC
7,10,10,1,0,3,MR Marsh,0,100.0,,10.0,30.0,SRH
7,10,9,0,0,1,D Padikkal,1,111.11,10.0,inf,11.11,KKR
9,9,9,1,0,3,KH Pandya,2,100.0,4.5,9.0,33.33,SRH
7,9,6,1,0,1,A Badoni,1,150.0,9.0,6.0,16.67,
7,9,9,0,0,2,Ashutosh Sharma,1,100.0,9.0,inf,22.22,RCB
6,9,13,0,0,5,SO Hetmyer,3,69.23,3.0,inf,38.46,
2,9,8,1,0,4,HC Brook,1,112.5,9.0,8.0,50.0,MI
8,9,4,2,0,1,LS Livingstone,0,225.0,,2.0,25.0,KKR
6,9,6,1,0,0,N Pooran,0,150.0,,6.0,0.0,MI
9,8,5,0,1,3,Harpreet Brar,2,160.0,4.0,5.0,60.0,RR
7,8,8,0,0,3,S Dube,2,100.0,4.0,inf,37.5,RR
2,8,3,2,0,1,HH Pandya,1,266.67,8.0,1.5,33.33,MI
9,8,8,0,0,3,Suryansh Shedge,1,100.0,8.0,inf,37.5,CSK
8,8,5,0,1,2,Atharva Taide,0,160.0,,5.0,40.0,MI
1,8,10,0,0,4,RR Rossouw,1,80.0,8.0,inf,40.0,SRH
2,8,7,1,0,2,LG Pretorius,1,114.29,8.0,7.0,28.57,
9,7,4,1,0,0,Washington Sundar,0,175.0,,4.0,0.0,PBKS
4,7,11,1,0,7,YBK Jaiswal,1,63.64,7.0,11.0,63.64,RR
4,7,3,0,1,1,RA Tripathi,1,233.33,7.0,3.0,33.33,KKR
7,7,4,1,0,1,SP Narine,0,175.0,,4.0,25.0,KKR
9,7,8,1,0,5,Rashid Khan,0,87.5,,8.0,62.5,RR
2,7,5,1,0,2,MJ Owen,1,140.0,7.0,5.0,40.0,DC
10,7,2,0,1,0,R Ashwin,1,350.0,7.0,2.0,0.0,KKR
4,6,10,0,0,4,MR Marsh,1,60.0,6.0,inf,40.0,SRH
6,6,5,1,0,3,MR Marsh,0,120.0,,5.0,60.0,SRH
3,6,10,1,0,8,RK Bhui,1,60.0,6.0,10.0,80.0,KKR
3,6,6,1,0,4,CH Gayle,1,100.0,6.0,6.0,66.67,CSK
7,6,3,1,0,1,MP Stoinis,1,200.0,6.0,3.0,33.33,KKR
5,6,5,0,1,4,Akash Vasisht,1,120.0,6.0,5.0,80.0,DC
1,6,5,1,0,3,Tilak Varma,1,120.0,6.0,5.0,60.0,CSK
7,6,2,0,1,1,LS Livingstone,0,300.0,,2.0,50.0,KKR
10,5,4,0,0,0,HV Patel,0,125.0,,inf,0.0,RR
8,5,6,0,0,2,Jay Gohil,1,83.33,5.0,inf,33.33,LSG
5,5,7,0,0,2,D Brevis,1,71.43,5.0,inf,28.57,RR
7,4,1,1,0,0,AM Rahane,0,400.0,,1.0,0.0,MI
4,4,2,1,0,1,D Padikkal,1,200.0,4.0,2.0,50.0,KKR
6,4,5,0,0,1,V Kohli,1,80.0,4.0,inf,20.0,DC
4,4,3,1,0,2,V Kohli,1,133.33,4.0,3.0,66.67,DC
3,4,2,1,0,1,Q de Kock,1,200.0,4.0,2.0,50.0,
2,4,5,1,0,4,AD Russell,1,80.0,4.0,5.0,80.0,DC
1,4,3,0,0,1,AD Russell,1,133.33,4.0,inf,33.33,DC
5,4,7,0,0,5,BJ McMullen,2,57.14,2.0,inf,71.43,RR
8,4,2,1,0,1,MK Lomror,1,200.0,4.0,2.0,50.0,SRH
7,3,11,0,0,8,GD Phillips,2,27.27,1.5,inf,72.73,GT
5,3,9,0,0,6,A Badoni,1,33.33,3.0,inf,66.67,
4,3,8,0,0,6,A Badoni,2,37.5,1.5,inf,75.0,
3,3,2,0,0,1,Ashutosh Sharma,1,150.0,3.0,inf,50.0,RCB
7,3,3,0,0,0,DA Warner,0,100.0,,inf,0.0,
6,3,6,0,0,4,SP Narine,1,50.0,3.0,inf,66.67,KKR
1,3,10,0,0,7,AR Patel,1,30.0,3.0,inf,70.0,CSK
8,2,5,0,0,3,KD Karthik,1,40.0,2.0,inf,60.0,RR
6,2,10,0,0,8,Bhanu Pania,1,20.0,2.0,inf,80.0,
6,1,4,0,0,4,CH Gayle,1,25.0,1.0,inf,100.0,CSK
6,1,2,0,0,1,Jay Gohil,1,50.0,1.0,inf,50.0,LSG
8,1,2,0,0,1,R Parag,1,50.0,1.0,inf,50.0,GT
6,1,2,0,0,1,RM Patidar,1,50.0,1.0,inf,50.0,KKR
5,1,5,0,0,4,MR Marsh,2,20.0,0.5,inf,80.0,SRH
3,1,2,0,0,1,Ishaan Gadekar,1,50.0,1.0,inf,50.0,RCB
4,1,2,0,0,1,JC Buttler,1,50.0,1.0,inf,50.0,LSG
2,0,2,0,0,2,Aniket Verma,1,0.0,0.0,inf,100.0,RR
7,0,1,0,0,1,Shashank Singh,1,0.0,0.0,inf,100.0,PBKS
3,0,2,0,0,2,KD Karthik,1,0.0,0.0,inf,100.0,RR
5,0,1,0,0,1,N Sindhu,1,0.0,0.0,inf,100.0,DC
2,0,1,0,0,1,S Dube,1,0.0,0.0,inf,100.0,RR
10,0,1,0,0,1,Shakib Al Hasan,1,0.0,0.0,inf,100.0,PBKS
8,0,1,0,0,1,DS Airee,1,0.0,0.0,inf,100.0,RCB
9,0,1,0,0,1,N Wadhera,1,0.0,0.0,inf,100.0,KKR
1,0,1,0,0,1,D Padikkal,1,0.0,0.0,inf,100.0,KKR
5,0,1,0,0,1,Ashutosh Sharma,1,0.0,0.0,inf,100.0,RCB
2,0,1,0,0,1,MA Agarwal,1,0.0,0.0,inf,100.0,RR
9,0,1,0,0,1,Shahbaz Ahmed,1,0.0,0.0,inf,100.0,GT
