striker,phase,pitch,runs,balls,dots,outs,avg,SR,Curr_Tm
VR Iyer,Death,neutralish,129,61,8,4,32.25,211.48,SRH
AM Rahane,Death,spin,129,77,22,9,14.33,167.53,MI
R Parag,Middle,neutralish,129,85,23,2,64.5,151.76,GT
T Stubbs,Death,neutralish,127,69,10,4,31.75,184.06,CSK
SP Narine,Middle,neutralish,127,75,17,3,42.33,169.33,KKR
WG Jacks,Death,pace,127,74,14,8,15.88,171.62,LSG
RA Jadeja,Death,pace,126,74,26,6,21.0,170.27,SRH
SS Iyer,Middle,neutralish,126,77,19,2,63.0,163.64,LSG
B Sai Sudharsan,Death,pace,125,70,23,10,12.5,178.57,PBKS
Atharva Taide,Middle,pace,125,98,26,5,25.0,127.55,MI
GJ Maxwell,Death,spin,125,61,11,4,31.25,204.92,DC
Dhruv Jurel,PP,pace,125,64,20,2,62.5,195.31,KKR
JM Sharma,Middle,neutralish,125,76,14,3,41.67,164.47,RCB
DAJ Bracewell,Death,pace,124,61,22,6,20.67,203.28,
RR Pant,Middle,spin,123,76,22,3,41.0,161.84,GT
Sikandar Raza,Death,spin,123,75,24,3,41.0,164.0,
TH David,Middle,spin,123,88,33,3,41.0,139.77,PBKS
MP Stoinis,PP,spin,122,127,69,4,30.5,96.06,KKR
Abdul Samad,Death,pace,122,85,26,7,17.43,143.53,LSG
N Wadhera,Middle,spin,122,98,31,1,122.0,124.49,KKR
Akash Vasisht,Death,spin,121,65,27,7,17.29,186.15,SRH
KD Karthik,Middle,pace,121,98,35,5,24.2,123.47,RR
LS Livingstone,Middle,pace,120,95,27,3,40.0,126.32,KKR
Urvil Patel,PP,pace,120,76,34,2,60.0,157.89,MI
Urvil Patel,Death,spin,120,74,21,4,30.0,162.16,MI
AR Patel,Death,spin,120,69,27,8,15.0,173.91,CSK
DJ Hooda,PP,pace,119,78,34,3,39.67,152.56,
MJ Owen,PP,spin,119,67,32,5,23.8,177.61,DC
J Fraser-McGurk,Middle,pace,119,75,21,3,39.67,158.67,KKR
SP Narine,PP,neutralish,118,67,28,3,39.33,176.12,KKR
Chirag Jani,Middle,neutralish,118,76,27,2,59.0,155.26,CSK
TH David,Death,pace,117,64,15,6,19.5,182.81,PBKS
Ishan Kishan,Death,spin,117,62,12,2,58.5,188.71,MI
AB de Villiers,Middle,spin,116,93,29,3,38.67,124.73,RR
J Fraser-McGurk,PP,neutralish,116,72,26,1,116.0,161.11,KKR
AM Rahane,Middle,neutralish,115,81,16,1,115.0,141.98,MI
DA Miller,Death,spin,114,65,18,4,28.5,175.38,
Kartik Sharma,Middle,neutralish,113,60,10,1,113.0,188.33,SRH
HH Pandya,Middle,spin,113,90,32,7,16.14,125.56,MI
JG Bethell,Middle,spin,113,85,34,6,18.83,132.94,RR
JC Buttler,PP,neutralish,112,66,26,2,56.0,169.7,LSG
JC Buttler,Middle,neutralish,112,76,18,3,37.33,147.37,LSG
VR Iyer,Middle,neutralish,112,74,12,1,112.0,151.35,SRH
N Sindhu,Death,neutralish,111,50,6,2,55.5,222.0,DC
DP Conway,PP,neutralish,111,65,18,5,22.2,170.77,PBKS
N Pooran,Death,neutralish,111,51,10,4,27.75,217.65,MI
Washington Sundar,Death,spin,110,102,50,13,8.46,107.84,PBKS
TA Boult,Death,pace,110,90,43,10,11.0,122.22,MI
RA Tripathi,PP,pace,109,90,47,5,21.8,121.11,
VR Iyer,PP,spin,108,68,30,3,36.0,158.82,SRH
V Kohli,Death,pace,108,63,15,5,21.6,171.43,RR
Tilak Varma,Death,neutralish,107,46,8,2,53.5,232.61,CSK
HH Pandya,Middle,pace,107,105,41,10,10.7,101.9,MI
Suryansh Shedge,Death,pace,107,70,34,13,8.23,152.86,CSK
Abdul Samad,Death,neutralish,107,47,10,2,53.5,227.66,LSG
BA Stokes,Death,pace,106,61,16,6,17.67,173.77,RR
WL Madsen,Middle,neutralish,106,67,13,0,,158.21,MI
TP Ura,Death,spin,105,52,12,5,21.0,201.92,PBKS
Chirag Jani,Death,pace,105,53,15,6,17.5,198.11,CSK
PWH de Silva,Middle,pace,105,60,20,3,35.0,175.0,RCB
Ishan Kishan,Middle,neutralish,104,69,15,2,52.0,150.72,MI
RA Jadeja,Death,neutralish,103,48,10,5,20.6,214.58,SRH
Dhruv Jurel,Death,spin,103,76,27,11,9.36,135.53,KKR
RM Patidar,Death,pace,101,59,17,5,20.2,171.19,KKR
KL Rahul,PP,neutralish,99,56,22,2,49.5,176.79,SRH
Tanush Kotian,Death,pace,99,41,10,3,33.0,241.46,CSK
N Pooran,PP,spin,99,77,36,3,33.0,128.57,MI
GD Phillips,Middle,pace,98,66,19,1,98.0,148.48,GT
HH Pandya,Death,neutralish,98,51,14,5,19.6,192.16,MI
GD Phillips,Death,neutralish,98,30,4,1,98.0,326.67,GT
Shubman Gill,Death,spin,97,70,13,1,97.0,138.57,LSG
AD Russell,Death,spin,97,59,21,5,19.4,164.41,DC
WG Jacks,Death,neutralish,97,37,6,2,48.5,262.16,LSG
Karan Shinde,Death,spin,97,43,14,4,24.25,225.58,RCB
AB de Villiers,Death,spin,96,41,12,4,24.0,234.15,RR
LS Livingstone,PP,pace,96,62,25,3,32.0,154.84,KKR
YBK Jaiswal,PP,neutralish,96,41,10,4,24.0,234.15,RR
Rashid Khan,Death,spin,96,84,36,4,24.0,114.29,MI
Dhruv Jurel,PP,spin,95,69,34,3,31.67,137.68,KKR
Arshad Khan,Death,neutralish,95,47,11,3,31.67,202.13,DC
Utkarsh Singh,Death,spin,95,46,12,4,23.75,206.52,PBKS
Washington Sundar,Death,neutralish,94,55,14,2,47.0,170.91,PBKS
JDS Neesham,Middle,pace,93,73,28,1,93.0,127.4,
DJ Hooda,Middle,pace,93,76,30,7,13.29,122.37,
AD Russell,Middle,spin,93,64,21,2,46.5,145.31,DC
Abishek Porel,PP,pace,93,64,27,1,93.0,145.31,RR
Smaran Ravichandran,Death,pace,93,54,14,5,18.6,172.22,PBKS
CH Gayle,Death,pace,93,37,8,4,23.25,251.35,CSK
Ishaan Gadekar,PP,spin,93,89,53,2,46.5,104.49,SRH
Abdul Samad,Middle,neutralish,93,64,18,1,93.0,145.31,LSG
RR Pant,PP,pace,93,76,40,3,31.0,122.37,GT
Shadab Khan,Death,spin,93,53,16,5,18.6,175.47,SRH
MR Marsh,PP,spin,92,46,14,2,46.0,200.0,SRH
Ishan Kishan,PP,neutralish,91,57,21,3,30.33,159.65,MI
HS Desai,Middle,spin,91,68,27,4,22.75,133.82,CSK
MR Marsh,Middle,neutralish,91,66,14,2,45.5,137.88,SRH
DJ Hooda,Middle,spin,91,68,25,2,45.5,133.82,
Shahbaz Ahmed,Death,spin,91,69,33,7,13.0,131.88,LSG
YK Pathan,Death,spin,91,48,16,4,22.75,189.58,KKR
DA Miller,Middle,pace,91,61,20,4,22.75,149.18,
FH Allen,Death,pace,90,40,10,4,22.5,225.0,PBKS
RR Rossouw,Middle,neutralish,90,58,11,2,45.0,155.17,SRH
Aniket Verma,Death,pace,90,49,12,5,18.0,183.67,RR
Tarang Gohel,Middle,neutralish,90,58,9,1,90.0,155.17,DC
Anmolpreet Singh,Death,spin,90,49,13,2,45.0,183.67,CSK
D Brevis,Death,spin,89,58,16,7,12.71,153.45,LSG
MK Lomror,Middle,spin,89,56,16,4,22.25,158.93,
Azmatullah Omarzai,Middle,pace,89,65,25,5,17.8,136.92,
RG Sharma,Death,neutralish,88,43,8,2,44.0,204.65,KKR
TH David,Death,spin,87,48,20,7,12.43,181.25,PBKS
DS Airee,Middle,spin,87,74,30,4,21.75,117.57,CSK
GD Phillips,Death,spin,87,62,25,9,9.67,140.32,GT
Arshad Khan,Death,spin,86,62,24,4,21.5,138.71,DC
PP Shaw,PP,neutralish,86,61,25,5,17.2,140.98,MI
KL Rahul,Death,pace,85,45,16,6,14.17,188.89,SRH
R Ashwin,Death,spin,85,47,15,5,17.0,180.85,KKR
PJ Cummins,Death,pace,85,64,23,6,14.17,132.81,
C Green,PP,spin,84,70,36,5,16.8,120.0,KKR
Tarang Gohel,PP,neutralish,83,52,20,2,41.5,159.62,DC
V Kohli,Death,spin,83,52,17,4,20.75,159.62,RR
Atharva Taide,Middle,neutralish,83,48,9,1,83.0,172.92,MI
Mohammad Nabi,Death,spin,83,65,29,12,6.92,127.69,LSG
H Klaasen,PP,pace,83,58,29,5,16.6,143.1,CSK
D Brevis,Middle,neutralish,82,55,20,3,27.33,149.09,LSG
DS Airee,Death,spin,82,42,16,8,10.25,195.24,CSK
GF Linde,Death,neutralish,82,32,8,0,,256.25,GT
Harpreet Brar,Death,pace,82,60,28,3,27.33,136.67,GT
N Rana,PP,neutralish,82,50,20,0,,164.0,PBKS
RM Patidar,PP,neutralish,82,52,15,1,82.0,157.69,KKR
RG Sharma,Middle,neutralish,81,74,23,3,27.0,109.46,KKR
Abishek Porel,PP,neutralish,81,46,19,0,,176.09,RR
RD Gaikwad,Death,pace,81,42,9,0,,192.86,GT
RK Bhui,Middle,pace,81,72,16,2,40.5,112.5,KKR
MJ Owen,Death,spin,81,39,10,4,20.25,207.69,DC
KH Pandya,Death,spin,81,65,29,9,9.0,124.62,RR
P Simran Singh,Death,spin,80,46,8,4,20.0,173.91,SRH
AD Russell,Middle,neutralish,80,55,20,2,40.0,145.45,DC
MA Agarwal,Death,pace,80,32,11,4,20.0,250.0,DC
Babar Azam,PP,pace,80,71,43,3,26.67,112.68,
AM Rahane,Death,neutralish,80,39,6,0,,205.13,MI
Smaran Ravichandran,Middle,neutralish,80,55,14,5,16.0,145.45,PBKS
Kartik Sharma,Middle,pace,80,55,21,5,16.0,145.45,SRH
MJ Owen,PP,neutralish,79,45,15,3,26.33,175.56,DC
MA Starc,Death,pace,79,93,59,16,4.94,84.95,KKR
Arshad Khan,Middle,pace,79,37,12,0,,213.51,DC
MS Dhoni,Death,pace,79,52,15,2,39.5,151.92,CSK
AK Markram,Middle,pace,79,56,20,3,26.33,141.07,DC
AM Rahane,PP,neutralish,78,56,23,3,26.0,139.29,MI
HS Desai,Middle,pace,77,42,9,3,25.67,183.33,CSK
TM Head,Death,pace,77,66,22,7,11.0,116.67,
CH Morris,Death,pace,77,45,12,4,19.25,171.11,
Arshad Khan,Middle,spin,77,62,23,4,19.25,124.19,DC
JN Loftie-Eaton,Death,spin,77,52,25,2,38.5,148.08,RR
Rahul Singh,Middle,spin,76,62,20,2,38.0,122.58,RCB
SV Samson,Death,spin,76,47,11,4,19.0,161.7,GT
M Jansen,Death,pace,76,49,22,5,15.2,155.1,
SV Samson,Death,pace,76,40,9,5,15.2,190.0,GT
JC Buttler,Death,neutralish,76,42,11,2,38.0,180.95,LSG
KD Karthik,Death,neutralish,76,29,6,1,76.0,262.07,RR
R Ashwin,Middle,pace,75,59,28,2,37.5,127.12,KKR
D Padikkal,PP,spin,75,52,19,1,75.0,144.23,KKR
Tanush Kotian,Death,neutralish,75,36,9,5,15.0,208.33,CSK
Shashank Singh,Death,neutralish,75,40,11,3,25.0,187.5,PBKS
RA Tripathi,Middle,pace,75,63,29,4,18.75,119.05,
MP Stoinis,Death,spin,75,43,14,6,12.5,174.42,KKR
JM Bairstow,Middle,spin,74,52,18,3,24.67,142.31,
RA Tripathi,Middle,spin,74,43,7,1,74.0,172.09,
T Banton,Middle,neutralish,74,46,15,1,74.0,160.87,MI
Ashutosh Sharma,Death,pace,73,48,12,4,18.25,152.08,RCB
SO Hetmyer,Middle,pace,73,62,19,4,18.25,117.74,
Washington Sundar,Middle,spin,73,79,43,6,12.17,92.41,PBKS
Tilak Varma,Death,pace,73,52,12,5,14.6,140.38,CSK
H Klaasen,Middle,neutralish,73,49,14,1,73.0,148.98,CSK
MK Lomror,Death,spin,73,50,20,3,24.33,146.0,
V Suryavanshi,Middle,neutralish,72,55,14,3,24.0,130.91,PBKS
J Fraser-McGurk,Middle,neutralish,72,55,15,4,18.0,130.91,KKR
BA Stokes,PP,neutralish,72,36,12,2,36.0,200.0,RR
D Padikkal,Middle,spin,72,56,21,3,24.0,128.57,KKR
HS Desai,PP,spin,71,62,28,2,35.5,114.52,CSK
LG Pretorius,PP,spin,70,62,27,4,17.5,112.9,
MA Agarwal,Middle,pace,70,55,21,2,35.0,127.27,DC
WG Jacks,Middle,neutralish,69,50,15,2,34.5,138.0,LSG
TP Ura,Middle,neutralish,69,43,9,1,69.0,160.47,PBKS
Babar Azam,Middle,pace,69,60,18,3,23.0,115.0,
Priyansh Arya,Death,neutralish,68,23,6,4,17.0,295.65,RCB
BJ McMullen,Death,neutralish,68,38,14,3,22.67,178.95,RR
YK Pathan,Death,pace,68,60,31,4,17.0,113.33,KKR
RA Bawa,Death,pace,68,32,10,3,22.67,212.5,SRH
Atharva Taide,PP,neutralish,68,38,12,1,68.0,178.95,MI
Nithish Kumar Reddy,Death,pace,67,45,16,4,16.75,148.89,SRH
AK Markram,Death,neutralish,67,32,7,1,67.0,209.38,DC
MS Dhoni,Middle,pace,67,51,18,4,16.75,131.37,CSK
H Klaasen,Death,pace,67,45,13,2,33.5,148.89,CSK
JG Bethell,Death,neutralish,67,33,8,4,16.75,203.03,RR
DA Miller,Middle,spin,67,60,17,2,33.5,111.67,
BM Duckett,Death,spin,66,34,11,3,22.0,194.12,SRH
R Shepherd,Death,pace,66,39,18,10,6.6,169.23,GT
SS Iyer,PP,neutralish,66,41,17,2,33.0,160.98,LSG
JJ Smit,Death,pace,66,32,9,2,33.0,206.25,PBKS
A Badoni,Middle,pace,66,58,27,6,11.0,113.79,
DJ Hooda,PP,spin,65,48,18,3,21.67,135.42,
Sakibul Gani,Death,spin,65,30,11,3,21.67,216.67,RCB
GF Linde,Death,spin,65,45,20,6,10.83,144.44,GT
Salil Arora,PP,pace,65,27,5,0,,240.74,RCB
CH Gayle,Death,neutralish,65,30,7,2,32.5,216.67,CSK
Ashutosh Sharma,PP,spin,64,43,19,2,32.0,148.84,RCB
LG Pretorius,PP,neutralish,64,34,9,0,,188.24,
Harpreet Brar,Middle,pace,64,47,26,2,32.0,136.17,GT
LS Livingstone,Middle,neutralish,64,55,19,5,12.8,116.36,KKR
JM Bairstow,Middle,pace,63,45,8,3,21.0,140.0,
YK Pathan,Middle,pace,63,67,26,4,15.75,94.03,KKR
P Simran Singh,Death,neutralish,63,39,8,3,21.0,161.54,SRH
SS Iyer,Death,neutralish,63,33,3,1,63.0,190.91,LSG
R Shepherd,Death,neutralish,63,32,12,4,15.75,196.88,GT
RA Jadeja,Middle,pace,63,50,18,3,21.0,126.0,SRH
PP Shaw,Death,spin,62,41,10,3,20.67,151.22,MI
JL Smith,Middle,spin,62,43,11,1,62.0,144.19,
Karan Shinde,Death,neutralish,62,29,6,2,31.0,213.79,RCB
RR Pant,PP,spin,62,39,14,5,12.4,158.97,GT
JR Hazlewood,Death,pace,62,61,37,7,8.86,101.64,RR
DJ Bravo,Death,pace,61,42,21,3,20.33,145.24,
T Stubbs,PP,pace,61,54,28,2,30.5,112.96,CSK
MP Stoinis,PP,neutralish,61,44,15,3,20.33,138.64,KKR
Tanush Kotian,Middle,spin,61,47,21,3,20.33,129.79,CSK
Rahul Singh,PP,neutralish,61,22,8,0,,277.27,RCB
Kartik Sharma,PP,spin,61,29,9,1,61.0,210.34,SRH
DJ Hooda,Death,spin,61,37,10,4,15.25,164.86,
A Badoni,PP,pace,61,47,25,2,30.5,129.79,
Ashutosh Sharma,Death,neutralish,60,30,10,3,20.0,200.0,RCB
Yuvraj Chaudhary,Middle,pace,60,41,13,1,60.0,146.34,
Harpreet Brar,Middle,spin,60,52,20,4,15.0,115.38,GT
Suryansh Shedge,Death,neutralish,60,38,16,6,10.0,157.89,CSK
Hassan Nawaz,Middle,spin,60,55,16,5,12.0,109.09,RCB
RD Gaikwad,Death,neutralish,60,35,6,3,20.0,171.43,GT
AB de Villiers,Middle,pace,59,29,8,4,14.75,203.45,RR
RR Pant,Death,pace,59,40,10,3,19.67,147.5,GT
SO Hetmyer,Middle,spin,59,48,19,3,19.67,122.92,
Sameer Rizvi,Death,neutralish,59,32,8,1,59.0,184.38,LSG
SA Yadav,Death,neutralish,59,36,6,1,59.0,163.89,DC
PWH de Silva,Death,spin,59,38,10,1,59.0,155.26,RCB
Rashid Khan,Death,neutralish,59,37,17,3,19.67,159.46,MI
RR Pant,Death,spin,59,36,10,4,14.75,163.89,GT
Shakib Al Hasan,Death,spin,58,60,36,5,11.6,96.67,
R Powell,Middle,spin,58,42,13,0,,138.1,LSG
Bilal Zalmai,Death,spin,58,28,3,0,,207.14,
Ashutosh Sharma,PP,pace,58,30,13,1,58.0,193.33,RCB
RK Singh,Death,spin,58,40,18,4,14.5,145.0,MI
RS Hangargekar,Death,pace,57,26,7,4,14.25,219.23,
DJ Hooda,Middle,neutralish,57,38,9,3,19.0,150.0,
Shashwat Rawat,PP,spin,57,38,15,0,,150.0,PBKS
R Parag,PP,spin,57,39,16,1,57.0,146.15,GT
HH Pandya,PP,pace,57,39,19,3,19.0,146.15,MI
SR Hain,Middle,pace,57,42,11,2,28.5,135.71,
RK Bhui,Death,pace,56,47,18,6,9.33,119.15,KKR
SP Narine,Death,pace,56,31,9,3,18.67,180.65,KKR
JG Bethell,Middle,neutralish,56,50,17,1,56.0,112.0,RR
AR Patel,Death,neutralish,56,35,10,4,14.0,160.0,CSK
Salil Arora,Middle,spin,55,35,6,1,55.0,157.14,RCB
R Parag,PP,pace,55,52,28,1,55.0,105.77,GT
SM Curran,Middle,pace,55,51,29,7,7.86,107.84,
LS Livingstone,Death,pace,55,28,6,3,18.33,196.43,KKR
Sameer Rizvi,Middle,neutralish,55,33,8,3,18.33,166.67,LSG
R Ashwin,Death,pace,55,53,20,5,11.0,103.77,KKR
KK Nair,PP,pace,55,30,9,1,55.0,183.33,
MS Dhoni,Death,neutralish,55,31,6,2,27.5,177.42,CSK
MG Erasmus,Middle,spin,55,50,26,4,13.75,110.0,
V Nigam,Middle,spin,55,44,17,0,,125.0,GT
V Suryavanshi,Death,spin,55,35,11,5,11.0,157.14,PBKS
MS Dhoni,Death,spin,54,37,12,4,13.5,145.95,CSK
Karan Lal,Death,neutralish,54,40,19,2,27.0,135.0,RR
RR Rossouw,PP,pace,54,39,21,2,27.0,138.46,SRH
Chirag Jani,Death,neutralish,53,31,7,3,17.67,170.97,CSK
RA Jadeja,Middle,neutralish,53,35,12,2,26.5,151.43,SRH
JG Bethell,Death,spin,53,42,17,4,13.25,126.19,RR
Azmatullah Omarzai,Death,pace,53,32,13,5,10.6,165.62,
KD Karthik,PP,pace,53,32,10,2,26.5,165.62,RR
RM Patidar,Death,neutralish,53,31,9,5,10.6,170.97,KKR
DA Warner,PP,pace,53,45,23,2,26.5,117.78,
Hassan Nawaz,Death,neutralish,53,23,5,2,26.5,230.43,RCB
Waseem Muhammad,Middle,pace,52,36,10,2,26.0,144.44,
N Rana,PP,spin,52,47,28,3,17.33,110.64,PBKS
Aniket Verma,PP,neutralish,52,29,10,1,52.0,179.31,RR
Harpreet Brar,Death,spin,52,45,26,4,13.0,115.56,GT
Hassan Nawaz,PP,pace,52,25,9,2,26.0,208.0,RCB
Utkarsh Singh,Middle,spin,51,58,32,5,10.2,87.93,PBKS
SM Curran,PP,pace,51,38,18,0,,134.21,
Mohammed Shami,Death,pace,51,44,20,5,10.2,115.91,LSG
Salil Arora,Middle,pace,51,28,5,1,51.0,182.14,RCB
A Raghuvanshi,PP,pace,51,28,16,4,12.75,182.14,
B Kumar,Death,pace,51,83,59,9,5.67,61.45,KKR
MW Short,Middle,spin,50,38,9,2,25.0,131.58,MI
RA Jadeja,Middle,spin,50,43,17,2,25.0,116.28,SRH
M Siddharth,Death,spin,50,29,13,6,8.33,172.41,CSK
JM Sharma,PP,pace,50,25,12,1,50.0,200.0,RCB
DA Warner,Middle,pace,50,40,14,2,25.0,125.0,
YS Chahal,Death,spin,50,45,24,7,7.14,111.11,RCB
Ravi Singh,Middle,spin,50,31,12,1,50.0,161.29,KKR
KA Pollard,PP,spin,50,33,14,1,50.0,151.52,CSK
MS Pepper,Middle,neutralish,49,26,4,1,49.0,188.46,
N Rana,Death,spin,49,29,9,5,9.8,168.97,PBKS
Karan Shinde,Death,pace,48,26,7,3,16.0,184.62,RCB
M Jansen,Middle,pace,48,44,16,2,24.0,109.09,
JDS Neesham,Death,pace,48,32,10,6,8.0,150.0,
TP Ura,PP,spin,48,29,15,3,16.0,165.52,PBKS
AK Markram,PP,pace,48,36,13,1,48.0,133.33,DC
AA Kulkarni,PP,neutralish,48,31,14,3,16.0,154.84,GT
FH Allen,Middle,neutralish,47,37,8,3,15.67,127.03,PBKS
MS Dhoni,Middle,neutralish,47,24,4,0,,195.83,CSK
Kartik Sharma,Death,pace,47,23,9,2,23.5,204.35,SRH
Bhanu Pania,Death,spin,47,33,14,2,23.5,142.42,
HC Brook,PP,pace,47,33,15,1,47.0,142.42,
DAJ Bracewell,Middle,pace,47,34,11,5,9.4,138.24,
TH David,Death,neutralish,47,34,11,1,47.0,138.24,PBKS
Shakib Al Hasan,Middle,spin,47,50,25,4,11.75,94.0,
Salman Nizar,Death,spin,46,26,5,1,46.0,176.92,
TM Head,Middle,neutralish,46,37,13,4,11.5,124.32,
Sikandar Raza,Middle,pace,46,31,10,0,,148.39,
HV Patel,Middle,pace,46,38,17,3,15.33,121.05,GT
F du Plessis,Middle,spin,46,32,13,2,23.0,143.75,
Kuldeep Yadav,Death,spin,46,84,55,13,3.54,54.76,SRH
RK Singh,Middle,neutralish,46,37,14,1,46.0,124.32,MI
DP Conway,Death,spin,46,35,9,7,6.57,131.43,PBKS
RA Tripathi,PP,spin,46,46,23,3,15.33,100.0,
BM Duckett,Death,neutralish,45,25,4,1,45.0,180.0,SRH
Ramandeep Singh,Middle,spin,45,38,15,3,15.0,118.42,LSG
RR Rossouw,Middle,spin,45,34,12,2,22.5,132.35,SRH
DA Miller,Death,pace,45,33,9,2,22.5,136.36,
MK Pandey,Middle,spin,45,24,9,1,45.0,187.5,
SP Narine,Death,spin,45,25,9,3,15.0,180.0,KKR
Abhishek Sharma,Death,neutralish,45,25,3,0,,180.0,MI
SO Hetmyer,Death,pace,45,35,14,3,15.0,128.57,
RA Bawa,Death,neutralish,44,25,11,3,14.67,176.0,SRH
WL Madsen,Death,neutralish,44,26,6,2,22.0,169.23,MI
Azmatullah Omarzai,Middle,spin,44,26,8,1,44.0,169.23,
Gaurav Puri,Death,neutralish,43,19,4,3,14.33,226.32,LSG
KD Karthik,Death,pace,43,24,7,4,10.75,179.17,RR
Nithish Kumar Reddy,PP,pace,43,42,21,2,21.5,102.38,SRH
Sikandar Raza,Death,pace,43,29,9,1,43.0,148.28,
PHKD Mendis,PP,spin,43,48,27,1,43.0,89.58,DC
MG Bracewell,Death,neutralish,43,14,3,2,21.5,307.14,
MK Pandey,PP,pace,43,54,37,2,21.5,79.63,
G Coetzee,Death,pace,43,36,9,0,,119.44,
Salil Arora,Death,neutralish,43,15,1,0,,286.67,RCB
AB de Villiers,PP,spin,42,39,21,0,,107.69,RR
Harshit Rana,Death,pace,42,47,25,6,7.0,89.36,KKR
A Mhatre,PP,spin,42,30,13,2,21.0,140.0,KKR
N Wadhera,Death,neutralish,42,21,8,3,14.0,200.0,KKR
SB Dubey,Death,pace,42,31,14,3,14.0,135.48,
D Brevis,PP,spin,42,42,18,1,42.0,100.0,LSG
JJ Smit,Middle,pace,42,31,11,3,14.0,135.48,PBKS
Sakibul Gani,Middle,pace,42,28,5,0,,150.0,RCB
BA Stokes,Middle,spin,41,29,13,3,13.67,141.38,RR
Karan Lal,Death,spin,41,36,17,4,10.25,113.89,RR
Rahul Singh,Death,spin,41,23,5,4,10.25,178.26,RCB
FH Allen,Death,spin,41,23,6,0,,178.26,PBKS
SL Malinga,Death,pace,41,24,12,0,,170.83,PBKS
Jagjit Singh,Death,pace,41,27,7,1,41.0,151.85,SRH
WL Madsen,PP,spin,41,35,14,0,,117.14,MI
Hassan Nawaz,PP,neutralish,41,42,24,0,,97.62,RCB
Usman Khan (2),PP,neutralish,41,22,7,1,41.0,186.36,
RD Chahar,Death,spin,41,29,12,3,13.67,141.38,CSK
Rashid Khan,Middle,pace,41,40,19,4,10.25,102.5,MI
Usman Khan (2),Middle,neutralish,40,29,9,1,40.0,137.93,
V Suryavanshi,Death,pace,40,14,3,2,20.0,285.71,PBKS
M Markande,Death,spin,40,45,29,4,10.0,88.89,
Rahul Singh,PP,spin,40,33,13,3,13.33,121.21,RCB
HV Patel,Death,spin,40,30,11,4,10.0,133.33,GT
PJ Cummins,Middle,pace,40,29,11,2,20.0,137.93,
Mohammad Nabi,Middle,pace,40,24,8,2,20.0,166.67,LSG
JC Archer,Death,pace,40,57,41,9,4.44,70.18,LSG
GF Linde,Middle,neutralish,40,37,15,2,20.0,108.11,GT
Arshdeep Singh,Death,spin,40,37,19,2,20.0,108.11,LSG
HC Brook,Death,pace,40,20,6,3,13.33,200.0,
Q de Kock,PP,neutralish,40,24,3,2,20.0,166.67,
Chirag Jani,PP,pace,39,20,6,1,39.0,195.0,CSK
R Parag,PP,neutralish,39,26,14,2,19.5,150.0,GT
MK Lomror,Middle,pace,39,26,7,1,39.0,150.0,
MS Dhoni,Middle,spin,39,41,18,2,19.5,95.12,CSK
KA Pollard,PP,pace,39,16,4,0,,243.75,CSK
VR Iyer,PP,neutralish,38,10,0,0,,380.0,SRH
Mohammad Ghazanfar,Death,spin,38,35,15,6,6.33,108.57,SRH
JR Hazlewood,Middle,pace,38,25,11,3,12.67,152.0,RR
JM Vince,Middle,neutralish,38,24,3,0,,158.33,
Azmatullah Omarzai,Death,spin,38,23,5,0,,165.22,
SPD Smith,PP,spin,38,40,22,4,9.5,95.0,CSK
JG Bethell,Middle,pace,38,22,10,1,38.0,172.73,RR
D Padikkal,Death,neutralish,38,22,5,0,,172.73,KKR
Gaurav Puri,Middle,spin,38,31,13,1,38.0,122.58,LSG
AR Patel,Middle,neutralish,38,23,11,2,19.0,165.22,CSK
Jagjit Singh,Middle,pace,37,34,20,1,37.0,108.82,SRH
MA Starc,Middle,pace,37,20,7,0,,185.0,KKR
HV Patel,Middle,spin,37,31,17,2,18.5,119.35,GT
Jay Gohil,Death,neutralish,37,17,4,1,37.0,217.65,LSG
MK Pandey,Middle,neutralish,37,28,14,0,,132.14,
MK Lomror,Middle,neutralish,37,32,9,1,37.0,115.62,
M Prasidh Krishna,Death,pace,37,30,10,3,12.33,123.33,RR
Ramandeep Singh,Death,spin,37,26,9,4,9.25,142.31,LSG
Abhishek Sharma,Death,spin,37,20,2,1,37.0,185.0,MI
RR Rossouw,Death,spin,37,17,2,2,18.5,217.65,SRH
Akash Vasisht,Middle,spin,37,25,8,0,,148.0,SRH
Ashutosh Sharma,Middle,neutralish,37,29,11,1,37.0,127.59,RCB
CH Morris,Middle,pace,37,22,8,1,37.0,168.18,
PD Salt,Death,neutralish,37,19,2,1,37.0,194.74,RCB
VG Arora,Death,pace,37,31,18,4,9.25,119.35,KKR
PWH de Silva,Death,pace,36,21,3,1,36.0,171.43,RCB
AD Russell,Middle,pace,36,37,17,3,12.0,97.3,DC
R Tewatia,Death,spin,36,31,11,5,7.2,116.13,
Akash Vasisht,PP,spin,36,25,14,3,12.0,144.0,SRH
Q de Kock,Death,spin,36,17,4,2,18.0,211.76,
Shaheen Shah Afridi,Death,pace,36,50,31,4,9.0,72.0,MI
LG Pretorius,Middle,pace,36,23,4,1,36.0,156.52,
AJ Turner,Middle,spin,36,33,12,1,36.0,109.09,
Chirag Jani,Death,spin,36,9,1,1,36.0,400.0,CSK
Anmolpreet Singh,Middle,spin,36,18,5,0,,200.0,CSK
AB de Villiers,PP,pace,36,29,17,3,12.0,124.14,RR
T Banton,Death,neutralish,36,23,12,1,36.0,156.52,MI
