striker,venue,runs,balls,outs,avg,SR,Curr_Tm
MJ Owen,RCB,56,27,1,56.0,207.41,DC
DA Warner,RCB,55,40,1,55.0,137.5,
JM Bairstow,RR,55,33,1,55.0,166.67,
AD Russell,CSK,55,32,0,,171.88,DC
RR Rossouw,DC,55,35,2,27.5,157.14,SRH
VR Iyer,LSG,55,43,2,27.5,127.91,SRH
MK Pandey,GT,54,38,1,54.0,142.11,
Smaran Ravichandran,RR,54,40,2,27.0,135.0,PBKS
RD Gaikwad,MI,54,35,2,27.0,154.29,GT
JM Sharma,MI,54,32,1,54.0,168.75,RCB
AD Russell,SRH,54,33,2,27.0,163.64,DC
Urvil Patel,MI,53,38,2,26.5,139.47,DC
Arshad Khan,CSK,53,28,1,53.0,189.29,RR
Washington Sundar,DC,52,28,1,52.0,185.71,PBKS
Ramandeep Singh,KKR,52,35,1,52.0,148.57,LSG
RK Bhui,RCB,52,27,1,52.0,192.59,PBKS
JM Sharma,GT,52,39,2,26.0,133.33,RCB
RK Singh,CSK,52,33,2,26.0,157.58,MI
RA Bawa,KKR,52,37,5,10.4,140.54,SRH
Abishek Porel,LSG,52,23,1,52.0,226.09,DC
PD Salt,KKR,52,34,3,17.33,152.94,RCB
H Klaasen,RCB,51,38,3,17.0,134.21,CSK
T Stubbs,MI,51,34,1,51.0,150.0,CSK
Abdul Samad,SRH,51,18,3,17.0,283.33,LSG
SP Narine,GT,51,35,2,25.5,145.71,KKR
PP Shaw,LSG,51,37,3,17.0,137.84,RCB
B Sai Sudharsan,PBKS,51,42,3,17.0,121.43,CSK
Dhruv Jurel,MI,51,36,1,51.0,141.67,RCB
Nithish Kumar Reddy,PBKS,51,42,3,17.0,121.43,SRH
P Simran Singh,LSG,50,32,3,16.67,156.25,SRH
Bhanu Pania,MI,50,41,1,50.0,121.95,KKR
MA Agarwal,KKR,50,32,2,25.0,156.25,RR
LG Pretorius,KKR,50,35,1,50.0,142.86,RR
MA Starc,KKR,50,55,6,8.33,90.91,KKR
R Parag,KKR,50,42,2,25.0,119.05,GT
RK Singh,GT,50,33,0,,151.52,MI
JM Sharma,CSK,50,35,3,16.67,142.86,RCB
DA Warner,MI,50,39,2,25.0,128.21,
HH Pandya,SRH,49,31,2,24.5,158.06,MI
Abdul Samad,CSK,49,20,1,49.0,245.0,LSG
PHKD Mendis,DC,49,19,2,24.5,257.89,SRH
BA Stokes,KKR,49,34,3,16.33,144.12,LSG
JG Bethell,GT,49,44,1,49.0,111.36,SRH
SS Iyer,DC,49,32,1,49.0,153.12,LSG
F du Plessis,KKR,49,39,2,24.5,125.64,
MS Dhoni,KKR,49,28,1,49.0,175.0,KKR
AM Rahane,GT,49,29,2,24.5,168.97,MI
Arshad Khan,DC,48,23,1,48.0,208.7,RR
SB Dubey,GT,48,29,2,24.0,165.52,PBKS
Gaurav Puri,CSK,48,23,2,24.0,208.7,CSK
Ashutosh Sharma,DC,48,37,2,24.0,129.73,RCB
T Stubbs,LSG,48,37,0,,129.73,CSK
R Parag,PBKS,48,28,3,16.0,171.43,GT
SS Iyer,PBKS,48,44,3,16.0,109.09,LSG
DJ Hooda,SRH,48,35,2,24.0,137.14,LSG
RA Tripathi,LSG,48,27,1,48.0,177.78,KKR
R Parag,DC,48,25,1,48.0,192.0,GT
LUVNITH SISODIA,LSG,48,31,2,24.0,154.84,LSG
Rahul Singh,RR,47,26,2,23.5,180.77,RCB
BA Stokes,RCB,47,25,1,47.0,188.0,LSG
RA Jadeja,SRH,47,20,1,47.0,235.0,RCB
Harpreet Brar,KKR,47,28,0,,167.86,PBKS
P Simran Singh,CSK,47,24,4,11.75,195.83,SRH
Priyansh Arya,GT,47,26,1,47.0,180.77,SRH
RK Singh,SRH,47,30,2,23.5,156.67,MI
HH Pandya,CSK,47,39,3,15.67,120.51,MI
H Klaasen,MI,47,37,3,15.67,127.03,CSK
AD Russell,RCB,46,36,1,46.0,127.78,DC
RD Rickelton,SRH,46,34,3,15.33,135.29,LSG
RK Singh,KKR,46,31,1,46.0,148.39,MI
MS Dhoni,PBKS,46,47,2,23.0,97.87,KKR
C Green,LSG,46,28,2,23.0,164.29,KKR
Dhruv Jurel,RR,46,38,3,15.33,121.05,RCB
TA Boult,PBKS,46,34,1,46.0,135.29,MI
MR Marsh,SRH,46,24,2,23.0,191.67,SRH
Naman Dhir,KKR,46,28,2,23.0,164.29,GT
SPD Smith,CSK,46,40,1,46.0,115.0,CSK
RK Bhui,CSK,45,48,5,9.0,93.75,PBKS
Nithish Kumar Reddy,MI,45,43,2,22.5,104.65,SRH
N Wadhera,GT,45,33,2,22.5,136.36,KKR
Ishaan Gadekar,LSG,45,34,1,45.0,132.35,RCB
GD Phillips,RCB,45,19,0,,236.84,GT
GD Phillips,PBKS,45,34,3,15.0,132.35,GT
Suryansh Shedge,KKR,45,17,1,45.0,264.71,CSK
Swapnil Singh,RR,45,31,5,9.0,145.16,GT
Atharva Taide,MI,45,36,1,45.0,125.0,MI
V Suryavanshi,GT,45,31,2,22.5,145.16,PBKS
AR Patel,PBKS,45,27,4,11.25,166.67,CSK
RR Pant,LSG,45,40,2,22.5,112.5,GT
JL Smith,RR,45,28,1,45.0,160.71,KKR
Chirag Jani,CSK,44,25,1,44.0,176.0,PBKS
Abishek Porel,PBKS,44,27,2,22.0,162.96,DC
RK Singh,RR,44,28,2,22.0,157.14,MI
N Sindhu,CSK,44,33,2,22.0,133.33,DC
Abishek Porel,CSK,44,36,2,22.0,122.22,DC
Dhruv Jurel,CSK,44,21,0,,209.52,RCB
Sameer Rizvi,MI,44,29,1,44.0,151.72,LSG
DS Airee,KKR,44,26,1,44.0,169.23,RCB
Ramandeep Singh,DC,44,28,1,44.0,157.14,LSG
Washington Sundar,KKR,44,41,1,44.0,107.32,PBKS
MK Pandey,MI,43,36,1,43.0,119.44,
SP Narine,MI,43,32,3,14.33,134.38,KKR
Harpreet Brar,SRH,43,34,1,43.0,126.47,PBKS
RG Sharma,SRH,43,42,1,43.0,102.38,KKR
RM Patidar,MI,43,32,2,21.5,134.38,KKR
DAJ Bracewell,RCB,43,15,1,43.0,286.67,RCB
Azmatullah Omarzai,GT,43,23,0,,186.96,
Sikandar Raza,SRH,43,31,2,21.5,138.71,MI
Ashutosh Sharma,GT,43,20,1,43.0,215.0,RCB
Tanush Kotian,SRH,43,32,1,43.0,134.38,CSK
Abdul Samad,KKR,43,38,2,21.5,113.16,LSG
PWH de Silva,LSG,43,31,0,,138.71,PBKS
VR Iyer,GT,43,29,3,14.33,148.28,SRH
RD Rickelton,MI,43,25,3,14.33,172.0,LSG
Aniket Verma,MI,42,22,2,21.0,190.91,RR
LS Livingstone,RR,42,33,3,14.0,127.27,RCB
Shashank Singh,SRH,42,29,1,42.0,144.83,PBKS
Bhanu Pania,GT,42,34,0,,123.53,KKR
AK Markram,LSG,42,24,2,21.0,175.0,DC
V Suryavanshi,MI,42,27,2,21.0,155.56,PBKS
MA Agarwal,MI,42,27,1,42.0,155.56,RR
R Powell,DC,42,31,1,42.0,135.48,KKR
JC Buttler,PBKS,42,32,2,21.0,131.25,LSG
AR Patel,SRH,41,40,2,20.5,102.5,CSK
Ishan Kishan,PBKS,41,24,1,41.0,170.83,MI
TH David,LSG,41,28,2,20.5,146.43,
N Wadhera,PBKS,41,26,2,20.5,157.69,KKR
Ravi Bishnoi,PBKS,41,52,6,6.83,78.85,LSG
HV Patel,CSK,41,38,2,20.5,107.89,RR
KL Rahul,GT,41,35,3,13.67,117.14,SRH
Suryansh Shedge,SRH,40,16,1,40.0,250.0,CSK
DP Conway,KKR,40,21,1,40.0,190.48,PBKS
Priyansh Arya,KKR,40,25,2,20.0,160.0,SRH
Akash Vasisht,RR,40,29,1,40.0,137.93,DC
GD Phillips,RR,40,16,1,40.0,250.0,GT
RA Bawa,SRH,40,18,2,20.0,222.22,SRH
KL Rahul,KKR,40,28,3,13.33,142.86,SRH
SO Hetmyer,GT,40,36,1,40.0,111.11,
H Klaasen,LSG,40,28,4,10.0,142.86,CSK
HH Pandya,PBKS,40,37,3,13.33,108.11,MI
HS Desai,LSG,40,17,2,20.0,235.29,PBKS
RA Tripathi,RCB,40,34,2,20.0,117.65,KKR
AR Patel,DC,40,25,1,40.0,160.0,CSK
LS Livingstone,KKR,40,39,3,13.33,102.56,RCB
DL Chahar,KKR,39,29,1,39.0,134.48,
Jagjit Singh,CSK,39,22,1,39.0,177.27,SRH
Shahbaz Ahmed,PBKS,39,33,2,19.5,118.18,GT
LG Pretorius,DC,39,21,1,39.0,185.71,RR
Smaran Ravichandran,MI,39,26,2,19.5,150.0,PBKS
Q de Kock,DC,39,18,2,19.5,216.67,KKR
TA Boult,CSK,39,23,1,39.0,169.57,MI
KH Pandya,SRH,39,39,9,4.33,100.0,SRH
AB de Villiers,DC,39,26,1,39.0,150.0,RR
B Sai Sudharsan,KKR,38,32,3,12.67,118.75,CSK
Urvil Patel,PBKS,38,28,2,19.0,135.71,DC
Suryansh Shedge,PBKS,38,32,3,12.67,118.75,CSK
Sameer Rizvi,SRH,38,29,1,38.0,131.03,LSG
Urvil Patel,KKR,38,25,1,38.0,152.0,DC
AR Patel,GT,38,20,0,,190.0,CSK
SP Narine,RCB,38,23,2,19.0,165.22,KKR
RA Jadeja,MI,38,27,3,12.67,140.74,RCB
MJ Owen,MI,38,14,0,,271.43,DC
MK Lomror,GT,38,22,2,19.0,172.73,SRH
VR Iyer,DC,38,20,1,38.0,190.0,SRH
KD Karthik,RR,38,13,0,,292.31,RCB
F du Plessis,SRH,38,36,2,19.0,105.56,
V Suryavanshi,DC,38,26,2,19.0,146.15,PBKS
RR Pant,MI,38,37,2,19.0,102.7,GT
V Suryavanshi,CSK,38,33,1,38.0,115.15,PBKS
Rahul Singh,DC,38,18,1,38.0,211.11,RCB
Naman Dhir,SRH,38,28,3,12.67,135.71,GT
D Brevis,RR,38,32,1,38.0,118.75,RR
R Shepherd,CSK,37,18,2,18.5,205.56,GT
PJ Cummins,RR,37,21,0,,176.19,RR
R Powell,CSK,37,17,1,37.0,217.65,KKR
Shashank Singh,KKR,37,23,2,18.5,160.87,PBKS
Shashank Singh,CSK,37,22,4,9.25,168.18,PBKS
AR Patel,RCB,37,30,3,12.33,123.33,CSK
MS Dhoni,GT,36,22,0,,163.64,KKR
PJ Cummins,MI,36,27,3,12.0,133.33,RR
M Jansen,RCB,36,20,1,36.0,180.0,
RA Jadeja,GT,36,14,0,,257.14,RCB
J Fraser-McGurk,RR,36,17,2,18.0,211.76,KKR
S Dube,RCB,36,17,1,36.0,211.76,RR
N Wadhera,RR,36,18,2,18.0,200.0,KKR
J Fraser-McGurk,LSG,36,21,3,12.0,171.43,KKR
Q de Kock,GT,36,38,2,18.0,94.74,KKR
P Simran Singh,MI,36,29,1,36.0,124.14,SRH
RA Jadeja,KKR,36,27,0,,133.33,RCB
KD Karthik,CSK,36,23,2,18.0,156.52,RCB
Akash Vasisht,DC,35,22,2,17.5,159.09,DC
RA Tripathi,PBKS,35,23,2,17.5,152.17,KKR
Sameer Rizvi,CSK,35,19,1,35.0,184.21,LSG
Harshit Rana,CSK,35,37,4,8.75,94.59,KKR
PP Shaw,GT,35,18,1,35.0,194.44,RCB
DP Conway,CSK,35,25,3,11.67,140.0,PBKS
B Kumar,KKR,35,34,6,5.83,102.94,KKR
MK Pandey,RR,35,24,0,,145.83,
F du Plessis,LSG,35,23,1,35.0,152.17,
WG Jacks,KKR,35,25,3,11.67,140.0,LSG
RG Sharma,CSK,35,29,4,8.75,120.69,KKR
MJ Owen,LSG,35,18,1,35.0,194.44,DC
MW Short,DC,35,24,1,35.0,145.83,DC
Yudhvir Singh,GT,34,16,0,,212.5,RCB
Shakib Al Hasan,RR,34,15,0,,226.67,PBKS
MK Lomror,MI,34,16,1,34.0,212.5,SRH
N Rana,DC,34,19,1,34.0,178.95,PBKS
SO Hetmyer,LSG,34,25,1,34.0,136.0,
MR Marsh,DC,34,38,3,11.33,89.47,SRH
V Suryavanshi,RCB,34,23,2,17.0,147.83,PBKS
A Badoni,DC,34,31,1,34.0,109.68,
HH Pandya,RCB,34,26,1,34.0,130.77,MI
AJ Turner,PBKS,34,23,0,,147.83,
DA Miller,CSK,34,18,1,34.0,188.89,
KH Pandya,MI,34,23,1,34.0,147.83,SRH
DJ Hooda,RCB,34,25,1,34.0,136.0,LSG
DS Airee,RCB,34,32,2,17.0,106.25,RCB
CH Morris,DC,33,21,0,,157.14,DC
Arshad Khan,PBKS,33,24,2,16.5,137.5,RR
JC Buttler,CSK,33,29,4,8.25,113.79,LSG
HH Pandya,DC,33,22,2,16.5,150.0,MI
A Mhatre,KKR,33,30,3,11.0,110.0,RR
CV Varun,PBKS,33,45,4,8.25,73.33,PBKS
Kartik Sharma,RR,33,19,0,,173.68,SRH
KH Pandya,DC,33,19,1,33.0,173.68,SRH
N Wadhera,RCB,33,22,1,33.0,150.0,KKR
TM Head,PBKS,33,27,4,8.25,122.22,MI
PWH de Silva,PBKS,33,21,0,,157.14,PBKS
BA Stokes,MI,33,30,4,8.25,110.0,LSG
R Powell,SRH,33,20,1,33.0,165.0,KKR
LG Pretorius,LSG,32,28,1,32.0,114.29,RR
Urvil Patel,CSK,32,17,1,32.0,188.24,DC
MA Starc,RCB,32,13,1,32.0,246.15,KKR
KA Pollard,RCB,32,22,2,16.0,145.45,CSK
Harpreet Brar,LSG,32,21,1,32.0,152.38,PBKS
SH Johnson,GT,32,22,1,32.0,145.45,
AR Patel,LSG,32,20,1,32.0,160.0,CSK
DS Airee,RR,32,13,1,32.0,246.15,RCB
WL Madsen,MI,32,24,1,32.0,133.33,MI
Q de Kock,RR,32,23,2,16.0,139.13,KKR
DP Conway,RR,32,26,1,32.0,123.08,PBKS
C Green,SRH,32,34,2,16.0,94.12,KKR
YBK Jaiswal,RCB,32,18,2,16.0,177.78,RR
R Sai Kishore,CSK,31,20,2,15.5,155.0,MI
M Jansen,MI,31,24,2,15.5,129.17,
RR Pant,SRH,31,26,3,10.33,119.23,GT
MS Dhoni,DC,31,13,1,31.0,238.46,KKR
Jay Gohil,LSG,31,20,1,31.0,155.0,LSG
AS Roy,LSG,31,22,3,10.33,140.91,LSG
N Pooran,PBKS,31,30,3,10.33,103.33,MI
Mohammad Nabi,LSG,30,18,2,15.0,166.67,LSG
J Suchith,SRH,30,27,1,30.0,111.11,
Arshdeep Singh,PBKS,30,19,0,,157.89,LSG
Bilal Zalmai,CSK,30,13,1,30.0,230.77,MI
DA Miller,SRH,30,24,1,30.0,125.0,
Nithish Kumar Reddy,DC,30,21,1,30.0,142.86,SRH
Sameer Rizvi,RR,30,11,1,30.0,272.73,LSG
Nithish Kumar Reddy,CSK,30,26,3,10.0,115.38,SRH
GF Linde,RR,29,18,4,7.25,161.11,
M Markande,SRH,29,38,1,29.0,76.32,SRH
Washington Sundar,SRH,29,26,2,14.5,111.54,PBKS
Ramandeep Singh,CSK,29,14,2,14.5,207.14,LSG
AD Russell,GT,29,13,2,14.5,223.08,DC
Arshad Khan,KKR,29,23,3,9.67,126.09,RR
TH David,RR,29,26,1,29.0,111.54,
SB Dubey,CSK,29,23,1,29.0,126.09,PBKS
D Brevis,GT,28,21,1,28.0,133.33,RR
Rahul Singh,KKR,28,20,0,,140.0,RCB
R Ashwin,RR,28,19,1,28.0,147.37,
MM Ali,GT,28,17,2,14.0,164.71,
KH Pandya,GT,28,13,0,,215.38,SRH
Abishek Porel,GT,28,21,2,14.0,133.33,DC
Aniket Verma,KKR,28,19,2,14.0,147.37,RR
FH Allen,RR,28,23,2,14.0,121.74,PBKS
KA Pollard,GT,28,22,1,28.0,127.27,CSK
C Green,CSK,28,14,1,28.0,200.0,KKR
JG Bethell,MI,27,16,1,27.0,168.75,SRH
A Manohar,LSG,27,21,2,13.5,128.57,
RR Rossouw,RCB,27,20,2,13.5,135.0,SRH
CH Gayle,MI,27,18,1,27.0,150.0,CSK
Nithish Kumar Reddy,LSG,27,24,2,13.5,112.5,SRH
Kuldeep Yadav,SRH,27,39,5,5.4,69.23,SRH
M Theekshana,RR,27,22,1,27.0,122.73,
Ashutosh Sharma,LSG,27,14,1,27.0,192.86,RCB
Yash Thakur,CSK,27,39,1,27.0,69.23,CSK
RA Tripathi,CSK,27,21,1,27.0,128.57,KKR
WG Jacks,PBKS,27,21,2,13.5,128.57,LSG
BM Duckett,LSG,27,23,2,13.5,117.39,PBKS
BM Duckett,GT,27,18,1,27.0,150.0,PBKS
RD Rickelton,RCB,26,21,3,8.67,123.81,LSG
RM Patidar,LSG,26,18,2,13.0,144.44,KKR
Bilal Zalmai,DC,26,12,0,,216.67,MI
Shashank Singh,LSG,26,22,2,13.0,118.18,PBKS
Anmolpreet Singh,SRH,26,12,1,26.0,216.67,CSK
KD Karthik,SRH,26,17,1,26.0,152.94,RCB
C Green,GT,26,18,2,13.0,144.44,KKR
A Badoni,SRH,26,16,2,13.0,162.5,
PN Mankad,RR,26,22,1,26.0,118.18,
MP Stoinis,CSK,26,27,3,8.67,96.3,
Ramandeep Singh,RR,26,15,2,13.0,173.33,LSG
Rahul Singh,LSG,26,19,1,26.0,136.84,RCB
R Powell,MI,26,11,0,,236.36,KKR
RD Gaikwad,KKR,26,12,2,13.0,216.67,GT
Aniket Verma,LSG,25,15,1,25.0,166.67,RR
Dhruv Jurel,DC,25,15,1,25.0,166.67,RCB
Sikandar Raza,GT,25,19,1,25.0,131.58,MI
RD Chahar,SRH,25,18,1,25.0,138.89,
G Coetzee,KKR,25,22,0,,113.64,
CH Morris,KKR,25,20,1,25.0,125.0,DC
T Stubbs,PBKS,25,25,2,12.5,100.0,CSK
Shubman Gill,RCB,25,20,2,12.5,125.0,LSG
MA Agarwal,CSK,25,8,0,,312.5,RR
JC Buttler,DC,25,17,3,8.33,147.06,LSG
Tarang Gohel,KKR,24,19,1,24.0,126.32,DC
Tanush Kotian,CSK,24,13,4,6.0,184.62,CSK
K Gowtham,DC,24,21,2,12.0,114.29,
Sandeep Sharma,RR,24,23,2,12.0,104.35,RR
PHKD Mendis,PBKS,24,12,0,,200.0,SRH
Atharva Taide,GT,24,18,1,24.0,133.33,MI
KA Pollard,MI,24,21,2,12.0,114.29,CSK
Chirag Jani,RCB,24,14,1,24.0,171.43,PBKS
M Shahrukh Khan,MI,24,22,1,24.0,109.09,GT
Smaran Ravichandran,SRH,24,19,1,24.0,126.32,PBKS
T Natarajan,CSK,24,14,5,4.8,171.43,CSK
DA Miller,LSG,24,14,0,,171.43,
SE Rutherford,GT,24,16,1,24.0,150.0,
Priyansh Arya,RCB,24,18,1,24.0,133.33,SRH
M Jansen,KKR,24,11,1,24.0,218.18,
M Prasidh Krishna,DC,23,20,1,23.0,115.0,DC
Jay Gohil,RCB,23,8,0,,287.5,LSG
F du Plessis,RCB,23,23,2,11.5,100.0,
RK Bhui,KKR,23,11,0,,209.09,PBKS
Mohammed Siraj,CSK,23,9,1,23.0,255.56,LSG
R Ashwin,PBKS,23,17,0,,135.29,
MM Ali,KKR,23,28,3,7.67,82.14,
JP Inglis,KKR,23,17,2,11.5,135.29,GT
RA Jadeja,RR,23,15,0,,153.33,RCB
JL Smith,MI,23,22,1,23.0,104.55,KKR
R Tewatia,DC,23,10,1,23.0,230.0,KKR
Harpreet Brar,RR,23,18,3,7.67,127.78,PBKS
Arslan Khan,CSK,22,12,1,22.0,183.33,
N Rana,GT,22,16,1,22.0,137.5,PBKS
BA Stokes,SRH,22,18,2,11.0,122.22,LSG
R Sai Kishore,GT,22,19,3,7.33,115.79,MI
MK Pandey,LSG,22,14,1,22.0,157.14,
RR Pant,CSK,22,23,4,5.5,95.65,GT
PHKD Mendis,MI,22,10,0,,220.0,SRH
MG Bracewell,CSK,22,11,1,22.0,200.0,
Akash Vasisht,LSG,22,16,2,11.0,137.5,DC
DA Warner,DC,22,17,2,11.0,129.41,
AD Russell,KKR,22,17,3,7.33,129.41,DC
G Coetzee,RCB,21,16,1,21.0,131.25,
DJ Bravo,DC,21,13,0,,161.54,RCB
Rashid Khan,DC,21,19,0,,110.53,GT
J Fraser-McGurk,SRH,21,14,0,,150.0,KKR
Nithish Kumar Reddy,KKR,21,24,2,10.5,87.5,SRH
D Padikkal,RCB,21,18,1,21.0,116.67,KKR
Jay Gohil,CSK,21,17,3,7.0,123.53,LSG
TU Deshpande,RR,21,19,4,5.25,110.53,DC
Tanush Kotian,DC,21,9,1,21.0,233.33,CSK
PWH de Silva,DC,21,9,2,10.5,233.33,PBKS
LS Livingstone,GT,21,18,3,7.0,116.67,RCB
Abdul Samad,RR,21,16,1,21.0,131.25,LSG
Mustafizur Rahman,DC,21,26,1,21.0,80.77,
Samarth Vyas,PBKS,21,16,1,21.0,131.25,
PHKD Mendis,CSK,21,14,1,21.0,150.0,SRH
SS Iyer,RCB,20,18,2,10.0,111.11,LSG
Ramandeep Singh,GT,20,14,1,20.0,142.86,LSG
GD Phillips,SRH,20,9,0,,222.22,GT
RS Hangargekar,RCB,20,11,1,20.0,181.82,MI
KH Pandya,KKR,20,19,2,10.0,105.26,SRH
KD Karthik,RCB,20,25,2,10.0,80.0,RCB
Bhanu Pania,DC,20,12,1,20.0,166.67,KKR
Sameer Rizvi,DC,20,6,0,,333.33,LSG
KA Pollard,SRH,20,9,1,20.0,222.22,CSK
Rashid Khan,LSG,20,14,1,20.0,142.86,GT
Bilal Zalmai,PBKS,20,11,0,,181.82,MI
RA Bawa,RCB,20,4,0,,500.0,SRH
C Sakariya,SRH,20,15,1,20.0,133.33,SRH
CH Morris,RR,20,8,1,20.0,250.0,DC
Z Khan,KKR,20,14,1,20.0,142.86,KKR
TM Head,LSG,20,14,1,20.0,142.86,MI
MP Stoinis,RR,20,11,1,20.0,181.82,
Umran Malik,MI,20,9,1,20.0,222.22,
MK Lomror,KKR,20,16,1,20.0,125.0,SRH
T Natarajan,PBKS,20,11,1,20.0,181.82,CSK
YBK Jaiswal,DC,20,16,2,10.0,125.0,RR
AD Russell,LSG,20,6,1,20.0,333.33,DC
V Nigam,SRH,20,15,1,20.0,133.33,MI
MADI Hemantha,PBKS,20,11,1,20.0,181.82,
MJ Santner,LSG,20,24,0,,83.33,KKR
Avesh Khan,RCB,19,22,4,4.75,86.36,GT
Rasikh Salam,GT,19,7,2,9.5,271.43,GT
JC Archer,CSK,19,17,1,19.0,111.76,LSG
Atharva Taide,DC,19,17,1,19.0,111.76,MI
R Tewatia,CSK,19,16,2,9.5,118.75,KKR
PJ Cummins,LSG,19,12,0,,158.33,RR
R Shepherd,GT,19,15,4,4.75,126.67,GT
PJ Cummins,DC,19,21,1,19.0,90.48,RR
AJ Turner,SRH,19,18,1,19.0,105.56,
Abdul Samad,PBKS,19,18,2,9.5,105.56,LSG
RR Pant,GT,19,7,0,,271.43,GT
RG Sharma,DC,19,13,1,19.0,146.15,KKR
MA Agarwal,GT,19,6,1,19.0,316.67,RR
V Nigam,CSK,19,11,1,19.0,172.73,MI
RG Sharma,MI,19,18,3,6.33,105.56,KKR
MK Pandey,SRH,19,13,1,19.0,146.15,
JE Root,GT,19,14,1,19.0,135.71,
Mohammad Nabi,PBKS,19,21,2,9.5,90.48,LSG
PJ Cummins,CSK,18,17,1,18.0,105.88,RR
G Coetzee,RR,18,14,0,,128.57,
DJ Hooda,LSG,18,12,1,18.0,150.0,LSG
TH David,SRH,18,16,2,9.0,112.5,
JO Holder,DC,18,6,0,,300.0,
DJ Bravo,RCB,18,9,1,18.0,200.0,RCB
A Zampa,SRH,18,14,1,18.0,128.57,RR
Abid Mushtaq,DC,18,15,0,,120.0,DC
JM Bairstow,RCB,18,12,1,18.0,150.0,
JM Bairstow,MI,18,13,1,18.0,138.46,
RA Jadeja,CSK,18,7,0,,257.14,RCB
RR Pant,RR,18,15,2,9.0,120.0,GT
SPD Smith,RR,18,13,1,18.0,138.46,CSK
AJ Hosein,PBKS,18,14,1,18.0,128.57,
KK Nair,RCB,18,14,0,,128.57,GT
M Shahrukh Khan,PBKS,18,10,1,18.0,180.0,GT
Washington Sundar,RR,17,10,1,17.0,170.0,PBKS
R Tewatia,MI,17,11,2,8.5,154.55,KKR
R Sai Kishore,SRH,17,7,0,,242.86,MI
Aniket Verma,GT,17,13,0,,130.77,RR
MA Agarwal,PBKS,17,8,2,8.5,212.5,RR
A Mhatre,DC,17,12,2,8.5,141.67,RR
MA Starc,CSK,17,11,2,8.5,154.55,KKR
Mohammed Siraj,RCB,17,11,1,17.0,154.55,LSG
C Green,PBKS,17,7,2,8.5,242.86,KKR
PD Salt,DC,17,10,3,5.67,170.0,RCB
M Siddharth,CSK,17,10,0,,170.0,CSK
RA Tripathi,MI,17,25,3,5.67,68.0,KKR
RA Tripathi,SRH,17,15,1,17.0,113.33,KKR
Sikandar Raza,CSK,17,9,1,17.0,188.89,MI
Fazalhaq Farooqi,RCB,17,18,1,17.0,94.44,CSK
Yuvraj Singh,RCB,17,14,2,8.5,121.43,RCB
Azmatullah Omarzai,SRH,17,10,0,,170.0,
RK Bhui,LSG,16,16,1,16.0,100.0,PBKS
WG Jacks,RCB,16,13,1,16.0,123.08,LSG
JL Smith,GT,16,8,1,16.0,200.0,KKR
KA Pollard,PBKS,16,15,2,8.0,106.67,CSK
LG Pretorius,PBKS,16,15,1,16.0,106.67,RR
Mohammad Ghazanfar,LSG,16,12,0,,133.33,SRH
HR Shokeen,RCB,16,10,1,16.0,160.0,RR
Arslan Khan,LSG,16,11,1,16.0,145.45,
Karan Lal,DC,16,9,1,16.0,177.78,RR
RA Bawa,CSK,16,10,0,,160.0,SRH
KK Ahmed,GT,16,13,2,8.0,123.08,MI
KK Nair,CSK,16,17,1,16.0,94.12,GT
BM Duckett,RCB,16,12,1,16.0,133.33,PBKS
Ramandeep Singh,PBKS,15,11,1,15.0,136.36,LSG
Harpreet Brar,PBKS,15,17,3,5.0,88.24,PBKS
KK Nair,MI,15,10,1,15.0,150.0,GT
RS Hangargekar,CSK,15,4,0,,375.0,MI
MK Pandey,CSK,15,14,2,7.5,107.14,
AM Rahane,PBKS,15,13,2,7.5,115.38,MI
MA Agarwal,SRH,15,17,1,15.0,88.24,RR
M Jansen,CSK,15,18,0,,83.33,
M Theekshana,SRH,15,11,1,15.0,136.36,
R Ashwin,SRH,15,5,1,15.0,300.0,
SM Curran,RR,15,18,0,,83.33,
VG Arora,KKR,15,14,2,7.5,107.14,KKR
JJ Bumrah,DC,15,8,1,15.0,187.5,MI
C Green,DC,15,8,1,15.0,187.5,KKR
Rashid Khan,MI,15,9,1,15.0,166.67,GT
VR Iyer,RCB,15,17,2,7.5,88.24,SRH
R Tewatia,LSG,15,11,1,15.0,136.36,KKR
Jay Gohil,RR,15,11,2,7.5,136.36,LSG
Mohammed Shami,MI,15,16,1,15.0,93.75,GT
LG Pretorius,RR,15,15,2,7.5,100.0,RR
Mohammad Ghazanfar,CSK,15,11,1,15.0,136.36,SRH
MW Short,RCB,15,15,1,15.0,100.0,DC
MA Wood,SRH,15,9,1,15.0,166.67,PBKS
Aniket Verma,PBKS,15,14,1,15.0,107.14,RR
MJ Owen,RR,15,11,1,15.0,136.36,DC
BM Duckett,RR,15,10,1,15.0,150.0,PBKS
Arshad Khan,MI,15,7,0,,214.29,RR
Shahbaz Ahmed,KKR,14,8,0,,175.0,GT
MG Bracewell,SRH,14,10,1,14.0,140.0,
HV Patel,DC,14,14,2,7.0,100.0,RR
RD Chahar,KKR,14,20,1,14.0,70.0,
Smaran Ravichandran,GT,14,16,2,7.0,87.5,PBKS
Sumit Kumar,DC,14,14,1,14.0,100.0,
R Powell,RCB,14,9,1,14.0,155.56,KKR
J Overton,LSG,14,9,1,14.0,155.56,
Rashid Khan,PBKS,14,14,2,7.0,100.0,GT
AB de Villiers,CSK,14,11,1,14.0,127.27,RR
