striker,innings,pitch,runs,balls,outs,avg,SR,Curr_Tm
Bilal Zalmai,1,spin,77,43,2,38.5,179.07,
F du Plessis,1,spin,77,63,4,19.25,122.22,
RA Jadeja,2,pace,77,53,5,15.4,145.28,RCB
AM Rahane,1,neutralish,76,49,0,,155.1,MI
JC Buttler,1,neutralish,76,43,3,25.33,176.74,LSG
D Padikkal,2,spin,76,61,2,38.0,124.59,KKR
Kartik Sharma,2,pace,75,56,6,12.5,133.93,SRH
RG Sharma,2,neutralish,75,38,2,37.5,197.37,KKR
KA Pollard,1,spin,75,47,4,18.75,159.57,CSK
GD Phillips,1,spin,74,53,4,18.5,139.62,GT
Waseem Muhammad,2,pace,73,47,3,24.33,155.32,
KH Pandya,1,spin,72,63,6,12.0,114.29,SRH
HH Pandya,1,neutralish,72,38,3,24.0,189.47,MI
RA Bawa,2,pace,72,38,4,18.0,189.47,SRH
PP Shaw,2,neutralish,72,40,3,24.0,180.0,RCB
TM Head,2,neutralish,72,43,3,24.0,167.44,GT
DJ Hooda,1,neutralish,71,48,2,35.5,147.92,DC
D Brevis,2,spin,71,66,4,17.75,107.58,RR
GD Phillips,2,spin,70,52,7,10.0,134.62,GT
Shashank Singh,1,neutralish,69,40,3,23.0,172.5,PBKS
Arshad Khan,1,pace,69,38,1,69.0,181.58,RR
JM Bairstow,1,pace,69,52,4,17.25,132.69,
PD Salt,1,neutralish,68,39,1,68.0,174.36,RCB
M Jansen,2,pace,68,46,3,22.67,147.83,SRH
PWH de Silva,1,spin,67,38,2,33.5,176.32,RCB
DA Warner,2,pace,67,52,3,22.33,128.85,
Nithish Kumar Reddy,2,neutralish,67,44,3,22.33,152.27,SRH
YK Pathan,1,pace,66,63,3,22.0,104.76,KKR
Gaurav Puri,2,spin,66,48,6,11.0,137.5,CSK
MS Pepper,1,neutralish,66,40,1,66.0,165.0,RR
Suryansh Shedge,2,pace,66,40,9,7.33,165.0,CSK
D Brevis,2,neutralish,66,56,2,33.0,117.86,RR
J Fraser-McGurk,1,neutralish,65,48,2,32.5,135.42,KKR
Mohammad Nabi,1,spin,65,64,8,8.12,101.56,LSG
AHT Donald,2,neutralish,65,33,2,32.5,196.97,RCB
Shakib Al Hasan,1,spin,64,66,3,21.33,96.97,
Gaurav Puri,2,neutralish,64,36,3,21.33,177.78,CSK
V Nigam,1,spin,64,31,1,64.0,206.45,MI
T Stubbs,2,neutralish,64,41,1,64.0,156.1,CSK
AM Rahane,2,neutralish,64,46,3,21.33,139.13,MI
RA Jadeja,1,neutralish,64,35,2,32.0,182.86,RCB
JC Buttler,2,neutralish,64,43,3,21.33,148.84,LSG
G Coetzee,1,pace,64,52,1,64.0,123.08,
DP Conway,2,neutralish,64,36,3,21.33,177.78,PBKS
Shashwat Rawat,1,spin,63,46,2,31.5,136.96,PBKS
CH Morris,1,pace,63,46,2,31.5,136.96,DC
MK Lomror,1,neutralish,63,45,1,63.0,140.0,SRH
SP Narine,1,neutralish,63,38,1,63.0,165.79,KKR
JG Bethell,2,spin,63,47,3,21.0,134.04,LSG
Shahbaz Ahmed,2,spin,62,42,6,10.33,147.62,GT
Smaran Ravichandran,1,neutralish,62,38,3,20.67,163.16,PBKS
JM Vince,2,neutralish,61,37,1,61.0,164.86,
TH David,2,spin,60,48,4,15.0,125.0,PBKS
AR Patel,1,neutralish,60,38,2,30.0,157.89,CSK
Rashid Khan,1,pace,60,48,5,12.0,125.0,RR
RK Singh,1,spin,59,40,2,29.5,147.5,MI
Ashutosh Sharma,1,neutralish,59,43,2,29.5,137.21,RCB
Babar Azam,2,pace,59,55,5,11.8,107.27,KKR
TA Boult,1,pace,59,51,4,14.75,115.69,MI
Ishaan Gadekar,1,spin,59,31,3,19.67,190.32,RCB
B Sai Sudharsan,1,neutralish,59,42,3,19.67,140.48,CSK
A Raghuvanshi,1,pace,58,37,5,11.6,156.76,
LG Pretorius,2,spin,58,54,3,19.33,107.41,
MA Agarwal,1,pace,58,32,3,19.33,181.25,RR
YK Pathan,2,spin,58,35,0,,165.71,KKR
J Fraser-McGurk,2,pace,57,36,2,28.5,158.33,KKR
AB de Villiers,1,pace,57,33,5,11.4,172.73,RR
MK Lomror,2,pace,57,35,3,19.0,162.86,SRH
LUVNITH SISODIA,1,spin,57,40,3,19.0,142.5,LSG
JDS Neesham,2,pace,57,45,3,19.0,126.67,DC
Ashutosh Sharma,2,neutralish,57,32,1,57.0,178.12,RCB
RR Pant,2,spin,57,39,6,9.5,146.15,GT
R Ashwin,2,spin,57,30,2,28.5,190.0,KKR
HV Patel,1,spin,57,45,3,19.0,126.67,RR
M Jansen,1,pace,57,49,5,11.4,116.33,SRH
Arshad Khan,2,spin,57,44,4,14.25,129.55,RR
Sikandar Raza,1,pace,56,41,1,56.0,136.59,MI
Anmolpreet Singh,2,pace,56,25,2,28.0,224.0,CSK
N Rana,2,neutralish,56,36,2,28.0,155.56,PBKS
Ramandeep Singh,2,spin,56,41,3,18.67,136.59,LSG
AR Patel,2,neutralish,56,43,4,14.0,130.23,CSK
RR Pant,1,neutralish,56,36,1,56.0,155.56,GT
Ramandeep Singh,1,spin,56,40,4,14.0,140.0,LSG
Shahbaz Ahmed,1,spin,56,50,3,18.67,112.0,GT
AB de Villiers,2,pace,56,29,5,11.2,193.1,RR
Bhanu Pania,1,spin,55,42,0,,130.95,
LG Pretorius,2,pace,55,39,2,27.5,141.03,
MK Pandey,2,neutralish,54,38,1,54.0,142.11,
R Shepherd,1,neutralish,54,25,2,27.0,216.0,GT
Jagjit Singh,1,pace,54,38,1,54.0,142.11,SRH
JG Bethell,1,neutralish,53,35,1,53.0,151.43,LSG
Bilal Zalmai,2,pace,53,36,1,53.0,147.22,
J Fraser-McGurk,1,spin,53,33,2,26.5,160.61,KKR
RG Sharma,1,neutralish,53,43,1,53.0,123.26,KKR
RA Jadeja,1,pace,52,30,2,26.0,173.33,RCB
DS Airee,1,spin,52,35,3,17.33,148.57,RCB
Hemang Patel,1,pace,52,41,2,26.0,126.83,GT
BM Duckett,2,neutralish,52,43,3,17.33,120.93,
R Tewatia,1,spin,51,34,5,10.2,150.0,KKR
CH Morris,2,pace,51,21,3,17.0,242.86,DC
SM Curran,2,pace,51,53,4,12.75,96.23,
D Wiese,2,pace,51,26,2,25.5,196.15,GT
A Mhatre,1,spin,50,37,3,16.67,135.14,KKR
Bhanu Pania,1,pace,50,41,1,50.0,121.95,
Rashid Khan,1,neutralish,49,29,1,49.0,168.97,RR
WL Madsen,1,neutralish,49,34,0,,144.12,MI
SR Hain,1,pace,49,35,2,24.5,140.0,MI
KK Nair,2,pace,49,41,2,24.5,119.51,
YS Chahal,2,spin,48,38,7,6.86,126.32,RCB
Suryansh Shedge,1,pace,48,44,7,6.86,109.09,CSK
SB Dubey,1,pace,47,36,3,15.67,130.56,PBKS
BA Stokes,2,spin,47,34,4,11.75,138.24,
RS Hangargekar,2,pace,47,21,3,15.67,223.81,MI
Azmatullah Omarzai,1,pace,47,35,2,23.5,134.29,LSG
D Wiese,1,neutralish,47,31,2,23.5,151.61,GT
MS Dhoni,1,pace,47,42,3,15.67,111.9,CSK
R Powell,1,spin,46,40,2,23.0,115.0,
GD Phillips,2,neutralish,46,15,0,,306.67,GT
PP Shaw,1,neutralish,46,36,3,15.33,127.78,RCB
SPD Smith,1,pace,46,40,1,46.0,115.0,CSK
RK Bhui,1,pace,45,49,4,11.25,91.84,KKR
M Markande,2,spin,45,57,2,22.5,78.95,SRH
Arshad Khan,1,spin,45,41,2,22.5,109.76,RR
JL Smith,2,spin,45,28,1,45.0,160.71,
A Badoni,2,pace,45,37,4,11.25,121.62,
D Brevis,1,neutralish,45,22,1,45.0,204.55,RR
N Wadhera,1,neutralish,45,19,1,45.0,236.84,KKR
Mohammad Nabi,2,spin,44,27,3,14.67,162.96,LSG
DJ Bravo,1,pace,44,34,2,22.0,129.41,RCB
JL Smith,1,spin,44,35,3,14.67,125.71,
RA Jadeja,2,neutralish,44,22,2,22.0,200.0,RCB
KH Pandya,2,pace,44,30,2,22.0,146.67,SRH
AA Kulkarni,1,neutralish,44,31,3,14.67,141.94,GT
AJ Turner,1,spin,44,32,1,44.0,137.5,
MS Pepper,1,pace,44,22,0,,200.0,RR
Shakib Al Hasan,2,spin,44,42,7,6.29,104.76,
LS Livingstone,2,pace,43,46,4,10.75,93.48,KKR
AHT Donald,1,spin,43,28,1,43.0,153.57,RCB
C Green,2,neutralish,43,27,1,43.0,159.26,KKR
Atharva Taide,1,spin,43,36,3,14.33,119.44,MI
PWH de Silva,1,pace,43,31,0,,138.71,RCB
KK Nair,1,pace,43,22,1,43.0,195.45,
Mohammad Nabi,2,pace,42,28,2,21.0,150.0,LSG
SO Hetmyer,2,pace,42,39,4,10.5,107.69,
TP Ura,2,spin,42,25,3,14.0,168.0,PBKS
Shadab Khan,1,pace,42,27,0,,155.56,SRH
Rashid Khan,1,spin,42,42,2,21.0,100.0,RR
MK Pandey,1,spin,41,27,2,20.5,151.85,
Karan Shinde,2,neutralish,41,24,1,41.0,170.83,RCB
Salman Nizar,1,spin,41,28,1,41.0,146.43,
HS Desai,1,pace,40,16,1,40.0,250.0,PBKS
Harpreet Brar,1,pace,40,32,2,20.0,125.0,RR
DA Miller,1,pace,40,36,2,20.0,111.11,
Akash Vasisht,1,neutralish,40,29,1,40.0,137.93,DC
PJ Cummins,2,pace,40,38,6,6.67,105.26,
RA Bawa,2,spin,39,17,2,19.5,229.41,SRH
JC Archer,2,pace,39,47,3,13.0,82.98,LSG
Sanvir Singh,2,pace,39,26,3,13.0,150.0,LSG
HV Patel,2,pace,38,47,7,5.43,80.85,RR
YK Pathan,1,spin,38,19,2,19.0,200.0,KKR
F du Plessis,1,neutralish,38,32,4,9.5,118.75,
Salman Nizar,2,spin,38,27,1,38.0,140.74,
Tanush Kotian,2,neutralish,38,20,1,38.0,190.0,CSK
KD Karthik,1,neutralish,38,13,0,,292.31,RR
Shashwat Rawat,1,pace,38,26,1,38.0,146.15,PBKS
V Suryavanshi,1,neutralish,38,33,1,38.0,115.15,PBKS
JN Loftie-Eaton,2,spin,37,26,1,37.0,142.31,RR
JM Sharma,1,neutralish,37,22,2,18.5,168.18,RCB
JN Loftie-Eaton,1,spin,37,25,0,,148.0,RR
MA Starc,2,pace,37,52,5,7.4,71.15,KKR
Abishek Porel,2,neutralish,37,22,4,9.25,168.18,DC
HH Pandya,2,neutralish,37,22,3,12.33,168.18,MI
Avesh Khan,2,pace,36,40,6,6.0,90.0,GT
Jay Gohil,2,spin,36,26,2,18.0,138.46,LSG
R Ashwin,2,pace,36,28,3,12.0,128.57,KKR
DA Warner,1,pace,36,33,1,36.0,109.09,
TH David,1,spin,35,24,3,11.67,145.83,PBKS
R Shepherd,1,pace,35,24,6,5.83,145.83,GT
RD Chahar,2,spin,35,25,1,35.0,140.0,CSK
A Badoni,1,neutralish,35,21,2,17.5,166.67,
Harshit Rana,1,pace,35,36,3,11.67,97.22,KKR
Faisal Khan,1,spin,35,20,1,35.0,175.0,
Kuldeep Yadav,2,spin,35,49,6,5.83,71.43,SRH
JC Archer,1,pace,35,45,8,4.38,77.78,LSG
HV Patel,1,pace,35,30,3,11.67,116.67,RR
M Theekshana,2,spin,34,38,2,17.0,89.47,
R Powell,2,spin,34,26,2,17.0,130.77,
Atharva Taide,1,pace,34,17,1,34.0,200.0,MI
RA Bawa,1,neutralish,34,19,1,34.0,178.95,SRH
R Shepherd,2,pace,34,24,6,5.67,141.67,GT
Tanush Kotian,2,pace,34,17,3,11.33,200.0,CSK
GD Phillips,1,neutralish,34,11,2,17.0,309.09,GT
AK Markram,1,neutralish,34,18,1,34.0,188.89,DC
Mohammad Ghazanfar,1,spin,34,25,3,11.33,136.0,SRH
Sikandar Raza,2,pace,34,21,1,34.0,161.9,MI
Mohammed Shami,1,pace,33,29,2,16.5,113.79,GT
D Brevis,1,pace,33,16,0,,206.25,RR
D Potgieter,2,pace,33,20,1,33.0,165.0,
Rahul Singh,1,spin,33,26,2,16.5,126.92,RCB
MA Agarwal,2,spin,33,26,3,11.0,126.92,RR
Harpreet Brar,1,spin,33,25,2,16.5,132.0,RR
MG Bracewell,1,neutralish,33,13,2,16.5,253.85,
Suryansh Shedge,2,neutralish,33,14,4,8.25,235.71,CSK
MJ Owen,1,neutralish,33,20,2,16.5,165.0,DC
RK Bhui,2,spin,33,22,2,16.5,150.0,KKR
R Sai Kishore,2,pace,33,22,1,33.0,150.0,MI
KH Pandya,2,neutralish,33,19,1,33.0,173.68,SRH
PN Mankad,2,pace,33,31,2,16.5,106.45,
Kartik Sharma,2,neutralish,33,19,0,,173.68,SRH
AK Markram,2,neutralish,33,14,0,,235.71,DC
M Shahrukh Khan,1,pace,33,27,2,16.5,122.22,
MM Ali,1,spin,33,23,4,8.25,143.48,
J Suchith,2,spin,32,30,2,16.0,106.67,
M Siddharth,2,spin,32,17,5,6.4,188.24,CSK
Ravi Bishnoi,2,spin,32,32,4,8.0,100.0,LSG
WL Madsen,2,pace,32,21,0,,152.38,MI
DA Miller,1,neutralish,32,19,1,32.0,168.42,
Urvil Patel,2,neutralish,32,21,3,10.67,152.38,MI
BA Stokes,1,spin,32,24,3,10.67,133.33,
Tarang Gohel,1,spin,31,19,1,31.0,163.16,DC
SPD Smith,2,spin,31,30,3,10.33,103.33,CSK
Yuvraj Singh,2,pace,31,22,2,15.5,140.91,CSK
Urvil Patel,2,pace,31,22,3,10.33,140.91,MI
TU Deshpande,2,pace,31,30,3,10.33,103.33,MI
VG Arora,2,pace,31,17,2,15.5,182.35,KKR
MR Marsh,1,pace,31,36,3,10.33,86.11,SRH
Azmatullah Omarzai,1,neutralish,30,20,0,,150.0,LSG
M Shahrukh Khan,2,spin,30,29,3,10.0,103.45,
Shashwat Rawat,1,neutralish,30,15,1,30.0,200.0,PBKS
Hemang Patel,1,neutralish,30,28,3,10.0,107.14,GT
Bilal Zalmai,2,neutralish,30,13,1,30.0,230.77,
KK Ahmed,1,pace,29,19,2,14.5,152.63,RR
DL Chahar,2,pace,29,18,1,29.0,161.11,
Arshad Khan,2,neutralish,29,15,1,29.0,193.33,RR
Jay Gohil,2,neutralish,29,10,1,29.0,290.0,LSG
MS Dhoni,2,spin,29,39,5,5.8,74.36,CSK
Akash Vasisht,1,spin,28,18,2,14.0,155.56,DC
SH Johnson,2,pace,28,24,3,9.33,116.67,GT
LS Livingstone,1,neutralish,28,24,2,14.0,116.67,KKR
T Natarajan,2,spin,28,17,1,28.0,164.71,CSK
Sumit Kumar,1,pace,28,25,1,28.0,112.0,DC
SB Dubey,1,neutralish,28,18,1,28.0,155.56,PBKS
MK Pandey,2,spin,28,17,0,,164.71,
DS Airee,2,pace,27,18,1,27.0,150.0,RCB
SL Malinga,2,pace,27,13,0,,207.69,PBKS
Salman Nizar,1,pace,27,36,2,13.5,75.0,
V Puthur,2,spin,27,23,3,9.0,117.39,DC
Shahbaz Ahmed,2,pace,27,21,1,27.0,128.57,GT
MW Short,1,spin,27,27,2,13.5,100.0,MI
A Manohar,2,spin,27,20,1,27.0,135.0,
Akshay Karnewar,1,spin,27,21,0,,128.57,PBKS
AHT Donald,2,spin,27,13,1,27.0,207.69,RCB
JG Bethell,2,pace,27,16,1,27.0,168.75,LSG
Smaran Ravichandran,2,neutralish,27,26,1,27.0,103.85,PBKS
AS Roy,2,pace,27,14,1,27.0,192.86,
GF Linde,1,pace,26,20,1,26.0,130.0,GT
MADI Hemantha,2,spin,26,12,1,26.0,216.67,
MJ Santner,1,spin,26,32,2,13.0,81.25,KKR
Dhruv Jurel,2,neutralish,26,22,1,26.0,118.18,RCB
B Kumar,1,pace,26,40,1,26.0,65.0,KKR
GF Linde,2,spin,26,28,3,8.67,92.86,GT
JO Holder,1,pace,26,11,1,26.0,236.36,
B Kumar,2,pace,25,36,8,3.12,69.44,KKR
Fazalhaq Farooqi,2,pace,25,36,4,6.25,69.44,CSK
AJ Turner,2,spin,25,23,1,25.0,108.7,
R Tewatia,1,pace,25,20,3,8.33,125.0,KKR
MA Agarwal,1,spin,25,15,3,8.33,166.67,RR
Noor Ahmad,2,spin,24,18,1,24.0,133.33,MI
AR Ramjani,2,spin,24,37,1,24.0,64.86,PBKS
SE Rutherford,2,neutralish,24,16,1,24.0,150.0,
Rasikh Salam,2,pace,24,20,2,12.0,120.0,GT
D Ferreira,1,pace,24,21,3,8.0,114.29,DC
M Theekshana,1,pace,24,11,0,,218.18,
Babar Azam,2,spin,24,18,1,24.0,133.33,KKR
MG Bracewell,2,neutralish,24,14,2,12.0,171.43,
Khrievitso Kense,2,spin,24,22,4,6.0,109.09,RCB
MS Dhoni,2,neutralish,24,14,1,24.0,171.43,CSK
MK Lomror,2,spin,24,17,3,8.0,141.18,SRH
D Wiese,2,spin,24,17,1,24.0,141.18,GT
Q de Kock,1,neutralish,24,13,1,24.0,184.62,
MP Stoinis,2,neutralish,23,16,2,11.5,143.75,KKR
Ashutosh Aman,2,spin,23,12,2,11.5,191.67,
Shaheen Shah Afridi,2,pace,23,36,3,7.67,63.89,MI
CH Morris,2,spin,23,20,2,11.5,115.0,DC
RA Tripathi,1,neutralish,23,17,1,23.0,135.29,KKR
MS Dhoni,1,spin,23,18,1,23.0,127.78,CSK
YS Chahal,1,spin,23,18,2,11.5,127.78,RCB
Mohammed Siraj,1,spin,23,9,1,23.0,255.56,
Yuvraj Chaudhary,2,spin,23,14,3,7.67,164.29,GT
R Sai Kishore,1,spin,23,10,2,11.5,230.0,MI
KD Karthik,2,neutralish,23,9,0,,255.56,RR
YK Pathan,2,pace,23,26,3,7.67,88.46,KKR
D Padikkal,1,neutralish,23,15,1,23.0,153.33,KKR
TA Boult,2,spin,22,10,0,,220.0,MI
Arslan Khan,1,neutralish,22,12,1,22.0,183.33,RR
Karan Lal,2,neutralish,22,13,2,11.0,169.23,RR
DR Sams,2,pace,22,21,2,11.0,104.76,GT
Arshdeep Singh,1,spin,22,17,0,,129.41,LSG
KH Pandya,2,spin,22,27,5,4.4,81.48,SRH
DA Warner,2,spin,22,17,2,11.0,129.41,
Yudhvir Singh,1,pace,22,16,1,22.0,137.5,RCB
Jagjit Singh,2,pace,22,14,1,22.0,157.14,SRH
Shakib Al Hasan,2,neutralish,21,10,0,,210.0,
Swapnil Singh,1,pace,21,12,1,21.0,175.0,CSK
Karan Lal,1,spin,21,16,2,10.5,131.25,RR
RA Bawa,2,neutralish,21,13,2,10.5,161.54,SRH
Shaheen Shah Afridi,1,pace,21,29,2,10.5,72.41,MI
JJ Bumrah,2,spin,21,11,1,21.0,190.91,DC
K Gowtham,2,pace,21,15,1,21.0,140.0,
Bhanu Pania,2,spin,21,17,2,10.5,123.53,
Naseem Shah,2,neutralish,21,10,0,,210.0,LSG
Yash Thakur,1,pace,21,23,1,21.0,91.3,PBKS
A Zampa,2,spin,21,22,2,10.5,95.45,RR
MM Ali,2,spin,21,31,3,7.0,67.74,
GF Linde,1,spin,21,14,2,10.5,150.0,GT
VG Arora,1,pace,21,31,4,5.25,67.74,KKR
RR Rossouw,2,neutralish,21,18,2,10.5,116.67,SRH
Samarth Vyas,1,spin,21,16,1,21.0,131.25,KKR
Khushdil Shah,2,spin,21,26,3,7.0,80.77,DC
Mustafizur Rahman,2,spin,21,26,1,21.0,80.77,
Kuldeep Yadav,1,spin,20,41,5,4.0,48.78,SRH
A Badoni,2,spin,20,26,2,10.0,76.92,
HV Patel,2,spin,20,16,3,6.67,125.0,RR
R Ashwin,1,spin,20,18,2,10.0,111.11,KKR
RS Hangargekar,1,pace,20,11,1,20.0,181.82,MI
Umran Malik,1,pace,20,9,1,20.0,222.22,
KD Karthik,1,spin,20,23,1,20.0,86.96,RR
Hassan Nawaz,2,pace,20,8,1,20.0,250.0,RCB
Yudhvir Singh,2,pace,20,17,1,20.0,117.65,RCB
DS Rathi,2,spin,20,11,2,10.0,181.82,KKR
Arshad Khan,1,neutralish,20,11,0,,181.82,RR
M Siddharth,1,spin,19,15,2,9.5,126.67,CSK
M Prasidh Krishna,2,spin,19,15,1,19.0,126.67,MI
M Prasidh Krishna,2,pace,19,18,2,9.5,105.56,MI
TA Boult,2,neutralish,19,5,0,,380.0,MI
AJ Tye,1,pace,19,18,1,19.0,105.56,
V Nigam,2,neutralish,19,11,1,19.0,172.73,MI
PJ Cummins,2,spin,19,20,1,19.0,95.0,
Sameer Rizvi,1,neutralish,19,10,2,9.5,190.0,LSG
Tanush Kotian,1,pace,19,6,1,19.0,316.67,CSK
RD Chahar,2,pace,19,24,1,19.0,79.17,CSK
SH Johnson,1,spin,19,11,1,19.0,172.73,GT
Swapnil Singh,2,spin,19,20,5,3.8,95.0,CSK
JE Root,1,pace,19,14,1,19.0,135.71,
Karan Shinde,2,pace,19,9,0,,211.11,RCB
Sandeep Sharma,1,pace,19,15,1,19.0,126.67,LSG
SZ Mulani,1,spin,18,24,2,9.0,75.0,LSG
R Sai Kishore,1,neutralish,18,15,2,9.0,120.0,MI
CV Varun,1,spin,18,21,1,18.0,85.71,PBKS
D Brevis,2,pace,18,13,1,18.0,138.46,RR
DJ Bravo,2,pace,18,11,2,9.0,163.64,RCB
D Ferreira,2,spin,18,12,2,9.0,150.0,DC
Mohammed Siraj,1,pace,18,13,2,9.0,138.46,
Arshdeep Singh,2,spin,18,17,2,9.0,105.88,LSG
Khrievitso Kense,1,spin,18,13,0,,138.46,RCB
Arshdeep Singh,2,pace,18,18,2,9.0,100.0,LSG
Anmolpreet Singh,1,neutralish,18,11,2,9.0,163.64,CSK
LH Ferguson,2,pace,18,29,2,9.0,62.07,
Abid Mushtaq,2,spin,18,15,0,,120.0,
M Prasidh Krishna,1,pace,18,12,1,18.0,150.0,MI
AJ Hosein,1,spin,18,14,1,18.0,128.57,
JR Hazlewood,1,pace,18,15,1,18.0,120.0,RR
SM Curran,1,neutralish,17,8,1,17.0,212.5,
JDS Neesham,1,neutralish,17,13,1,17.0,130.77,DC
DR Sams,1,neutralish,17,15,1,17.0,113.33,GT
Ravi Bishnoi,1,spin,17,38,5,3.4,44.74,LSG
Mohammed Shami,2,pace,17,13,3,5.67,130.77,GT
Sikandar Raza,2,neutralish,17,9,1,17.0,188.89,MI
T Banton,1,spin,17,10,2,8.5,170.0,MI
CV Varun,2,spin,17,38,6,2.83,44.74,PBKS
Azmatullah Omarzai,2,neutralish,17,10,0,,170.0,LSG
Karan Shinde,1,pace,17,7,1,17.0,242.86,RCB
Karan Lal,2,spin,17,13,2,8.5,130.77,RR
Mukesh Kumar,2,pace,17,6,1,17.0,283.33,
PJ Cummins,1,spin,17,15,1,17.0,113.33,
Arslan Khan,2,spin,16,11,1,16.0,145.45,RR
T Banton,2,spin,16,10,1,16.0,160.0,MI
Avesh Khan,1,pace,16,22,2,8.0,72.73,GT
T Natarajan,2,neutralish,16,7,1,16.0,228.57,CSK
TA Boult,1,neutralish,16,8,0,,200.0,MI
Washington Sundar,2,neutralish,16,9,1,16.0,177.78,PBKS
Q de Kock,2,neutralish,16,11,1,16.0,145.45,
HR Shokeen,1,pace,16,10,1,16.0,160.0,RR
TH David,2,neutralish,16,11,0,,145.45,PBKS
Swapnil Singh,1,spin,16,11,2,8.0,145.45,CSK
LG Pretorius,1,spin,16,13,2,8.0,123.08,
Jaskaran Singh,1,pace,16,9,0,,177.78,KKR
MP Yadav,1,pace,16,17,1,16.0,94.12,PBKS
A Raghuvanshi,2,pace,15,18,2,7.5,83.33,
PHKD Mendis,2,neutralish,15,5,1,15.0,300.0,SRH
Ashutosh Sharma,2,spin,15,16,4,3.75,93.75,RCB
Mohammad Ghazanfar,2,pace,15,11,1,15.0,136.36,SRH
KK Nair,1,neutralish,15,17,1,15.0,88.24,
Utkarsh Singh,2,spin,15,28,3,5.0,53.57,PBKS
R Tewatia,1,neutralish,15,13,2,7.5,115.38,KKR
D Ferreira,1,neutralish,15,12,1,15.0,125.0,DC
Harsh Dubey,1,spin,15,9,1,15.0,166.67,RCB
DAJ Bracewell,2,neutralish,15,7,1,15.0,214.29,RCB
MA Wood,1,pace,15,9,1,15.0,166.67,
Jay Gohil,1,spin,15,11,2,7.5,136.36,LSG
Yudhvir Singh,2,neutralish,15,4,0,,375.0,RCB
DA Warner,1,neutralish,14,6,1,14.0,233.33,
R Ashwin,2,neutralish,14,13,1,14.0,107.69,KKR
C Green,1,neutralish,14,10,2,7.0,140.0,KKR
MG Bracewell,1,pace,14,9,1,14.0,155.56,
Jay Gohil,1,neutralish,14,9,1,14.0,155.56,LSG
Sumit Kumar,2,pace,14,14,1,14.0,100.0,DC
J Overton,2,pace,14,9,1,14.0,155.56,
S Lamichhane,2,spin,14,8,2,7.0,175.0,DC
SM Curran,2,neutralish,14,17,1,14.0,82.35,
KA Maharaj,1,spin,14,7,0,,200.0,SRH
MG Bracewell,2,spin,14,17,1,14.0,82.35,
SL Malinga,1,pace,14,11,0,,127.27,PBKS
Gurjapneet Singh,2,pace,13,6,0,,216.67,
AR Ramjani,1,pace,13,14,1,13.0,92.86,PBKS
H Klaasen,1,neutralish,13,16,1,13.0,81.25,CSK
SZ Mulani,2,spin,13,17,3,4.33,76.47,LSG
AV Wankhade,1,spin,13,16,2,6.5,81.25,CSK
Rashid Khan,2,neutralish,13,8,1,13.0,162.5,RR
DS Rathi,1,spin,13,11,1,13.0,118.18,KKR
Suryansh Shedge,1,spin,13,11,1,13.0,118.18,CSK
MA Agarwal,2,neutralish,13,5,1,13.0,260.0,RR
B Kumar,1,spin,13,15,0,,86.67,KKR
Sikandar Raza,1,neutralish,13,7,1,13.0,185.71,MI
Bhanu Pania,2,pace,13,16,1,13.0,81.25,
MG Bracewell,1,spin,13,9,1,13.0,144.44,
Z Khan,2,pace,13,12,1,13.0,108.33,
JR Hazlewood,1,spin,13,10,0,,130.0,RR
MA Starc,2,spin,13,17,2,6.5,76.47,KKR
D Ferreira,2,pace,12,15,1,12.0,80.0,DC
Shakib Al Hasan,1,pace,12,11,0,,109.09,
TU Deshpande,1,pace,12,13,2,6.0,92.31,MI
DJ Hooda,2,neutralish,12,6,1,12.0,200.0,DC
Arshdeep Singh,1,pace,12,26,1,12.0,46.15,LSG
JG Bethell,2,neutralish,12,8,1,12.0,150.0,LSG
SK Rasheed,2,pace,12,7,1,12.0,171.43,
DAJ Bracewell,2,pace,12,13,4,3.0,92.31,RCB
Suyash Sharma,2,spin,12,5,0,,240.0,KKR
K Gowtham,1,spin,12,7,0,,171.43,
NT Ellis,1,pace,12,12,1,12.0,100.0,SRH
R Tewatia,2,pace,12,13,2,6.0,92.31,KKR
T Natarajan,2,pace,12,7,3,4.0,171.43,CSK
Bilal Zalmai,2,spin,12,5,0,,240.0,
Yuvraj Chaudhary,2,pace,12,12,1,12.0,100.0,GT
M Pathirana,1,spin,12,14,1,12.0,85.71,RCB
V Nigam,2,spin,12,7,1,12.0,171.43,MI
Naveen-ul-Haq,2,spin,12,6,0,,200.0,SRH
PHKD Mendis,1,pace,11,8,1,11.0,137.5,SRH
Sanvir Singh,2,neutralish,11,4,1,11.0,275.0,LSG
Sanvir Singh,1,neutralish,11,7,1,11.0,157.14,LSG
Punit Bisht,1,pace,11,4,1,11.0,275.0,
RD Chahar,1,spin,11,7,3,3.67,157.14,CSK
JJ Bumrah,2,pace,11,13,4,2.75,84.62,DC
Rasikh Salam,1,pace,11,5,1,11.0,220.0,GT
AR Ramjani,2,pace,11,4,1,11.0,275.0,PBKS
FH Allen,1,neutralish,11,9,2,5.5,122.22,PBKS
Jagjit Singh,1,spin,11,12,0,,91.67,SRH
Waseem Muhammad,1,neutralish,11,11,1,11.0,100.0,
MK Lomror,2,neutralish,11,11,1,11.0,100.0,SRH
V Suryavanshi,2,neutralish,11,13,1,11.0,84.62,PBKS
MG Bracewell,2,pace,11,12,1,11.0,91.67,
