bowler,pitch,phase,innings,num_inn,wkts,runs_conceded,balls,Eco,SR,Curr_Tm
Nithish Kumar Reddy,pace,Middle,2,2,2,38,30,7.6,15.0,GT
Harsh Tyagi,neutralish,Middle,2,1,2,19,12,9.5,6.0,
Nithish Kumar Reddy,pace,Middle,1,5,2,106,72,8.83,36.0,GT
YK Pathan,pace,Middle,1,6,2,81,60,8.1,30.0,
Akash Vasisht,spin,Middle,2,2,2,50,36,8.33,18.0,DC
GD Phillips,neutralish,PP,2,1,2,10,6,10.0,3.0,RR
GD Phillips,spin,PP,1,2,2,25,12,12.5,6.0,RR
JJ Smit,neutralish,Middle,2,2,2,23,24,5.75,12.0,PBKS
SL Malinga,pace,Middle,2,5,2,41,36,6.83,18.0,
Shivam Shukla,spin,Death,1,3,2,29,24,7.25,12.0,MI
Shivam Shukla,spin,PP,1,3,2,52,36,8.67,18.0,MI
SH Johnson,pace,Middle,1,1,2,23,18,7.67,9.0,RCB
K Kartikeya,spin,PP,1,3,2,31,24,7.75,12.0,KKR
JN Loftie-Eaton,neutralish,Death,1,3,2,28,18,9.33,9.0,RR
D Brevis,spin,Middle,1,3,2,41,30,8.2,15.0,GT
D Brevis,spin,Middle,2,3,2,56,30,11.2,15.0,GT
B Kumar,spin,Death,1,5,2,75,42,10.71,21.0,KKR
D Ferreira,spin,Middle,1,5,2,40,36,6.67,18.0,
Sikandar Raza,spin,Death,2,2,2,22,18,7.33,9.0,
Sikandar Raza,spin,PP,2,3,2,38,30,7.6,15.0,
Azmatullah Omarzai,pace,PP,2,4,2,87,48,10.88,24.0,
Sonu Yadav,pace,Middle,2,2,2,47,30,9.4,15.0,CSK
S Dube,spin,Middle,1,4,2,82,54,9.11,27.0,RR
Sufiyan Muqeem,spin,Middle,2,1,2,38,24,9.5,12.0,GT
Tanush Kotian,pace,Middle,2,2,2,68,36,11.33,18.0,CSK
M Siddharth,spin,Death,2,3,2,60,24,15.0,12.0,CSK
D Wiese,spin,Middle,1,4,2,48,30,9.6,15.0,KKR
Avesh Khan,neutralish,Death,2,2,2,54,24,13.5,12.0,LSG
S Dube,neutralish,Middle,2,4,2,49,36,8.17,18.0,RR
KA Maharaj,neutralish,PP,2,2,2,16,18,5.33,9.0,RCB
JJ Smit,pace,Death,2,4,2,53,30,10.6,15.0,PBKS
MP Yadav,pace,Middle,2,7,2,75,54,8.33,27.0,PBKS
Ravi Teja,spin,Middle,2,1,2,28,18,9.33,9.0,MI
Chirag Jani,spin,Middle,1,2,2,33,24,8.25,12.0,RCB
MJ Owen,pace,Middle,2,5,2,103,54,11.44,27.0,DC
Jagjit Singh,pace,PP,1,3,2,104,48,13.0,24.0,MI
Samant Jakhar,neutralish,Middle,1,1,2,7,6,7.0,3.0,
Shahbaz Ahmed,spin,Death,1,4,2,34,24,8.5,12.0,KKR
JR Hazlewood,pace,Middle,2,4,2,102,66,9.27,33.0,MI
Shahbaz Ahmed,spin,PP,1,2,2,46,24,11.5,12.0,KKR
CH Gayle,neutralish,Death,1,1,2,37,18,12.33,9.0,RCB
Shadab Khan,spin,Middle,2,9,2,100,72,8.33,36.0,SRH
MJ Owen,neutralish,Death,2,4,2,78,30,15.6,15.0,DC
Sanvir Singh,neutralish,Middle,2,1,2,4,6,4.0,3.0,PBKS
JR Hazlewood,neutralish,Middle,2,5,2,136,84,9.71,42.0,MI
Samant Jakhar,pace,Middle,1,2,2,31,18,10.33,9.0,
Shaheen Shah Afridi,neutralish,Death,1,4,2,90,48,11.25,24.0,DC
CV Varun,neutralish,Death,2,2,2,12,12,6.0,6.0,PBKS
JN Loftie-Eaton,spin,PP,2,4,2,71,54,7.89,27.0,RR
Cheepurapalli Stephen,pace,PP,2,1,2,2,6,2.0,3.0,RR
Shaheen Shah Afridi,neutralish,Death,2,3,2,52,30,10.4,15.0,DC
Shaheen Shah Afridi,neutralish,PP,1,4,2,91,48,11.38,24.0,DC
CV Varun,spin,Death,1,2,2,14,12,7.0,6.0,PBKS
CV Varun,spin,Death,2,3,2,26,18,8.67,9.0,PBKS
Shaheen Shah Afridi,neutralish,PP,2,3,2,87,42,12.43,21.0,DC
MG Erasmus,spin,Middle,1,6,2,56,54,6.22,27.0,
Shaheen Shah Afridi,spin,Death,1,2,2,34,18,11.33,9.0,DC
Shaheen Shah Afridi,spin,PP,1,2,2,57,30,11.4,15.0,DC
Shaheen Shah Afridi,spin,PP,2,6,2,153,96,9.56,48.0,DC
BJ McMullen,pace,PP,1,3,2,32,18,10.67,9.0,DC
SP Narine,neutralish,Middle,2,2,2,65,42,9.29,21.0,PBKS
M Pathirana,spin,Middle,1,1,2,16,12,8.0,6.0,RCB
MP Yadav,pace,Middle,1,3,2,22,18,7.33,9.0,PBKS
Ashwin Das,pace,Middle,1,1,2,17,12,8.5,6.0,LSG
RA Jadeja,neutralish,Death,1,1,2,30,12,15.0,6.0,LSG
Ashutosh Sharma,neutralish,PP,1,3,2,84,42,12.0,21.0,GT
RS Hangargekar,pace,Middle,1,3,2,93,48,11.62,24.0,
DS Rathi,spin,Death,2,2,2,53,30,10.6,15.0,KKR
RR Patel,spin,PP,1,5,2,64,30,12.8,15.0,
Arshdeep Singh,spin,PP,2,4,2,79,48,9.88,24.0,LSG
Arshdeep Singh,spin,PP,1,6,2,117,72,9.75,36.0,LSG
JJ Bumrah,neutralish,Middle,1,2,2,16,12,8.0,6.0,DC
Arshdeep Singh,neutralish,PP,1,3,2,52,30,10.4,15.0,LSG
RA Jadeja,pace,Middle,1,4,2,52,36,8.67,18.0,LSG
RA Jadeja,neutralish,Middle,1,3,2,54,36,9.0,18.0,LSG
JG Bethell,spin,PP,2,1,2,20,12,10.0,6.0,GT
Rashid Khan,spin,Middle,1,3,2,28,24,7.0,12.0,
Ehsan Khan,pace,Death,1,1,2,17,12,8.5,6.0,MI
Mayank Dagar,spin,Middle,1,1,2,42,24,10.5,12.0,
JG Bethell,spin,Death,2,1,2,23,12,11.5,6.0,GT
Fazalhaq Farooqi,neutralish,PP,2,2,2,33,24,8.25,12.0,CSK
Arshad Khan,pace,Death,1,3,2,27,18,9.0,9.0,MI
Arshad Khan,neutralish,PP,1,2,2,49,18,16.33,9.0,MI
R Sanjay Yadav,spin,Middle,1,1,2,33,12,16.5,6.0,
GD Phillips,neutralish,Middle,2,1,2,16,12,8.0,6.0,RR
Shahbaz Ahmed,spin,Death,2,2,2,19,12,9.5,6.0,KKR
R Sai Kishore,spin,Middle,2,8,2,173,90,11.53,45.0,SRH
Ashutosh Sharma,pace,Death,2,1,2,0,2,0.0,1.0,GT
DS Rathi,spin,Middle,2,3,2,22,18,7.33,9.0,KKR
DR Sams,pace,Death,1,4,2,74,42,10.57,21.0,
Ashwani Kumar,pace,Death,1,2,2,47,24,11.75,12.0,
T Natarajan,spin,PP,1,1,2,30,12,15.0,6.0,RR
MP Yadav,pace,PP,2,5,2,67,36,11.17,18.0,PBKS
DR Sams,pace,Death,2,3,2,24,24,6.0,12.0,
TA Boult,neutralish,Middle,1,2,2,28,18,9.33,9.0,SRH
T Natarajan,pace,PP,1,6,2,139,78,10.69,39.0,RR
JJ Bumrah,pace,Middle,1,7,2,83,60,8.3,30.0,DC
TA Boult,neutralish,Middle,2,4,2,45,30,9.0,15.0,SRH
Ravi Bishnoi,neutralish,Middle,2,1,2,31,18,10.33,9.0,
Mohammed Shami,neutralish,PP,2,2,1,46,24,11.5,24.0,MI
M Pathirana,neutralish,Middle,1,4,1,55,30,11.0,30.0,RCB
Mohammed Shami,pace,PP,1,3,1,80,36,13.33,36.0,MI
MP Yadav,spin,PP,1,1,1,19,12,9.5,12.0,PBKS
M Pathirana,neutralish,Death,2,2,1,71,24,17.75,24.0,RCB
MP Yadav,spin,Death,2,2,1,15,15,6.0,15.0,PBKS
MP Yadav,spin,Death,1,1,1,28,12,14.0,12.0,PBKS
MJ Owen,neutralish,Middle,1,1,1,4,6,4.0,6.0,DC
MP Yadav,pace,PP,1,3,1,51,24,12.75,24.0,PBKS
MW Short,neutralish,Middle,1,1,1,15,12,7.5,12.0,SRH
M Markande,spin,Middle,2,1,1,12,12,6.0,12.0,LSG
Mohammad Amir,pace,Middle,2,2,1,17,12,8.5,12.0,LSG
MJ Owen,neutralish,Death,1,3,1,50,30,10.0,30.0,DC
Kuldeep Yadav,neutralish,Middle,1,4,1,86,54,9.56,54.0,LSG
Mohammad Ghazanfar,spin,PP,1,2,1,16,12,8.0,12.0,RR
LI Meriwala,pace,PP,1,6,1,79,48,9.88,48.0,PBKS
MG Erasmus,spin,PP,2,1,1,21,18,7.0,18.0,
M Pathirana,pace,PP,2,4,1,25,24,6.25,24.0,RCB
Khushdil Shah,spin,PP,2,1,1,19,12,9.5,12.0,
Kuldeep Yadav,neutralish,PP,1,2,1,40,24,10.0,24.0,LSG
MP Yadav,neutralish,PP,2,3,1,55,30,11.0,30.0,PBKS
Mohammad Nabi,neutralish,Death,1,1,1,4,6,4.0,6.0,RR
M Pathirana,spin,Death,1,2,1,58,24,14.5,24.0,RCB
M Siddharth,spin,PP,1,6,1,163,90,10.87,90.0,CSK
MR Marsh,neutralish,Middle,1,5,1,87,42,12.43,42.0,MI
MP Yadav,neutralish,Middle,1,1,1,17,12,8.5,12.0,PBKS
Mohammad Ghazanfar,spin,Death,1,2,1,24,12,12.0,12.0,RR
LS Livingstone,neutralish,Death,1,2,1,54,24,13.5,24.0,KKR
M Pathirana,pace,PP,1,3,1,26,18,8.67,18.0,RCB
MP Stoinis,pace,PP,2,4,1,67,42,9.57,42.0,DC
MP Stoinis,pace,PP,1,5,1,134,72,11.17,72.0,DC
MJ Owen,spin,Death,2,2,1,13,12,6.5,12.0,DC
M Siddharth,spin,Middle,2,2,1,15,12,7.5,12.0,CSK
Mohammad Nabi,neutralish,Death,2,1,1,15,6,15.0,6.0,RR
MP Yadav,spin,PP,2,4,1,33,24,8.25,24.0,PBKS
A Kamboj,neutralish,PP,2,1,1,22,12,11.0,12.0,
Mohammad Nabi,spin,Death,2,3,1,17,18,5.67,18.0,RR
LI Meriwala,neutralish,Middle,2,2,1,48,30,9.6,30.0,PBKS
LI Meriwala,neutralish,Middle,1,3,1,42,42,6.0,42.0,PBKS
Mohammad Nabi,neutralish,PP,1,1,1,6,6,6.0,6.0,RR
Kuldeep Yadav,spin,PP,1,2,1,24,12,12.0,12.0,LSG
Mohammad Ghazanfar,neutralish,Death,1,3,1,32,18,10.67,18.0,RR
LS Livingstone,neutralish,PP,2,1,1,26,12,13.0,12.0,KKR
Mohammad Nabi,spin,PP,1,5,1,86,42,12.29,42.0,RR
A Kamboj,neutralish,Middle,2,1,1,8,6,8.0,6.0,
Mohit Redkar,pace,Middle,1,1,1,44,24,11.0,24.0,
T Natarajan,neutralish,PP,1,2,1,63,36,10.5,36.0,RR
Sufiyan Muqeem,spin,PP,1,2,1,7,12,3.5,12.0,GT
Sumit Kumar,pace,Middle,2,1,1,24,12,12.0,12.0,
Suryansh Shedge,pace,Middle,1,6,1,36,36,6.0,36.0,KKR
Suryansh Shedge,pace,Middle,2,2,1,18,12,9.0,12.0,KKR
Swapnil Singh,spin,Middle,1,1,1,17,12,8.5,12.0,
Swapnil Singh,spin,Middle,2,1,1,8,6,8.0,6.0,
Swapnil Singh,spin,PP,2,1,1,24,12,12.0,12.0,
T Natarajan,neutralish,PP,2,1,1,22,12,11.0,12.0,RR
Samant Jakhar,neutralish,Middle,2,1,1,15,6,15.0,6.0,
T Natarajan,pace,Middle,1,3,1,38,18,12.67,18.0,RR
T Natarajan,pace,Middle,2,2,1,63,36,10.5,36.0,RR
TA Boult,neutralish,PP,1,3,1,90,48,11.25,48.0,SRH
TA Boult,pace,Middle,1,8,1,79,48,9.88,48.0,SRH
TA Boult,spin,PP,2,1,1,30,18,10.0,18.0,SRH
TM Head,neutralish,PP,2,1,1,15,12,7.5,12.0,CSK
TU Deshpande,pace,Death,1,3,1,71,36,11.83,36.0,
Sonu Yadav,pace,Middle,1,1,1,29,18,9.67,18.0,CSK
Sikandar Raza,spin,Death,1,1,1,23,12,11.5,12.0,
Sikandar Raza,pace,Middle,1,1,1,24,12,12.0,12.0,
Shivank Vashisth,spin,Middle,1,1,1,28,18,9.33,18.0,
Sanvir Singh,pace,Middle,2,1,1,27,12,13.5,12.0,PBKS
Shadab Khan,spin,Middle,1,2,1,16,12,8.0,12.0,SRH
Shadab Khan,spin,PP,1,2,1,13,12,6.5,12.0,SRH
Shahbaz Ahmed,neutralish,Death,2,1,1,8,6,8.0,6.0,KKR
Shahbaz Ahmed,pace,Death,1,1,1,13,6,13.0,6.0,KKR
Shahbaz Ahmed,pace,Death,2,2,1,24,12,12.0,12.0,KKR
Shahbaz Ahmed,pace,Middle,2,2,1,58,36,9.67,36.0,KKR
Shahbaz Ahmed,spin,PP,2,2,1,57,24,14.25,24.0,KKR
Shaheen Shah Afridi,pace,PP,2,5,1,101,60,10.1,60.0,DC
Shakib Al Hasan,spin,Death,2,2,1,7,12,3.5,12.0,
Shashank Singh,neutralish,Death,2,1,1,18,6,18.0,6.0,PBKS
Shashank Singh,neutralish,PP,2,5,1,102,60,10.2,60.0,PBKS
Shashank Singh,pace,Death,1,1,1,11,6,11.0,6.0,PBKS
Shashank Singh,pace,Middle,1,1,1,10,6,10.0,6.0,PBKS
Shivam Shukla,neutralish,PP,1,1,1,23,12,11.5,12.0,MI
TU Deshpande,pace,PP,1,2,1,19,12,9.5,12.0,
Tanay Thyagarajan,spin,Death,1,5,1,50,30,10.0,30.0,CSK
Tanay Thyagarajan,spin,PP,1,4,1,28,24,7.0,24.0,CSK
Waqar Salamkheil,spin,Middle,1,1,1,12,12,6.0,12.0,
Washington Sundar,neutralish,PP,2,2,1,28,18,9.33,18.0,GT
Washington Sundar,spin,Middle,1,4,1,49,36,8.17,36.0,GT
YS Chahal,neutralish,PP,1,4,1,79,36,13.17,36.0,CSK
YS Chahal,neutralish,PP,2,4,1,61,36,10.17,36.0,CSK
YS Chahal,spin,Middle,1,4,1,59,36,9.83,36.0,CSK
YS Chahal,spin,Middle,2,2,1,22,12,11.0,12.0,CSK
YS Chahal,spin,PP,1,5,1,69,42,9.86,42.0,CSK
YS Chahal,spin,PP,2,3,1,27,24,6.75,24.0,CSK
Yash Thakur,neutralish,PP,1,1,1,17,18,5.67,18.0,
Yash Thakur,pace,Middle,2,2,1,42,30,8.4,30.0,
Yudhvir Singh,neutralish,PP,1,1,1,20,12,10.0,12.0,
Yudhvir Singh,pace,Middle,2,1,1,9,6,9.0,6.0,
Yudhvir Singh,spin,PP,1,4,1,116,60,11.6,60.0,
Yuvraj Singh,pace,PP,2,3,1,82,48,10.25,48.0,
Zeeshan Ansari,neutralish,Death,1,1,1,17,12,8.5,12.0,RR
Waqar Salamkheil,spin,Middle,2,1,1,33,12,16.5,12.0,
WG Jacks,spin,Death,1,6,1,106,42,15.14,42.0,LSG
Tanush Kotian,spin,Death,2,1,1,21,12,10.5,12.0,CSK
WG Jacks,pace,Death,2,5,1,47,30,9.4,30.0,LSG
Tripuresh Singh,pace,Death,1,2,1,14,12,7.0,12.0,SRH
Tripuresh Singh,pace,Middle,2,1,1,4,6,4.0,6.0,SRH
Usman Khan (2),neutralish,Death,1,1,1,36,18,12.0,18.0,
Usman Khan (2),neutralish,Middle,2,1,1,8,6,8.0,6.0,
V Puthur,spin,Middle,2,1,1,6,6,6.0,6.0,SRH
V Suryavanshi,spin,Middle,1,1,1,11,6,11.0,6.0,PBKS
VG Arora,neutralish,Death,1,1,1,6,9,4.0,9.0,
VG Arora,neutralish,Death,2,1,1,17,12,8.5,12.0,
VG Arora,neutralish,PP,1,1,1,11,6,11.0,6.0,
VG Arora,pace,Middle,2,2,1,26,12,13.0,12.0,
VG Arora,pace,PP,2,2,1,36,36,6.0,36.0,
VR Iyer,pace,Death,2,1,1,14,6,14.0,6.0,SRH
VR Iyer,spin,Death,2,2,1,32,12,16.0,12.0,SRH
VR Iyer,spin,PP,2,3,1,36,18,12.0,18.0,SRH
WG Jacks,pace,Death,1,3,1,36,18,12.0,18.0,LSG
Samant Jakhar,spin,PP,1,1,1,17,6,17.0,6.0,
Sakibul Gani,pace,PP,1,2,1,44,18,14.67,18.0,MI
Mohit Redkar,spin,Middle,1,1,1,33,24,8.25,24.0,
R Ashwin,neutralish,PP,1,1,1,31,18,10.33,18.0,
PWH de Silva,spin,Death,2,3,1,40,24,10.0,24.0,RCB
Prashant Veer,spin,Middle,2,2,1,11,12,5.5,12.0,PBKS
Prashant Veer,spin,PP,1,1,1,16,6,16.0,6.0,PBKS
Pulkit Narang,pace,Death,2,1,1,8,6,8.0,6.0,KKR
Pulkit Narang,pace,Middle,2,1,1,33,18,11.0,18.0,KKR
Pulkit Narang,spin,Death,2,2,1,29,18,9.67,18.0,KKR
Pulkit Narang,spin,PP,2,2,1,36,24,9.0,24.0,KKR
R Ashwin,spin,Middle,1,2,1,22,18,7.33,18.0,
SS Ghosh,spin,Middle,2,1,1,12,12,6.0,12.0,RCB
R Ashwin,spin,PP,1,4,1,85,48,10.62,48.0,
R Sai Kishore,spin,Death,2,6,1,92,42,13.14,42.0,SRH
R Shepherd,neutralish,Middle,1,2,1,53,24,13.25,24.0,MI
R Shepherd,neutralish,PP,2,3,1,90,36,15.0,36.0,MI
R Shepherd,pace,Death,2,3,1,44,30,8.8,30.0,MI
R Shepherd,pace,Middle,2,2,1,35,30,7.0,30.0,MI
RA Bawa,neutralish,Middle,1,5,1,58,36,9.67,36.0,SRH
PWH de Silva,neutralish,PP,2,3,1,48,18,16.0,18.0,RCB
PWH de Silva,neutralish,Death,2,3,1,53,24,13.25,24.0,RCB
PHKD Mendis,spin,PP,2,7,1,61,48,7.62,48.0,PBKS
PHKD Mendis,spin,Middle,2,3,1,38,24,9.5,24.0,PBKS
NA Rathva,spin,Middle,1,1,1,10,6,10.0,6.0,
NA Rathva,spin,PP,2,1,1,8,12,4.0,12.0,
NT Ellis,neutralish,PP,2,4,1,31,24,7.75,24.0,SRH
Naseem Shah,neutralish,Middle,1,1,1,13,12,6.5,12.0,RR
Naseem Shah,neutralish,Middle,2,2,1,32,24,8.0,24.0,RR
Naseem Shah,pace,Middle,1,3,1,57,36,9.5,36.0,RR
Naseem Shah,pace,PP,1,3,1,76,36,12.67,36.0,RR
Naveen-ul-Haq,neutralish,Middle,2,1,1,20,12,10.0,12.0,CSK
Naveen-ul-Haq,pace,Middle,1,1,1,9,12,4.5,12.0,CSK
Nithish Kumar Reddy,neutralish,PP,1,3,1,31,18,10.33,18.0,GT
Nithish Kumar Reddy,spin,Middle,2,3,1,38,24,9.5,24.0,GT
Noor Ahmad,spin,PP,1,3,1,31,18,10.33,18.0,MI
PHKD Mendis,neutralish,Middle,1,3,1,29,24,7.25,24.0,PBKS
PHKD Mendis,pace,Middle,1,3,1,47,24,11.75,24.0,PBKS
PHKD Mendis,spin,Death,1,1,1,8,6,8.0,6.0,PBKS
RA Bawa,pace,Middle,2,1,1,23,12,11.5,12.0,SRH
RA Jadeja,spin,Middle,1,3,1,59,42,8.43,42.0,LSG
RA Jadeja,spin,PP,1,2,1,43,18,14.33,18.0,LSG
S Dube,pace,PP,1,4,1,68,30,13.6,30.0,RR
S Gopal,spin,Middle,2,2,1,76,36,12.67,36.0,PBKS
S Gopal,spin,PP,2,1,1,4,12,2.0,12.0,PBKS
S Lamichhane,neutralish,Middle,1,2,1,61,42,8.71,42.0,KKR
SH Johnson,neutralish,Death,2,1,1,22,6,22.0,6.0,RCB
SH Johnson,neutralish,PP,1,1,1,16,12,8.0,12.0,RCB
SH Johnson,spin,Middle,2,1,1,12,6,12.0,6.0,RCB
SL Malinga,neutralish,Death,2,2,1,28,18,9.33,18.0,
SL Malinga,neutralish,PP,1,1,1,15,6,15.0,6.0,
SL Malinga,pace,PP,1,1,1,3,6,3.0,6.0,
SL Malinga,pace,PP,2,6,1,61,48,7.62,48.0,
SN Netravalkar,neutralish,Death,1,1,1,41,18,13.67,18.0,
SN Thakur,neutralish,Middle,2,1,1,26,12,13.0,12.0,
SN Thakur,neutralish,PP,2,1,1,28,12,14.0,12.0,
SS Ghosh,pace,Death,1,1,1,14,12,7.0,12.0,RCB
SS Ghosh,pace,PP,2,3,1,48,18,16.0,18.0,RCB
S Dube,spin,Death,1,1,1,9,6,9.0,6.0,RR
S Dube,neutralish,PP,2,3,1,27,18,9.0,18.0,RR
RE van der Merwe,spin,Death,1,1,1,24,6,24.0,6.0,CSK
Rishad Hossain,spin,Middle,2,2,1,45,30,9.0,30.0,
RE van der Merwe,spin,PP,1,1,1,17,12,8.5,12.0,CSK
RR Patel,neutralish,Middle,1,1,1,34,24,8.5,24.0,
Ramandeep Singh,neutralish,Middle,2,1,1,20,12,10.0,12.0,KKR
Rashid Khan,neutralish,Death,1,1,1,35,12,17.5,12.0,
Rasikh Salam,neutralish,PP,1,1,1,20,12,10.0,12.0,SRH
Ravi Bishnoi,neutralish,Death,2,1,1,10,6,10.0,6.0,
Ravi Bishnoi,spin,Death,1,1,1,24,12,12.0,12.0,
Ravi Bishnoi,spin,Middle,2,3,1,58,36,9.67,36.0,
Ravi Bishnoi,spin,PP,2,3,1,45,30,9.0,30.0,
Ravi Teja,neutralish,Death,2,3,1,38,25,9.12,25.0,MI
Ravi Teja,neutralish,Middle,1,1,1,28,18,9.33,18.0,MI
Ravi Teja,neutralish,Middle,2,3,1,64,42,9.14,42.0,MI
Ravi Teja,pace,PP,1,2,1,31,18,10.33,18.0,MI
Ravi Teja,spin,Death,1,1,1,20,12,10.0,12.0,MI
Rishad Hossain,spin,Death,2,1,1,15,6,15.0,6.0,
Khushdil Shah,spin,PP,1,5,1,90,54,10.0,54.0,
M Pathirana,neutralish,PP,1,4,1,38,30,7.6,30.0,RCB
DR Sams,pace,Middle,1,1,1,13,12,6.5,12.0,
Atharva Ankolekar,spin,PP,2,3,1,83,36,13.83,36.0,RR
Harshit Rana,pace,PP,1,3,1,68,42,9.71,42.0,GT
Harshit Rana,pace,Middle,1,2,1,14,12,7.0,12.0,GT
Ashutosh Sharma,pace,Middle,1,3,1,62,36,10.33,36.0,GT
Ashutosh Sharma,pace,PP,1,3,1,55,30,11.0,30.0,GT
Harsh Tyagi,spin,PP,2,3,1,71,42,10.14,42.0,
Ashwin Das,neutralish,Middle,1,1,1,14,12,7.0,12.0,LSG
Ashwin Das,neutralish,Middle,2,1,1,36,24,9.0,24.0,LSG
Harsh Dubey,neutralish,Middle,1,2,1,45,30,9.0,30.0,DC
Ashwin Das,pace,PP,1,1,1,18,12,9.0,12.0,LSG
Atharva Ankolekar,neutralish,PP,1,1,1,14,12,7.0,12.0,RR
Atharva Ankolekar,spin,Middle,2,1,1,12,10,7.2,10.0,RR
HV Patel,spin,Death,1,1,1,12,12,6.0,12.0,
HH Pandya,neutralish,Death,2,4,1,68,30,13.6,30.0,SRH
Avesh Khan,pace,Middle,1,4,1,69,36,11.5,36.0,LSG
Avesh Khan,pace,PP,1,2,1,26,24,6.5,24.0,LSG
HV Patel,pace,Death,1,1,1,36,12,18.0,12.0,
HV Patel,neutralish,Middle,1,3,1,59,36,9.83,36.0,
HJ Manenti,spin,Death,1,1,1,27,18,9.0,18.0,RCB
HJ Manenti,pace,Middle,2,2,1,18,12,9.0,12.0,RCB
HJ Manenti,neutralish,Death,2,3,1,30,14,12.86,14.0,RCB
HH Pandya,spin,PP,1,1,1,25,12,12.5,12.0,SRH
B Kumar,spin,Death,2,2,1,11,12,5.5,12.0,KKR
HH Pandya,pace,Middle,2,4,1,112,78,8.62,78.0,SRH
HH Pandya,pace,Death,2,1,1,16,6,16.0,6.0,SRH
Hemang Patel,pace,Middle,2,1,1,12,6,12.0,6.0,
I Sharma,pace,PP,1,2,1,65,36,10.83,36.0,
Arshad Khan,spin,Middle,2,3,1,24,18,8.0,18.0,MI
Arshad Khan,spin,Middle,1,2,1,16,12,8.0,12.0,MI
JJ Bumrah,neutralish,PP,2,2,1,30,12,15.0,12.0,DC
JJ Bumrah,neutralish,Middle,2,4,1,47,36,7.83,36.0,DC
Abhishek Sharma,spin,Middle,2,2,1,33,24,8.25,24.0,MI
JG Bethell,neutralish,PP,1,2,1,51,30,10.2,30.0,GT
JG Bethell,neutralish,Middle,2,3,1,40,24,10.0,24.0,GT
JDS Neesham,pace,PP,1,4,1,93,54,10.33,54.0,
Abrar Ahmed,pace,Death,1,1,1,7,6,7.0,6.0,RCB
Abrar Ahmed,pace,Death,2,1,1,32,12,16.0,12.0,RCB
Abrar Ahmed,spin,Death,1,2,1,39,24,9.75,24.0,RCB
JC Archer,spin,Death,2,1,1,9,6,9.0,6.0,LSG
JC Archer,pace,PP,1,3,1,38,30,7.6,30.0,LSG
JC Archer,pace,Middle,2,5,1,65,42,9.29,42.0,LSG
JC Archer,neutralish,PP,1,3,1,63,30,12.6,30.0,LSG
Akash Vasisht,neutralish,PP,1,2,1,39,18,13.0,18.0,DC
Akash Vasisht,neutralish,PP,2,2,1,51,24,12.75,24.0,DC
JC Archer,neutralish,Middle,2,1,1,14,6,14.0,6.0,LSG
JC Archer,neutralish,Death,1,3,1,93,30,18.6,30.0,LSG
JA Duffy,spin,Middle,1,2,1,23,18,7.67,18.0,KKR
JA Duffy,neutralish,Death,2,1,1,27,12,13.5,12.0,KKR
Imran Tahir,spin,Death,2,1,1,14,6,14.0,6.0,RCB
Akshay Karnewar,spin,Middle,2,1,1,10,12,5.0,12.0,
Arshad Khan,neutralish,Death,1,1,1,7,6,7.0,6.0,MI
Arshad Khan,pace,Death,2,1,1,13,6,13.0,6.0,MI
HH Pandya,neutralish,Middle,1,5,1,109,78,8.38,78.0,SRH
H Ssenyondo,pace,Middle,2,1,1,36,18,12.0,18.0,LSG
Abhishek Prabhakar,pace,Middle,1,1,1,29,24,7.25,24.0,CSK
Chirag Jani,pace,PP,2,1,1,17,12,8.5,12.0,RCB
DS Airee,spin,PP,2,1,1,34,18,11.33,18.0,
CV Varun,neutralish,PP,1,1,1,0,6,0.0,6.0,PBKS
DS Airee,spin,Middle,2,2,1,15,18,5.0,18.0,
DS Airee,spin,Death,2,1,1,0,1,0.0,1.0,
Cheepurapalli Stephen,neutralish,PP,2,2,1,20,12,10.0,12.0,RR
Cheepurapalli Stephen,pace,Middle,1,1,1,37,24,9.25,24.0,RR
DR Sams,pace,PP,2,2,1,40,24,10.0,24.0,
Chirag Jani,neutralish,Middle,1,2,1,48,30,9.6,30.0,RCB
Chirag Jani,neutralish,PP,2,2,1,19,18,6.33,18.0,RCB
Chirag Jani,pace,Middle,2,7,1,175,108,9.72,108.0,RCB
DR Sams,neutralish,PP,2,2,1,48,24,12.0,24.0,
Chirag Jani,spin,Middle,2,1,1,27,12,13.5,12.0,RCB
H Ssenyondo,neutralish,Middle,2,2,1,44,30,8.8,30.0,LSG
D Brevis,neutralish,Middle,1,2,1,46,24,11.5,24.0,GT
DAJ Bracewell,pace,Death,2,3,1,34,14,14.57,14.0,
DAJ Bracewell,neutralish,Middle,1,1,1,12,12,6.0,12.0,
DA Payne,pace,PP,2,1,1,18,18,6.0,18.0,
D Brevis,spin,Death,2,1,1,16,6,16.0,6.0,GT
DA Payne,neutralish,Middle,2,1,1,9,6,9.0,6.0,
D Wiese,spin,PP,1,3,1,58,36,9.67,36.0,KKR
D Wiese,spin,Death,1,3,1,35,18,11.67,18.0,KKR
D Brevis,spin,PP,2,2,1,23,18,7.67,18.0,GT
D Ferreira,spin,PP,1,5,1,51,36,8.5,36.0,
D Wiese,pace,Death,1,1,1,6,6,6.0,6.0,KKR
DS Rathi,neutralish,Middle,1,1,1,12,6,12.0,6.0,KKR
DS Rathi,neutralish,PP,1,1,1,25,18,8.33,18.0,KKR
DS Rathi,spin,PP,2,4,1,83,48,10.38,48.0,KKR
