striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
Naman Dhir,Spin,Death,1,8,87,35,3,29.0,248.57,GT
AB de Villiers,Pace,Middle,2,8,87,40,2,43.5,217.5,RR
Sameer Rizvi,Spin,Death,2,8,87,44,0,,197.73,LSG
RR Rossouw,Pace,Middle,1,5,86,52,2,43.0,165.38,SRH
RA Jadeja,Spin,Death,1,6,86,48,4,21.5,179.17,SRH
SS Iyer,Pace,PP,1,12,86,77,5,17.2,111.69,LSG
BM Duckett,Spin,PP,1,6,86,46,3,28.67,186.96,SRH
C Green,Spin,Death,2,3,86,35,1,86.0,245.71,KKR
Dhruv Jurel,Pace,Middle,1,4,86,60,1,86.0,143.33,KKR
GD Phillips,Spin,Death,1,7,85,33,4,21.25,257.58,GT
PWH de Silva,Spin,Middle,1,5,85,45,4,21.25,188.89,RCB
YK Pathan,Spin,Death,2,6,84,43,2,42.0,195.35,KKR
MP Stoinis,Spin,Middle,2,4,84,48,3,28.0,175.0,KKR
FH Allen,Spin,Middle,1,6,84,45,3,28.0,186.67,PBKS
BJ McMullen,Spin,Middle,2,9,83,57,5,16.6,145.61,RR
SA Yadav,Spin,PP,2,7,83,35,0,,237.14,DC
Akash Vasisht,Spin,Death,2,7,83,39,3,27.67,212.82,SRH
J Fraser-McGurk,Pace,PP,1,6,83,49,3,27.67,169.39,KKR
N Wadhera,Spin,Middle,1,6,82,58,0,,141.38,KKR
V Nigam,Spin,Death,1,5,82,40,1,82.0,205.0,GT
Rahul Singh,Pace,PP,1,6,82,55,2,41.0,149.09,RCB
Abdul Samad,Pace,Middle,1,6,82,56,1,82.0,146.43,LSG
BJ McMullen,Spin,PP,2,6,82,45,3,27.33,182.22,RR
P Simran Singh,Pace,Middle,1,5,82,53,1,82.0,154.72,SRH
FH Allen,Pace,Middle,2,3,82,59,1,82.0,138.98,PBKS
AM Rahane,Pace,Death,2,8,81,37,4,20.25,218.92,MI
Abhishek Sharma,Pace,Middle,1,6,81,37,2,40.5,218.92,MI
R Parag,Spin,Death,1,8,81,36,2,40.5,225.0,GT
RM Patidar,Pace,Middle,1,5,81,70,4,20.25,115.71,KKR
J Fraser-McGurk,Spin,Middle,2,5,81,53,4,20.25,152.83,KKR
SS Iyer,Pace,PP,2,9,81,49,4,20.25,165.31,LSG
Ishan Kishan,Pace,PP,1,5,81,49,2,40.5,165.31,MI
RD Gaikwad,Spin,Death,2,3,80,31,0,,258.06,GT
JP Inglis,Pace,Death,2,7,80,39,4,20.0,205.13,GT
PHKD Mendis,Spin,Middle,1,8,80,53,6,13.33,150.94,DC
RK Singh,Pace,Middle,2,7,80,60,4,20.0,133.33,MI
B Sai Sudharsan,Pace,PP,2,10,80,64,3,26.67,125.0,PBKS
KL Rahul,Spin,Death,2,6,79,40,4,19.75,197.5,SRH
Urvil Patel,Pace,Middle,1,8,79,48,4,19.75,164.58,MI
P Simran Singh,Spin,Death,1,3,79,34,2,39.5,232.35,SRH
MJ Owen,Pace,Middle,1,7,79,49,2,39.5,161.22,DC
TH David,Spin,Middle,2,5,79,54,1,79.0,146.3,PBKS
Shashank Singh,Pace,Middle,2,7,79,50,1,79.0,158.0,PBKS
AK Markram,Spin,Death,1,5,78,42,3,26.0,185.71,DC
RA Jadeja,Pace,Death,2,8,78,40,3,26.0,195.0,SRH
Atharva Taide,Spin,PP,2,5,78,49,1,78.0,159.18,MI
MJ Owen,Spin,Middle,1,5,78,44,1,78.0,177.27,DC
Nithish Kumar Reddy,Pace,Death,1,7,77,37,1,77.0,208.11,SRH
Rahul Singh,Spin,Middle,2,8,77,57,4,19.25,135.09,RCB
Anmolpreet Singh,Pace,Death,1,6,76,37,2,38.0,205.41,CSK
Abishek Porel,Pace,Middle,2,4,76,45,0,,168.89,RR
VR Iyer,Pace,Death,1,6,76,37,3,25.33,205.41,SRH
Ravi Singh,Spin,Middle,1,5,76,38,1,76.0,200.0,KKR
RM Patidar,Spin,Death,1,4,76,39,2,38.0,194.87,KKR
N Rana,Pace,Death,1,4,76,34,3,25.33,223.53,PBKS
Karan Shinde,Pace,Death,1,5,76,35,3,25.33,217.14,RCB
MW Short,Pace,Middle,1,5,75,42,3,25.0,178.57,MI
FH Allen,Spin,Middle,2,5,75,46,3,25.0,163.04,PBKS
VR Iyer,Spin,Death,2,11,75,46,2,37.5,163.04,SRH
HH Pandya,Pace,Death,2,8,75,39,4,18.75,192.31,MI
PWH de Silva,Pace,PP,1,4,74,35,1,74.0,211.43,RCB
Jay Gohil,Pace,Middle,2,4,74,36,1,74.0,205.56,LSG
MJ Owen,Pace,Middle,2,6,73,51,1,73.0,143.14,DC
MJ Owen,Pace,Death,2,7,73,41,3,24.33,178.05,DC
HC Brook,Pace,Middle,1,3,73,53,0,,137.74,
N Sindhu,Spin,PP,2,6,73,42,2,36.5,173.81,DC
H Klaasen,Spin,Death,1,2,72,32,0,,225.0,CSK
MW Short,Pace,PP,1,4,72,34,1,72.0,211.76,MI
KA Pollard,Spin,Middle,1,7,72,42,1,72.0,171.43,CSK
Q de Kock,Spin,Middle,1,4,72,54,3,24.0,133.33,
WL Madsen,Spin,Death,1,8,72,47,3,24.0,153.19,MI
SS Iyer,Pace,Death,1,5,72,31,2,36.0,232.26,LSG
AM Rahane,Pace,Middle,1,7,72,47,3,24.0,153.19,MI
RD Rickelton,Spin,Middle,1,4,72,40,1,72.0,180.0,LSG
SP Narine,Pace,Middle,1,7,72,50,6,12.0,144.0,KKR
AM Rahane,Pace,Middle,2,7,71,52,1,71.0,136.54,MI
Naman Dhir,Spin,PP,1,10,71,39,2,35.5,182.05,GT
Shubman Gill,Pace,Death,2,5,71,35,2,35.5,202.86,LSG
YBK Jaiswal,Spin,Death,2,7,71,35,3,23.67,202.86,RR
Abishek Porel,Pace,Death,1,7,71,36,2,35.5,197.22,RR
Abdul Samad,Pace,Middle,2,3,71,29,0,,244.83,LSG
JC Buttler,Spin,Death,1,9,70,37,4,17.5,189.19,LSG
Priyansh Arya,Spin,Middle,1,7,70,61,5,14.0,114.75,RCB
Naman Dhir,Spin,Death,2,5,70,27,2,35.0,259.26,GT
TM Head,Spin,Middle,2,6,70,55,4,17.5,127.27,
Abdul Samad,Pace,Death,2,5,69,36,2,34.5,191.67,LSG
Shashwat Rawat,Spin,PP,1,4,69,46,0,,150.0,PBKS
MJ Owen,Pace,PP,1,8,69,45,4,17.25,153.33,DC
PWH de Silva,Spin,PP,1,4,69,39,0,,176.92,RCB
V Suryavanshi,Pace,Middle,2,6,68,39,3,22.67,174.36,PBKS
Ishaan Gadekar,Spin,PP,2,8,68,65,2,34.0,104.62,SRH
JC Buttler,Pace,PP,2,5,68,42,3,22.67,161.9,LSG
MW Short,Spin,Middle,1,4,68,46,2,34.0,147.83,MI
Shashank Singh,Spin,Death,2,9,68,33,4,17.0,206.06,PBKS
BM Duckett,Spin,PP,2,7,67,47,3,22.33,142.55,SRH
Abdul Samad,Spin,Death,1,11,66,39,5,13.2,169.23,LSG
Salil Arora,Spin,Middle,1,5,66,45,0,,146.67,RCB
AK Markram,Spin,Death,2,6,66,37,5,13.2,178.38,DC
BJ McMullen,Pace,Death,1,5,66,31,3,22.0,212.9,RR
Ashutosh Sharma,Pace,Death,1,7,66,42,3,22.0,157.14,RCB
Hassan Nawaz,Spin,Middle,2,8,66,54,5,13.2,122.22,RCB
Q de Kock,Spin,PP,1,5,66,51,0,,129.41,
Hassan Nawaz,Pace,Middle,2,6,66,49,3,22.0,134.69,RCB
S Dube,Spin,Death,1,4,66,31,1,66.0,212.9,RR
Hassan Nawaz,Pace,PP,2,5,65,46,1,65.0,141.3,RCB
GF Linde,Pace,Death,1,5,65,36,1,65.0,180.56,GT
H Klaasen,Spin,Death,2,6,65,43,3,21.67,151.16,CSK
S Dube,Pace,Death,1,9,64,29,6,10.67,220.69,RR
Kartik Sharma,Spin,Middle,1,4,64,30,2,32.0,213.33,SRH
VR Iyer,Pace,Middle,1,5,64,42,2,32.0,152.38,SRH
PP Shaw,Pace,PP,1,6,64,63,1,64.0,101.59,MI
Chirag Jani,Spin,Death,1,5,64,25,4,16.0,256.0,CSK
LS Livingstone,Spin,Death,2,8,64,39,5,12.8,164.1,KKR
WL Madsen,Pace,Middle,2,6,64,40,0,,160.0,MI
SS Iyer,Spin,PP,2,7,64,39,2,32.0,164.1,LSG
GF Linde,Spin,Death,1,5,64,34,2,32.0,188.24,GT
B Sai Sudharsan,Spin,Death,2,5,64,33,3,21.33,193.94,PBKS
Rahul Singh,Pace,PP,2,4,64,49,1,64.0,130.61,RCB
TM Head,Pace,PP,1,5,63,49,1,63.0,128.57,
RM Patidar,Pace,Middle,2,6,63,50,2,31.5,126.0,KKR
D Brevis,Spin,Middle,1,3,63,38,1,63.0,165.79,LSG
S Dube,Pace,Death,2,6,63,24,3,21.0,262.5,RR
V Kohli,Spin,Middle,1,5,63,48,4,15.75,131.25,RR
YBK Jaiswal,Spin,PP,2,7,63,31,2,31.5,203.23,RR
R Powell,Pace,Middle,1,5,63,36,3,21.0,175.0,LSG
MS Dhoni,Pace,Middle,2,4,63,33,0,,190.91,CSK
Priyansh Arya,Pace,Death,2,4,63,21,2,31.5,300.0,RCB
BM Duckett,Spin,Middle,2,6,63,49,5,12.6,128.57,SRH
SR Dickson,Spin,Middle,2,3,63,37,1,63.0,170.27,RCB
Tilak Varma,Pace,Death,1,4,62,32,2,31.0,193.75,CSK
Rahul Singh,Pace,Middle,2,6,62,40,2,31.0,155.0,RCB
RG Sharma,Spin,Middle,2,10,62,34,3,20.67,182.35,KKR
TM Head,Spin,PP,2,4,62,37,1,62.0,167.57,
Atharva Taide,Spin,Middle,2,4,61,46,3,20.33,132.61,MI
SA Yadav,Spin,Death,1,6,61,27,2,30.5,225.93,DC
MS Dhoni,Pace,Death,2,5,61,30,2,30.5,203.33,CSK
YK Pathan,Pace,Death,1,8,60,56,4,15.0,107.14,KKR
HS Desai,Spin,Middle,1,3,60,48,2,30.0,125.0,CSK
TH David,Spin,Death,2,5,60,29,4,15.0,206.9,PBKS
JP Inglis,Spin,Death,1,8,60,31,6,10.0,193.55,GT
RD Rickelton,Spin,PP,1,12,60,54,7,8.57,111.11,LSG
SA Yadav,Spin,Death,2,6,60,36,6,10.0,166.67,DC
PHKD Mendis,Spin,Death,2,6,60,32,1,60.0,187.5,DC
Ishan Kishan,Spin,Middle,1,7,60,56,5,12.0,107.14,MI
R Parag,Spin,Middle,1,8,60,45,4,15.0,133.33,GT
WG Jacks,Pace,Death,2,3,60,28,2,30.0,214.29,LSG
RR Rossouw,Spin,Middle,1,4,59,46,4,14.75,128.26,SRH
Ishan Kishan,Pace,Death,1,5,59,31,1,59.0,190.32,MI
V Kohli,Pace,Middle,1,4,58,39,2,29.0,148.72,RR
AR Patel,Spin,Death,1,5,58,26,3,19.33,223.08,CSK
KA Pollard,Pace,PP,2,5,58,26,0,,223.08,CSK
MP Stoinis,Pace,Death,2,2,58,20,0,,290.0,KKR
Jay Gohil,Pace,Death,2,3,57,27,2,28.5,211.11,LSG
MG Erasmus,Spin,Middle,2,4,57,49,3,19.0,116.33,
JC Buttler,Pace,Middle,2,5,57,38,2,28.5,150.0,LSG
Sakibul Gani,Pace,Death,2,4,57,26,2,28.5,219.23,RCB
Ramandeep Singh,Pace,Death,1,6,57,35,3,19.0,162.86,LSG
Sameer Rizvi,Spin,Middle,2,11,57,41,2,28.5,139.02,LSG
RG Sharma,Spin,Death,1,7,57,31,4,14.25,183.87,KKR
AB de Villiers,Pace,Middle,1,7,56,31,1,56.0,180.65,RR
N Rana,Spin,Middle,2,4,56,44,2,28.0,127.27,PBKS
Tarang Gohel,Pace,Middle,2,7,56,36,3,18.67,155.56,DC
LS Livingstone,Spin,Middle,2,4,56,49,1,56.0,114.29,KKR
Smaran Ravichandran,Spin,PP,1,5,56,33,0,,169.7,PBKS
Rahul Singh,Pace,Middle,1,5,56,30,3,18.67,186.67,RCB
Anmolpreet Singh,Pace,Death,2,6,56,27,3,18.67,207.41,CSK
Karan Shinde,Pace,Death,2,7,55,28,2,27.5,196.43,RCB
RA Jadeja,Pace,Death,1,6,55,36,3,18.33,152.78,SRH
RA Jadeja,Pace,Middle,2,7,55,46,2,27.5,119.57,SRH
N Rana,Spin,PP,1,6,55,28,0,,196.43,PBKS
JC Buttler,Spin,PP,1,8,55,37,1,55.0,148.65,LSG
Urvil Patel,Spin,Death,1,3,54,27,2,27.0,200.0,MI
YBK Jaiswal,Pace,PP,1,2,54,27,1,54.0,200.0,RR
Priyansh Arya,Pace,Middle,1,5,54,24,5,10.8,225.0,RCB
Smaran Ravichandran,Spin,Death,1,7,54,35,4,13.5,154.29,PBKS
RA Jadeja,Spin,Middle,1,6,54,34,0,,158.82,SRH
WL Madsen,Spin,Death,2,9,54,37,2,27.0,145.95,MI
DP Conway,Spin,Middle,1,2,54,48,0,,112.5,PBKS
C Green,Pace,Death,1,3,54,20,2,27.0,270.0,KKR
Naman Dhir,Spin,PP,2,8,54,34,2,27.0,158.82,GT
WG Jacks,Pace,Death,1,5,53,32,4,13.25,165.62,LSG
RA Jadeja,Spin,Middle,2,6,53,40,5,10.6,132.5,SRH
RK Singh,Pace,Middle,1,6,53,48,1,53.0,110.42,MI
RM Patidar,Pace,PP,1,8,53,50,6,8.83,106.0,KKR
MP Stoinis,Pace,Middle,1,4,53,33,3,17.67,160.61,KKR
CH Gayle,Pace,Death,1,5,53,26,4,13.25,203.85,CSK
Abdul Samad,Spin,Death,2,8,52,44,3,17.33,118.18,LSG
RM Patidar,Spin,Death,2,3,52,25,0,,208.0,KKR
DS Airee,Spin,Middle,2,4,52,44,1,52.0,118.18,CSK
Tanush Kotian,Spin,Middle,2,6,52,33,2,26.0,157.58,CSK
Kartik Sharma,Spin,PP,1,2,52,25,1,52.0,208.0,SRH
YK Pathan,Spin,Middle,1,7,51,43,2,25.5,118.6,KKR
N Sindhu,Spin,PP,1,7,51,36,2,25.5,141.67,DC
Smaran Ravichandran,Pace,Death,1,4,51,26,3,17.0,196.15,PBKS
GD Phillips,Pace,Death,1,7,51,29,4,12.75,175.86,GT
V Suryavanshi,Pace,Death,1,3,51,22,2,25.5,231.82,PBKS
JDS Neesham,Pace,Death,1,4,51,35,4,12.75,145.71,
AM Rahane,Spin,PP,2,4,50,38,1,50.0,131.58,MI
HC Brook,Pace,Middle,2,5,50,37,3,16.67,135.14,
B Sai Sudharsan,Pace,PP,1,7,50,40,4,12.5,125.0,PBKS
Q de Kock,Pace,Middle,1,2,50,39,2,25.0,128.21,
GJ Maxwell,Pace,Death,1,3,50,19,2,25.0,263.16,DC
Arshad Khan,Spin,Death,1,5,50,31,2,25.0,161.29,DC
D Wiese,Pace,Death,2,6,50,24,2,25.0,208.33,GT
Ishan Kishan,Spin,Death,1,3,50,25,1,50.0,200.0,MI
Shashwat Rawat,Pace,PP,1,2,49,27,1,49.0,181.48,PBKS
Arshad Khan,Spin,Death,2,7,49,30,4,12.25,163.33,DC
N Sindhu,Spin,Death,1,6,49,21,0,,233.33,DC
AM Rahane,Spin,Death,1,4,49,25,2,24.5,196.0,MI
RM Patidar,Pace,Death,2,6,49,28,4,12.25,175.0,KKR
D Brevis,Pace,Middle,2,6,49,35,3,16.33,140.0,LSG
Smaran Ravichandran,Pace,PP,1,7,49,34,3,16.33,144.12,PBKS
KA Pollard,Pace,Middle,1,7,49,35,1,49.0,140.0,CSK
Washington Sundar,Spin,Death,1,8,49,43,3,16.33,113.95,PBKS
Ishan Kishan,Spin,Middle,2,3,48,33,0,,145.45,MI
SS Iyer,Spin,Death,1,6,48,27,3,16.0,177.78,LSG
TP Ura,Spin,Middle,2,3,48,30,1,48.0,160.0,PBKS
RM Patidar,Spin,PP,1,6,48,35,1,48.0,137.14,KKR
N Pooran,Spin,Death,2,6,48,18,4,12.0,266.67,MI
Aniket Verma,Spin,PP,2,5,48,29,1,48.0,165.52,RR
YK Pathan,Pace,Middle,1,7,48,55,2,24.0,87.27,KKR
Gaurav Puri,Spin,Middle,2,6,48,42,1,48.0,114.29,LSG
HS Desai,Spin,PP,1,4,48,37,1,48.0,129.73,CSK
HH Pandya,Spin,Death,2,6,47,21,2,23.5,223.81,MI
WL Madsen,Pace,Death,2,6,47,27,1,47.0,174.07,MI
Salil Arora,Pace,Middle,1,5,47,30,3,15.67,156.67,RCB
N Rana,Pace,Death,2,4,47,27,2,23.5,174.07,PBKS
DJ Bravo,Pace,Death,1,4,47,32,2,23.5,146.88,
Tanush Kotian,Spin,Death,1,5,47,22,4,11.75,213.64,CSK
HH Pandya,Pace,Middle,2,6,47,37,5,9.4,127.03,MI
Tilak Varma,Spin,Death,2,3,47,21,1,47.0,223.81,CSK
MJ Owen,Spin,Death,2,5,46,19,2,23.0,242.11,DC
Dhruv Jurel,Spin,PP,2,4,46,34,2,23.0,135.29,KKR
Aniket Verma,Spin,Death,1,5,46,21,2,23.0,219.05,RR
Nithish Kumar Reddy,Pace,Death,2,5,46,28,2,23.0,164.29,SRH
MP Stoinis,Spin,PP,1,3,46,43,1,46.0,106.98,KKR
JN Loftie-Eaton,Spin,Death,1,2,46,27,0,,170.37,RR
JJ Smit,Pace,Middle,1,7,46,41,3,15.33,112.2,PBKS
RM Patidar,Pace,PP,2,5,46,36,3,15.33,127.78,KKR
AM Rahane,Spin,PP,1,10,46,41,3,15.33,112.2,MI
Kumar Kushagra,Spin,Middle,1,2,46,32,2,23.0,143.75,GT
D Brevis,Spin,Death,1,3,46,22,1,46.0,209.09,LSG
GJ Maxwell,Spin,Death,1,2,45,15,0,,300.0,DC
SA Yadav,Spin,PP,1,4,45,29,0,,155.17,DC
T Stubbs,Pace,Middle,2,5,45,37,2,22.5,121.62,CSK
Utkarsh Singh,Spin,Middle,1,6,45,36,4,11.25,125.0,PBKS
MS Pepper,Pace,Death,1,2,45,28,0,,160.71,
HS Desai,Pace,Middle,2,3,45,22,1,45.0,204.55,CSK
JDS Neesham,Pace,Middle,2,2,45,37,0,,121.62,
CH Morris,Pace,Death,1,4,45,29,2,22.5,155.17,
Babar Azam,Pace,Middle,1,3,45,40,2,22.5,112.5,
Q de Kock,Pace,PP,1,6,44,38,2,22.0,115.79,
Kartik Sharma,Pace,Middle,2,6,44,33,4,11.0,133.33,SRH
JG Bethell,Spin,Middle,1,5,44,43,2,22.0,102.33,RR
PP Shaw,Spin,PP,1,4,44,34,2,22.0,129.41,MI
Sakibul Gani,Pace,Death,1,5,44,29,2,22.0,151.72,RCB
TA Boult,Pace,Death,2,6,44,34,4,11.0,129.41,MI
R Powell,Pace,Death,1,4,44,24,4,11.0,183.33,LSG
Hemang Patel,Pace,Death,1,4,44,29,3,14.67,151.72,
Washington Sundar,Pace,Death,1,5,44,29,1,44.0,151.72,PBKS
GD Phillips,Spin,Middle,2,5,44,32,3,14.67,137.5,GT
Anmolpreet Singh,Pace,Middle,1,5,44,36,1,44.0,122.22,CSK
DAJ Bracewell,Pace,Death,1,2,44,15,1,44.0,293.33,
Chirag Jani,Pace,PP,1,5,43,21,1,43.0,204.76,CSK
T Banton,Spin,Middle,1,4,43,27,1,43.0,159.26,MI
C Green,Spin,PP,1,4,43,25,1,43.0,172.0,KKR
Mohammad Nabi,Spin,Death,1,7,43,35,7,6.14,122.86,LSG
MJ Owen,Spin,PP,1,5,43,26,3,14.33,165.38,DC
Salil Arora,Pace,PP,2,1,43,18,0,,238.89,RCB
N Pooran,Pace,PP,1,4,43,32,2,21.5,134.38,MI
Sakibul Gani,Spin,Death,2,4,43,24,3,14.33,179.17,RCB
AB de Villiers,Pace,Death,2,5,42,25,3,14.0,168.0,RR
H Klaasen,Pace,Middle,2,4,42,25,3,14.0,168.0,CSK
SS Iyer,Pace,Middle,2,5,42,29,2,21.0,144.83,LSG
Tushar Raheja,Pace,PP,2,2,42,38,1,42.0,110.53,SRH
Nithish Kumar Reddy,Spin,Death,2,8,42,25,2,21.0,168.0,SRH
SA Yadav,Pace,Death,2,4,42,26,3,14.0,161.54,DC
V Kohli,Pace,Death,2,4,42,19,2,21.0,221.05,RR
R Shepherd,Pace,Death,2,6,42,27,6,7.0,155.56,GT
RM Patidar,Pace,Death,1,4,42,24,3,14.0,175.0,KKR
Bilal Zalmai,Pace,Middle,2,2,42,31,0,,135.48,
MS Pepper,Pace,Middle,1,3,41,22,0,,186.36,
LS Livingstone,Pace,PP,1,3,41,29,0,,141.38,KKR
R Powell,Spin,Middle,2,4,41,27,2,20.5,151.85,LSG
N Rana,Spin,PP,2,7,41,26,4,10.25,157.69,PBKS
GD Phillips,Pace,Middle,1,4,41,29,0,,141.38,GT
TH David,Spin,Death,1,7,41,34,4,10.25,120.59,PBKS
AA Kulkarni,Pace,PP,1,2,41,25,1,41.0,164.0,GT
Hassan Nawaz,Spin,Middle,1,3,41,35,1,41.0,117.14,RCB
Salil Arora,Spin,Death,1,3,41,15,0,,273.33,RCB
SS Iyer,Spin,Death,2,3,41,25,2,20.5,164.0,LSG
GD Phillips,Spin,Middle,1,2,41,18,1,41.0,227.78,GT
D Brevis,Spin,Middle,2,8,41,50,2,20.5,82.0,LSG
SV Samson,Spin,Death,1,3,41,18,2,20.5,227.78,GT
Urvil Patel,Pace,Death,1,4,41,21,2,20.5,195.24,MI
Ravi Singh,Spin,Middle,2,4,41,24,1,41.0,170.83,KKR
YK Pathan,Spin,Death,1,4,41,21,4,10.25,195.24,KKR
AD Russell,Spin,Middle,2,5,40,39,2,20.0,102.56,DC
PD Salt,Spin,Middle,1,5,40,36,1,40.0,111.11,RCB
R Powell,Pace,PP,2,2,40,24,0,,166.67,LSG
Hassan Nawaz,Pace,Death,1,2,40,15,2,20.0,266.67,RCB
Ravi Singh,Pace,Middle,2,3,40,19,0,,210.53,KKR
T Banton,Pace,Middle,1,2,40,23,1,40.0,173.91,MI
AK Markram,Spin,PP,2,3,40,22,1,40.0,181.82,DC
AB de Villiers,Spin,Death,2,6,40,20,2,20.0,200.0,RR
JC Buttler,Pace,Death,2,4,40,18,2,20.0,222.22,LSG
PP Shaw,Spin,Middle,1,2,39,40,0,,97.5,MI
Babar Azam,Pace,PP,1,3,39,33,1,39.0,118.18,
V Nigam,Spin,Death,2,5,39,25,3,13.0,156.0,GT
Abdul Samad,Pace,PP,1,3,39,27,1,39.0,144.44,LSG
YK Pathan,Pace,Death,2,7,39,34,3,13.0,114.71,KKR
Dhruv Jurel,Spin,PP,1,2,39,29,1,39.0,134.48,KKR
PP Shaw,Pace,Middle,1,3,39,21,2,19.5,185.71,MI
JL Smith,Spin,Middle,2,1,39,22,1,39.0,177.27,
MA Agarwal,Pace,Death,2,3,39,16,3,13.0,243.75,DC
JDS Neesham,Pace,Middle,1,3,39,27,0,,144.44,
BM Duckett,Spin,Middle,1,2,38,22,1,38.0,172.73,SRH
N Sindhu,Spin,Death,2,4,38,13,0,,292.31,DC
Jaskaran Singh,Pace,Death,1,4,38,25,2,19.0,152.0,KKR
R Parag,Spin,PP,2,3,38,21,0,,180.95,GT
Kartik Sharma,Pace,PP,2,3,38,19,1,38.0,200.0,SRH
B Sai Sudharsan,Pace,Death,1,3,38,18,3,12.67,211.11,PBKS
Dhruv Jurel,Pace,PP,2,3,38,18,1,38.0,211.11,KKR
Dhruv Jurel,Spin,Death,2,7,38,30,4,9.5,126.67,KKR
Gaurav Puri,Pace,Death,2,3,37,17,3,12.33,217.65,LSG
BA Stokes,Pace,Death,1,2,37,19,1,37.0,194.74,RR
FH Allen,Pace,Death,1,2,37,17,1,37.0,217.65,PBKS
DW Lawrence,Pace,Death,1,3,37,15,2,18.5,246.67,DC
WL Madsen,Pace,Death,1,4,37,19,1,37.0,194.74,MI
PWH de Silva,Spin,Death,2,5,37,15,1,37.0,246.67,RCB
D Padikkal,Pace,Death,1,6,37,23,3,12.33,160.87,KKR
RR Rossouw,Spin,Death,1,3,37,17,2,18.5,217.65,SRH
RA Tripathi,Pace,Death,1,2,37,19,0,,194.74,
Ishan Kishan,Spin,PP,1,3,37,28,0,,132.14,MI
Salil Arora,Pace,Middle,2,3,37,26,0,,142.31,RCB
Ishaan Gadekar,Pace,Middle,1,2,37,13,1,37.0,284.62,SRH
AA Kulkarni,Pace,Death,1,1,37,13,1,37.0,284.62,GT
Shadab Khan,Spin,Middle,1,5,36,19,2,18.0,189.47,SRH
H Klaasen,Spin,PP,1,4,36,32,1,36.0,112.5,CSK
Tilak Varma,Spin,Death,1,5,36,23,2,18.0,156.52,CSK
C Green,Spin,PP,2,6,36,26,0,,138.46,KKR
Kartik Sharma,Pace,Death,2,2,36,16,1,36.0,225.0,SRH
R Powell,Pace,Middle,2,5,36,40,2,18.0,90.0,LSG
KD Karthik,Pace,Death,1,1,36,13,1,36.0,276.92,RR
T Stubbs,Pace,Death,2,5,36,14,1,36.0,257.14,CSK
D Brevis,Pace,Death,1,3,36,18,1,36.0,200.0,LSG
Salil Arora,Pace,Death,1,3,36,18,1,36.0,200.0,RCB
JM Sharma,Spin,PP,2,5,36,24,2,18.0,150.0,RCB
Karan Shinde,Spin,Middle,2,4,36,22,0,,163.64,RCB
TB Robinson,Spin,Middle,1,1,35,24,1,35.0,145.83,RR
Gaurav Puri,Spin,Death,2,6,35,19,5,7.0,184.21,LSG
TA Boult,Spin,Death,2,3,35,10,0,,350.0,MI
RD Rickelton,Pace,Middle,2,4,35,25,2,17.5,140.0,LSG
Rashid Khan,Spin,Death,2,5,35,28,2,17.5,125.0,MI
T Stubbs,Spin,Middle,2,3,35,25,2,17.5,140.0,CSK
Babar Azam,Pace,PP,2,3,35,36,2,17.5,97.22,
GJ Maxwell,Spin,Death,2,2,35,21,0,,166.67,DC
VR Iyer,Spin,PP,1,3,35,13,1,35.0,269.23,SRH
MA Agarwal,Pace,Death,1,3,35,9,2,17.5,388.89,DC
Sakibul Gani,Pace,Middle,1,3,35,21,0,,166.67,RCB
Jay Gohil,Spin,Middle,2,4,35,18,2,17.5,194.44,LSG
Atharva Taide,Pace,PP,1,1,35,17,1,35.0,205.88,MI
AK Markram,Pace,PP,2,4,35,28,3,11.67,125.0,DC
Arshad Khan,Spin,Middle,1,3,35,26,1,35.0,134.62,DC
Mohammad Nabi,Spin,Death,2,6,35,20,3,11.67,175.0,LSG
BJ McMullen,Pace,Death,2,3,35,20,2,17.5,175.0,RR
Dhruv Jurel,Pace,Middle,2,3,34,33,3,11.33,103.03,KKR
AM Rahane,Pace,PP,2,4,34,24,2,17.0,141.67,MI
Karan Lal,Pace,Death,2,5,34,23,2,17.0,147.83,RR
T Stubbs,Spin,Death,2,5,34,22,2,17.0,154.55,CSK
Sakibul Gani,Spin,Death,1,3,34,14,1,34.0,242.86,RCB
D Brevis,Pace,Middle,1,2,34,18,1,34.0,188.89,LSG
Mohammad Ghazanfar,Spin,Death,1,5,34,25,3,11.33,136.0,SRH
Anmolpreet Singh,Spin,Middle,1,5,34,21,2,17.0,161.9,CSK
HC Brook,Pace,Death,1,1,34,16,0,,212.5,
MR Marsh,Pace,Death,2,2,34,13,0,,261.54,SRH
V Kohli,Pace,Death,1,3,34,18,1,34.0,188.89,RR
RG Sharma,Spin,PP,1,3,34,19,0,,178.95,KKR
Akash Vasisht,Spin,Death,1,4,34,20,2,17.0,170.0,SRH
VR Iyer,Spin,PP,2,1,34,20,0,,170.0,SRH
N Wadhera,Pace,Middle,2,3,33,40,3,11.0,82.5,KKR
SPD Smith,Pace,PP,1,2,33,34,1,33.0,97.06,CSK
D Brevis,Spin,Death,2,4,33,21,2,16.5,157.14,LSG
JG Bethell,Pace,Death,2,3,33,15,2,16.5,220.0,RR
Dhruv Jurel,Pace,PP,1,2,33,16,1,33.0,206.25,KKR
Hassan Nawaz,Pace,PP,1,3,33,18,1,33.0,183.33,RCB
